Land,Bedrag in €,Bedrag in € (num)
Germany,4.273.520.843,4273520843
Netherlands,2.077.575.077,2077575077
SupraNational,1.115.780.767,1115780767
Austria,817.074.238,817074238
France,727.305.479,727305479
Finland,662.527.411,662527411
Belgium,548.946.702,548946702
Mexico,445.261.782,445261782
Ireland,432.573.547,432573547
Brazil,381.870.753,381870753
South Africa,371.340.209,371340209
Spain,346.430.680,346430680
Indonesia,289.301.682,289301682
Colombia,250.360.398,250360398
Romania,208.469.362,208469362
India,202.344.797,202344797
Portugal,182.532.692,182532692
Thailand,178.224.004,178224004
Turkey,173.205.944,173205944
Hungary,169.242.494,169242494
Peru,133.361.491,133361491
Dominican Republic,122.557.255,122557255
Nigeria,92.606.370,92606370
Philippines,90.421.932,90421932
Panama,88.288.262,88288262
Uruguay,69.821.590,69821590
Ecuador,63.872.329,63872329
Kenya,46.387.485,46387485
Angola,44.199.959,44199959
Paraguay,42.683.061,42683061
El Salvador,39.568.488,39568488
Ivory Coast,37.693.185,37693185
Costa Rica,36.675.822,36675822
Morocco,28.866.289,28866289
Serbia,21.503.998,21503998
Malaysia,17.517.377,17517377
Jamaica,16.150.304,16150304
Argentina,14.697.375,14697375
United States,11.892.234,11892234
Benin,11.273.270,11273270
Trinidad & Tobago,10.009.214,10009214
Mongolia,8.183.567,8183567
Senegal,7.725.595,7725595
Bulgaria,2.948.498,2948498
Chile,2.891.996,2891996
Papua New Guinea,2.286.686,2286686
Armenia,1.651.780,1651780
Poland,657.374,657374
Denmark,549.934,549934
