Land,Bedrag in €,Bedrag in € (num)
Germany,3.674.007.496,3674007496
Netherlands,2.558.333.362,2558333362
SupraNational,747.224.212,747224212
Austria,738.974.443,738974443
France,676.058.596,676058596
Belgium,597.428.000,597428000
Finland,473.885.892,473885892
Spain,448.507.000,448507000
Ireland,438.679.021,438679021
Mexico,342.151.683,342151683
Brazil,327.305.934,327305934
South Africa,320.989.531,320989531
Indonesia,297.424.232,297424232
India,244.843.034,244843034
Colombia,242.946.561,242946561
Thailand,183.330.752,183330752
Turkey,164.057.084,164057084
Romania,163.810.936,163810936
Peru,147.971.906,147971906
Hungary,141.391.568,141391568
Portugal,138.208.945,138208945
Dominican Republic,124.063.337,124063337
Philippines,105.675.231,105675231
Uruguay,97.967.417,97967417
Nigeria,80.647.768,80647768
Panama,72.676.596,72676596
United States,71.741.287,71741287
Ecuador,57.013.033,57013033
Angola,41.379.796,41379796
Ivory Coast,40.210.184,40210184
El Salvador,36.419.244,36419244
Kenya,33.812.848,33812848
Morocco,31.255.455,31255455
Costa Rica,30.613.880,30613880
Paraguay,27.204.992,27204992
Serbia,27.002.556,27002556
Trinidad & Tobago,16.745.853,16745853
Jamaica,16.220.594,16220594
Benin,15.223.412,15223412
Senegal,15.005.231,15005231
Argentina,9.047.073,9047073
Poland,8.915.314,8915314
Mongolia,8.070.280,8070280
Armenia,5.854.684,5854684
Malaysia,3.717.181,3717181
Canada,3.415.667,3415667
Montenegro,2.010.052,2010052
Chile,1.412.958,1412958
Georgia,1.026.769,1026769
