Land,Bedrag in €,Bedrag in € (num)
Germany,3.989.155.545,3989155545
Netherlands,2.494.043.208,2494043208
SupraNational,986.790.722,986790722
Belgium,888.243.521,888243521
France,839.097.244,839097244
Austria,784.579.018,784579018
Spain,500.516.650,500516650
Finland,447.761.693,447761693
Ireland,435.594.042,435594042
Mexico,427.178.250,427178250
Brazil,362.037.811,362037811
South Africa,326.666.464,326666464
Indonesia,319.084.913,319084913
Colombia,238.981.705,238981705
India,230.814.523,230814523
Romania,191.644.542,191644542
Thailand,186.310.886,186310886
Turkey,170.021.703,170021703
Hungary,162.286.771,162286771
Portugal,138.855.745,138855745
Peru,123.921.862,123921862
Philippines,114.297.436,114297436
Dominican Republic,112.354.352,112354352
Uruguay,83.939.167,83939167
Nigeria,81.119.509,81119509
Panama,78.063.812,78063812
Ecuador,52.708.162,52708162
Angola,44.437.051,44437051
El Salvador,41.091.305,41091305
Ivory Coast,40.417.245,40417245
Kenya,35.971.482,35971482
Morocco,32.976.269,32976269
Costa Rica,31.150.788,31150788
Paraguay,28.524.796,28524796
Serbia,27.702.517,27702517
Senegal,20.246.897,20246897
Jamaica,16.425.230,16425230
United States,14.151.728,14151728
Benin,13.865.886,13865886
Trinidad & Tobago,13.225.681,13225681
Poland,10.916.000,10916000
Mongolia,8.198.289,8198289
Argentina,7.484.760,7484760
Chile,6.650.707,6650707
Armenia,6.022.165,6022165
Malaysia,3.760.546,3760546
Canada,3.376.902,3376902
Papua New Guinea,2.241.499,2241499
Georgia,1.034.213,1034213
