Bedrijfsnaam Aflopend sorteren,Bedrag in €,Land,Sector,Type,Bedrag in € (num)
1011778 BC ULC / New Red Finance Inc,29.930.712,Canada,"Consumer, cyclical",Bedrijfsobligaties,29930712
1261229 BC Ltd,2.739.140,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,2739140
180 Medical Inc,4.149.178,Verenigd Koninkrijk,"Consumer, non-cyclical",Bedrijfsobligaties,4149178
360 Security Technology Inc,339.943,China,Communications,Aandelen,339943
37 Interactive Entertainment Network Technology Group Co Ltd,196.747,China,Technology,Aandelen,196747
3i Group PLC,10.474.948,Verenigd Koninkrijk,Financial,Bedrijfsobligaties,10474948
3M Co,8.028.888,Verenigde Staten,Industrial,Bedrijfsobligaties,8028888
3M Co,15.975.220,Verenigde Staten,Industrial,Aandelen,15975220
A2A SpA,5.072.860,Italië,Utilities,Bedrijfsobligaties,5072860
AAC Technologies Holdings Inc,2.639.231,China,Industrial,Aandelen,2639231
AAR Escrow Issuer LLC,2.635.499,Verenigde Staten,Industrial,Bedrijfsobligaties,2635499
ABB Finance BV,17.258.393,Zwitserland,Industrial,Bedrijfsobligaties,17258393
ABB India Ltd,1.784.078,India,Industrial,Aandelen,1784078
ABB Ltd,12.866.205,Zwitserland,Industrial,Aandelen,12866205
Abbott Laboratories,44.358.990,Verenigde Staten,"Consumer, non-cyclical",Aandelen,44358990
AbbVie Inc,78.211.650,Verenigde Staten,"Consumer, non-cyclical",Aandelen,78211650
AbbVie Inc,12.493.385,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,12493385
Abertis France SAS,34.159.603,Frankrijk,"Consumer, non-cyclical",Bedrijfsobligaties,34159603
Abertis Infraestructuras Finance BV,32.191.606,Spanje,Industrial,Bedrijfsobligaties,32191606
Abertis Infraestructuras SA,18.038.818,Spanje,"Consumer, non-cyclical",Bedrijfsobligaties,18038818
ABN AMRO Bank NV,32.687.472,Nederland,Financial,Bedrijfsobligaties,32687472
ABN AMRO Bank NV,1.650.533,Nederland,Financial,Aandelen,1650533
Absa Group Ltd,5.255.064,Zuid-Africa,Financial,Aandelen,5255064
Abu Dhabi Islamic Bank PJSC,4.649.711,Verenigde Arabische Emiraten,Financial,Aandelen,4649711
Acadia Healthcare Co Inc,8.419.305,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,8419305
Accenture PLC,36.661.970,Ierland,Technology,Aandelen,36661970
Acciona SA,561.065,Spanje,Industrial,Aandelen,561065
Accor SA,16.653.312,Frankrijk,"Consumer, cyclical",Bedrijfsobligaties,16653312
Accor SA,1.050.984,Frankrijk,"Consumer, cyclical",Aandelen,1050984
Accton Technology Corp,9.746.270,Taiwan,Communications,Aandelen,9746270
ACEA SpA,5.143.405,Italië,Utilities,Bedrijfsobligaties,5143405
Acef Holding SCA,25.090.302,Luxemburg,Financial,Bedrijfsobligaties,25090302
Acer Inc,1.865.038,Taiwan,Technology,Aandelen,1865038
Achmea Bank NV,6.155.272,Nederland,Financial,Bedrijfsobligaties,6155272
ACS Actividades de Construccion y Servicios SA,1.633.496,Spanje,Industrial,Aandelen,1633496
Acushnet Co,455.590,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,455590
AddTech AB,940.097,Zweden,"Consumer, cyclical",Aandelen,940097
adidas AG,9.930.328,Duitsland,"Consumer, cyclical",Aandelen,9930328
Adient Global Holdings Ltd,6.045.062,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,6045062
Adler Pelzer Holding GmbH,3.053.348,Duitsland,"Consumer, cyclical",Bedrijfsobligaties,3053348
Admiral Group PLC,21.364.430,Verenigd Koninkrijk,Financial,Aandelen,21364430
Adobe Inc,28.697.338,Verenigde Staten,Technology,Aandelen,28697338
ADT Security Corp/The,4.226.731,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,4226731
Advanced Drainage Systems Inc,11.644.076,Verenigde Staten,Industrial,Bedrijfsobligaties,11644076
Advanced Info Service PCL,6.902.318,Thailand,Communications,Aandelen,6902318
Advanced Micro Devices Inc,67.476.895,Verenigde Staten,Technology,Aandelen,67476895
Advantage Sales & Marketing Inc,6.658.938,Verenigde Staten,Communications,Bedrijfsobligaties,6658938
Advantech Co Ltd,3.055.471,Taiwan,Technology,Aandelen,3055471
Advantest Corp,18.193.262,Japan,Technology,Aandelen,18193262
Adyen NV,12.992.070,Nederland,"Consumer, non-cyclical",Aandelen,12992070
AECOM,3.241.652,Verenigde Staten,Industrial,Aandelen,3241652
AECOM,13.653.946,Verenigde Staten,Industrial,Bedrijfsobligaties,13653946
Aegon Ltd,1.187.320,Nederland,Financial,Aandelen,1187320
Aena SME SA,2.292.560,Spanje,Industrial,Aandelen,2292560
Aena SME SA,12.842.252,Spanje,Industrial,Bedrijfsobligaties,12842252
Aeon Co Ltd,5.736.804,Japan,"Consumer, non-cyclical",Aandelen,5736804
AerCap Holdings NV,2.507.223,Ierland,Financial,Aandelen,2507223
Aeroporti di Roma SpA,13.630.749,Italië,Industrial,Bedrijfsobligaties,13630749
Aeroports de Paris SA,507.147,Frankrijk,Industrial,Aandelen,507147
Aeroports de Paris SA,24.558.742,Frankrijk,Industrial,Bedrijfsobligaties,24558742
Aflac Inc,11.075.792,Verenigde Staten,Financial,Aandelen,11075792
AGC Inc,1.529.275,Japan,Industrial,Aandelen,1529275
AGCO International Holdings BV,5.771.170,Verenigde Staten,Industrial,Bedrijfsobligaties,5771170
Ageas SA/NV,1.171.521,België,Financial,Aandelen,1171521
Agilent Technologies Inc,7.250.300,Verenigde Staten,"Consumer, non-cyclical",Aandelen,7250300
AIA Group Ltd,24.609.513,Hongkong,Financial,Aandelen,24609513
AIB Group PLC,2.113.555,Ierland,Financial,Aandelen,2113555
