Bedrijfsnaam Aflopend sorteren,Bedrag in €,Land,Sector,Type,Bedrag in € (num)
AIB Group PLC,6.074.617,Ierland,Financial,Bedrijfsobligaties,6074617
Aier Eye Hospital Group Co Ltd,842.126,China,"Consumer, non-cyclical",Aandelen,842126
Air Canada,1.313.442,Canada,"Consumer, cyclical",Bedrijfsobligaties,1313442
Air France-KLM,11.358.449,Frankrijk,"Consumer, cyclical",Bedrijfsobligaties,11358449
Air Liquide SA,24.401.020,Frankrijk,Basic materials,Aandelen,24401020
Air Products and Chemicals Inc,29.356.879,Verenigde Staten,Basic materials,Bedrijfsobligaties,29356879
Airports of Thailand PCL,3.091.898,Thailand,Industrial,Aandelen,3091898
Airtac International Group,2.228.828,China,Industrial,Aandelen,2228828
Aisin Corp,2.212.875,Japan,"Consumer, cyclical",Aandelen,2212875
Ajinomoto Co Inc,6.200.294,Japan,"Consumer, non-cyclical",Aandelen,6200294
Akamai Technologies Inc,2.081.498,Verenigde Staten,Technology,Aandelen,2081498
Akbank TAS,2.897.835,Turkije,Financial,Aandelen,2897835
Akzo Nobel NV,12.968.527,Nederland,Basic materials,Bedrijfsobligaties,12968527
Akzo Nobel NV,1.364.651,Nederland,Basic materials,Aandelen,1364651
Al Rajhi Bank,32.351.775,Saoedi-Arabië,Financial,Aandelen,32351775
Albertsons Cos Inc,1.233.643,Verenigde Staten,"Consumer, non-cyclical",Aandelen,1233643
Albertsons Cos Inc / Safeway Inc / New Albertsons LP / Albertsons LLC,7.963.069,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,7963069
Albion Financing 1 SARL / Aggreko Holdings Inc,1.906.641,Luxemburg,"Consumer, non-cyclical",Bedrijfsobligaties,1906641
Alcon AG,4.198.120,Verenigde Staten,"Consumer, non-cyclical",Aandelen,4198120
Alcon Finance BV,5.714.341,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,5714341
Alexandrite Lake Lux Holdings Sarl,2.596.015,Canada,Financial,Bedrijfsobligaties,2596015
Alfa Laval AB,1.477.090,Zweden,Industrial,Aandelen,1477090
Aliaxis Holdings SA,11.401.557,België,Industrial,Bedrijfsobligaties,11401557
Alibaba Group Holding Ltd,145.898.804,China,Communications,Aandelen,145898804
Alibaba Health Information Technology Ltd,3.327.814,China,"Consumer, cyclical",Aandelen,3327814
Align Technology Inc,1.657.273,Verenigde Staten,"Consumer, non-cyclical",Aandelen,1657273
Alimentation Couche-Tard Inc,17.509.903,Canada,"Consumer, cyclical",Bedrijfsobligaties,17509903
Allegro.eu SA,3.592.609,Polen,Communications,Aandelen,3592609
Alliander NV,36.612.103,Nederland,Utilities,Bedrijfsobligaties,36612103
Alliant Energy Corp,3.252.260,Verenigde Staten,Utilities,Aandelen,3252260
Allianz Finance II BV,19.904.125,Duitsland,Financial,Bedrijfsobligaties,19904125
Allianz SE,33.487.308,Duitsland,Financial,Aandelen,33487308
Allstate Corp/The,10.853.069,Verenigde Staten,Financial,Aandelen,10853069
Alpha Bank SA,5.402.128,Griekenland,Financial,Aandelen,5402128
Alphabet Inc,7.612.976,Verenigde Staten,Communications,Bedrijfsobligaties,7612976
Alphabet Inc,538.234.311,Verenigde Staten,Communications,Aandelen,538234311
Alstria Office AG,5.024.549,Duitsland,Financial,Bedrijfsobligaties,5024549
Alta Equipment Group Inc,581.955,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,581955
AltaGas Ltd,1.672.186,Canada,Utilities,Aandelen,1672186
Amadeus IT Group SA,11.799.932,Spanje,"Consumer, cyclical",Bedrijfsobligaties,11799932
Amadeus IT Group SA,18.414.540,Spanje,"Consumer, cyclical",Aandelen,18414540
Amazon.com Inc,368.171.986,Verenigde Staten,Communications,Aandelen,368171986
Amber Finco PLC,5.382.853,Verenigd Koninkrijk,"Consumer, non-cyclical",Bedrijfsobligaties,5382853
Ambev SA,6.697.356,Brazilië,"Consumer, non-cyclical",Aandelen,6697356
Amcor PLC,3.499.467,Verenigde Staten,Industrial,Aandelen,3499467
Amcor UK Finance PLC,21.587.166,Australië,Industrial,Bedrijfsobligaties,21587166
Amer Sports Co,5.636.743,Finland,"Consumer, cyclical",Bedrijfsobligaties,5636743
American Airlines Inc/AAdvantage Loyalty IP Ltd,8.151.823,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,8151823
American Axle & Manufacturing Inc,2.909.734,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,2909734
American Electric Power Co Inc,11.472.128,Verenigde Staten,Utilities,Aandelen,11472128
American Express Co,6.011.892,Verenigde Staten,Financial,Bedrijfsobligaties,6011892
American Express Co,54.736.858,Verenigde Staten,Financial,Aandelen,54736858
American Financial Group Inc/OH,1.821.810,Verenigde Staten,Financial,Aandelen,1821810
American Honda Finance Corp,45.739.275,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,45739275
American International Group Inc,8.753.968,Verenigde Staten,Financial,Aandelen,8753968
American Tower Corp,34.539.968,Verenigde Staten,Financial,Bedrijfsobligaties,34539968
AmeriGas Partners LP / AmeriGas Finance Corp,2.970.429,Verenigde Staten,Utilities,Bedrijfsobligaties,2970429
Ameriprise Financial Inc,8.981.722,Verenigde Staten,Financial,Aandelen,8981722
AmeriTex HoldCo Intermediate LLC,4.774.037,Verenigde Staten,Industrial,Bedrijfsobligaties,4774037
AMETEK Inc,24.509.920,Verenigde Staten,Industrial,Aandelen,24509920
Amgen Inc,28.971.012,Verenigde Staten,"Consumer, non-cyclical",Aandelen,28971012
Amkor Technology Inc,8.443.336,Verenigde Staten,Technology,Bedrijfsobligaties,8443336
Amman Mineral Internasional PT,1.664.770,Indonesië,Basic materials,Aandelen,1664770
AMMB Holdings Bhd,1.813.503,Maleisië,Financial,Aandelen,1813503
AMN Healthcare Inc,15.929.617,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,15929617
Amorepacific Corp,1.733.478,Zuid-Korea,"Consumer, non-cyclical",Aandelen,1733478
Amphenol Corp,40.885.526,Verenigde Staten,Industrial,Aandelen,40885526
Amprion GmbH,14.480.382,Duitsland,Utilities,Bedrijfsobligaties,14480382
Amrize Ltd,2.836.963,Verenigde Staten,Industrial,Aandelen,2836963
ams-OSRAM AG,4.399.175,Oostenrijk,Technology,Bedrijfsobligaties,4399175
Amundi SA,556.387,Frankrijk,Financial,Aandelen,556387
ANA Holdings Inc,761.703,Japan,"Consumer, cyclical",Aandelen,761703
Analog Devices Inc,53.793.453,Verenigde Staten,Technology,Aandelen,53793453
Anglogold Ashanti Plc,18.364.730,Verenigd Koninkrijk,Basic materials,Aandelen,18364730
Anheuser-Busch InBev SA/NV,32.119.953,België,"Consumer, non-cyclical",Bedrijfsobligaties,32119953
Anheuser-Busch InBev SA/NV,6.668.618,België,"Consumer, non-cyclical",Aandelen,6668618
Anker Innovations Technology Co Ltd,471.542,China,"Consumer, cyclical",Aandelen,471542
ANTA Sports Products Ltd,9.444.093,China,"Consumer, cyclical",Aandelen,9444093
ANZ Group Holdings Ltd,15.660.127,Australië,Financial,Aandelen,15660127
ANZ New Zealand Int'l Ltd/London,9.337.669,Nieuw-Zeeland,Financial,Bedrijfsobligaties,9337669
Aon PLC,22.430.855,Verenigde Staten,Financial,Aandelen,22430855
AP Moller - Maersk A/S,8.568.220,Denemarken,Industrial,Bedrijfsobligaties,8568220
AP Moller - Maersk A/S,1.614.511,Denemarken,Industrial,Aandelen,1614511
APA Group,1.797.231,Australië,Energy,Aandelen,1797231
APi Group DE Inc,827.579,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,827579
APL Apollo Tubes Ltd,1.953.466,India,Industrial,Aandelen,1953466
Apollo Global Management Inc,10.172.868,Verenigde Staten,Financial,Aandelen,10172868
Apollo Hospitals Enterprise Ltd,5.474.221,India,"Consumer, non-cyclical",Aandelen,5474221
Apple Inc,19.166.013,Verenigde Staten,Technology,Bedrijfsobligaties,19166013
Apple Inc,462.405.696,Verenigde Staten,Technology,Aandelen,462405696
Applied Materials Inc,43.140.199,Verenigde Staten,Technology,Aandelen,43140199
AppLovin Corp,31.804.721,Verenigde Staten,Communications,Aandelen,31804721
APRR SA,40.133.046,Frankrijk,"Consumer, non-cyclical",Bedrijfsobligaties,40133046
Aptiv PLC,3.699.608,Jersey,"Consumer, cyclical",Aandelen,3699608
Arab National Bank,3.181.262,Saoedi-Arabië,Financial,Aandelen,3181262
Aramark,9.455.355,Verenigde Staten,"Consumer, cyclical",Aandelen,9455355
Aramark International Finance Sarl,8.072.981,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,8072981
Aramark Services Inc,1.708.049,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,1708049
Arca Continental SAB de CV,3.361.792,Mexico,"Consumer, non-cyclical",Aandelen,3361792
Arcadis NV,4.591.863,Nederland,Industrial,Bedrijfsobligaties,4591863
Arch Capital Group Ltd,6.765.601,Verenigde Staten,Financial,Aandelen,6765601
Archer-Daniels-Midland Co,5.374.058,Verenigde Staten,"Consumer, non-cyclical",Aandelen,5374058
Arcosa Inc,6.495.987,Verenigde Staten,Industrial,Bedrijfsobligaties,6495987
Ardagh Metal Packaging Finance USA LLC / Ardagh Metal Packaging Finance PLC,14.066.310,Verenigde Staten,Industrial,Bedrijfsobligaties,14066310
Argenta Spaarbank NV,9.849.185,België,Financial,Bedrijfsobligaties,9849185
Argentum Netherlands BV for Givaudan SA,1.147.522,Zwitserland,Basic materials,Bedrijfsobligaties,1147522
Arista Networks Inc,29.830.867,Verenigde Staten,Communications,Aandelen,29830867
Arkema SA,15.293.294,Frankrijk,Basic materials,Bedrijfsobligaties,15293294
Aroundtown Finance Sarl,14.137.250,Duitsland,Financial,Bedrijfsobligaties,14137250
Aroundtown SA,30.180.063,Duitsland,Financial,Bedrijfsobligaties,30180063
Arsenal AIC Parent LLC,4.891.628,Verenigde Staten,Basic materials,Bedrijfsobligaties,4891628
Arthur J Gallagher & Co,15.122.166,Verenigde Staten,Financial,Aandelen,15122166
Asahi Group Holdings Ltd,26.028.965,Japan,"Consumer, non-cyclical",Bedrijfsobligaties,26028965
Asahi Group Holdings Ltd,4.139.732,Japan,"Consumer, non-cyclical",Aandelen,4139732
Asahi Kasei Corp,2.315.848,Japan,Basic materials,Aandelen,2315848
ASB Bank Ltd,13.342.280,Nieuw-Zeeland,Financial,Bedrijfsobligaties,13342280
Asbury Automotive Group Inc,15.214.512,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,15214512
ASE Technology Holding Co Ltd,9.754.368,Taiwan,Technology,Aandelen,9754368
Aselsan Elektronik Sanayi Ve Ticaret AS,4.641.459,Turkije,Industrial,Aandelen,4641459
ASGN Inc,2.295.482,Verenigde Staten,Technology,Bedrijfsobligaties,2295482
Ashland Services BV,8.254.124,Verenigde Staten,Basic materials,Bedrijfsobligaties,8254124
Ashtead Group PLC,3.298.300,Verenigd Koninkrijk,"Consumer, non-cyclical",Aandelen,3298300
Asia Cement Corp,1.646.947,Taiwan,Industrial,Aandelen,1646947
Asia Vital Components Co Ltd,5.834.777,Taiwan,Technology,Aandelen,5834777
Asian Paints Ltd,6.691.905,India,Basic materials,Aandelen,6691905
Asics Corp,4.134.628,Japan,"Consumer, cyclical",Aandelen,4134628
ASM International NV,3.196.076,Nederland,Technology,Aandelen,3196076
ASML Holding NV,110.881.762,Nederland,Technology,Aandelen,110881762
ASML Holding NV,19.463.321,Nederland,Technology,Bedrijfsobligaties,19463321
ASN Bank NV,30.934.253,Nederland,Financial,Bedrijfsobligaties,30934253
ASR Nederland NV,1.125.959,Nederland,Financial,Aandelen,1125959
ASR Nederland NV,11.618.174,Nederland,Financial,Bedrijfsobligaties,11618174
Assa Abloy AB,16.470.085,Zweden,Industrial,Aandelen,16470085
Astellas Pharma Inc,4.668.781,Japan,"Consumer, non-cyclical",Aandelen,4668781
ASTM SpA,12.864.279,Italië,"Consumer, non-cyclical",Bedrijfsobligaties,12864279
Astral Ltd,1.297.668,India,Industrial,Aandelen,1297668
Astrazeneca Finance LLC,5.157.812,Verenigd Koninkrijk,"Consumer, non-cyclical",Bedrijfsobligaties,5157812
AstraZeneca PLC,69.088.694,Verenigd Koninkrijk,"Consumer, non-cyclical",Aandelen,69088694
AstraZeneca PLC,26.429.609,Verenigd Koninkrijk,"Consumer, non-cyclical",Bedrijfsobligaties,26429609
Asustek Computer Inc,8.768.878,Taiwan,Technology,Aandelen,8768878
ASX Ltd,1.792.382,Australië,Financial,Aandelen,1792382
AT&T Inc,38.706.585,Verenigde Staten,Communications,Aandelen,38706585
AT&T Inc,62.402.121,Verenigde Staten,Communications,Bedrijfsobligaties,62402121
ATI Inc,4.760.189,Verenigde Staten,Industrial,Bedrijfsobligaties,4760189
Atlas Copco AB,24.545.580,Zweden,Industrial,Aandelen,24545580
Atlas Copco Finance DAC,3.660.232,Zweden,Industrial,Bedrijfsobligaties,3660232
Atlassian Corp,4.905.984,Verenigde Staten,Technology,Aandelen,4905984
Atmos Energy Corp,5.085.153,Verenigde Staten,Utilities,Aandelen,5085153
Atos SE,13.306.217,Frankrijk,Technology,Bedrijfsobligaties,13306217
ATS Corp,3.426.405,Canada,Industrial,Bedrijfsobligaties,3426405
AU Small Finance Bank Ltd,1.873.102,India,Financial,Aandelen,1873102
Auckland International Airport Ltd,1.416.258,Nieuw-Zeeland,Industrial,Aandelen,1416258
Aurizon Network Pty Ltd,7.312.749,Australië,Industrial,Bedrijfsobligaties,7312749
Aurobindo Pharma Ltd,1.868.826,India,"Consumer, non-cyclical",Aandelen,1868826
Ausgrid Finance Pty Ltd,6.962.331,Australië,Utilities,Bedrijfsobligaties,6962331
AusNet Services Holdings Pty Ltd,11.558.805,Australië,Utilities,Bedrijfsobligaties,11558805
Australia & New Zealand Banking Group Ltd,13.321.805,Australië,Financial,Bedrijfsobligaties,13321805
Australia Pacific Airports Melbourne Pty Ltd,19.040.357,Australië,Industrial,Bedrijfsobligaties,19040357
Auto Trader Group PLC,1.057.306,Verenigd Koninkrijk,Communications,Aandelen,1057306
Autodesk Inc,12.921.193,Verenigde Staten,Technology,Aandelen,12921193
Automatic Data Processing Inc,22.788.339,Verenigde Staten,"Consumer, non-cyclical",Aandelen,22788339
Autoroutes du Sud de la France SA,25.458.427,Frankrijk,"Consumer, non-cyclical",Bedrijfsobligaties,25458427
AutoZone Inc,13.768.932,Verenigde Staten,"Consumer, cyclical",Aandelen,13768932
Avantor Funding Inc,18.991.006,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,18991006
Avenue Supermarts Ltd,5.356.274,India,"Consumer, non-cyclical",Aandelen,5356274
Avery Dennison Corp,5.130.114,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,5130114
Avient Corp,9.934.815,Verenigde Staten,Basic materials,Bedrijfsobligaties,9934815
Avis Budget Finance Plc,14.779.029,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,14779029
Aviva PLC,2.827.456,Verenigd Koninkrijk,Financial,Aandelen,2827456
Avolta AG,530.068,Zwitserland,"Consumer, cyclical",Aandelen,530068
AXA SA,32.418.894,Frankrijk,Financial,Aandelen,32418894
AXA SA,16.415.213,Frankrijk,Financial,Bedrijfsobligaties,16415213
Axalta Coating Systems Dutch Holding B BV,4.604.231,Verenigde Staten,Basic materials,Bedrijfsobligaties,4604231
Axalta Coating Systems LLC,809.892,Verenigde Staten,Basic materials,Bedrijfsobligaties,809892
Axis Bank Ltd,16.848.352,India,Financial,Aandelen,16848352
Axon Enterprise Inc,9.978.555,Verenigde Staten,Industrial,Aandelen,9978555
Axon Enterprise Inc,4.969.536,Verenigde Staten,Industrial,Bedrijfsobligaties,4969536
Ayvens Bank NV,19.354.663,Nederland,Financial,Bedrijfsobligaties,19354663
Ayvens SA,11.403.152,Frankrijk,"Consumer, non-cyclical",Bedrijfsobligaties,11403152
Azelis Finance NV,11.491.415,België,"Consumer, cyclical",Bedrijfsobligaties,11491415
B3 SA - Brasil Bolsa Balcao,7.947.485,Brazilië,Financial,Aandelen,7947485
Baidu Inc,24.607.469,China,Communications,Aandelen,24607469
Bajaj Auto Ltd,4.263.268,India,"Consumer, cyclical",Aandelen,4263268
Bajaj Finance Ltd,17.822.922,India,Financial,Aandelen,17822922
Balder Finland Oyj,16.790.673,Zweden,Financial,Bedrijfsobligaties,16790673
Balkrishna Industries Ltd,1.452.457,India,"Consumer, cyclical",Aandelen,1452457
Ball Corp,30.475.401,Verenigde Staten,Industrial,Bedrijfsobligaties,30475401
Ball Corp,13.866.187,Verenigde Staten,Industrial,Aandelen,13866187
Baloise Holding AG,1.140.773,Zwitserland,Financial,Aandelen,1140773
Banca Mediolanum SpA,511.244,Italië,Financial,Aandelen,511244
Banco Bilbao Vizcaya Argentaria SA,35.889.307,Spanje,Financial,Aandelen,35889307
Banco BPM SpA,5.459.250,Italië,Financial,Bedrijfsobligaties,5459250
Banco BPM SpA,1.901.357,Italië,Financial,Aandelen,1901357
Banco Bradesco SA,12.266.240,Brazilië,Financial,Aandelen,12266240
Banco Comercial Portugues SA,17.115.986,Portugal,Financial,Bedrijfsobligaties,17115986
Banco de Chile,3.907.484,Chili,Financial,Aandelen,3907484
Banco de Credito e Inversiones,2.369.141,Chili,Financial,Aandelen,2369141
Banco de Sabadell SA,12.438.762,Spanje,Financial,Bedrijfsobligaties,12438762
Banco de Sabadell SA,2.344.046,Spanje,Financial,Aandelen,2344046
Banco do Brasil SA,4.009.140,Brazilië,Financial,Aandelen,4009140
Banco Santander Chile,2.848.547,Chili,Financial,Aandelen,2848547
Banco Santander SA,36.936.604,Spanje,Financial,Bedrijfsobligaties,36936604
Banco Santander SA,17.889.984,Spanje,Financial,Aandelen,17889984
Bandai Namco Holdings Inc,4.722.644,Japan,"Consumer, cyclical",Aandelen,4722644
Bangkok Dusit Medical Services PCL,4.377.772,Thailand,"Consumer, non-cyclical",Aandelen,4377772
Bank Al-Jazira,1.238.337,Saoedi-Arabië,Financial,Aandelen,1238337
Bank AlBilad,3.115.911,Saoedi-Arabië,Financial,Aandelen,3115911
Bank Central Asia Tbk PT,14.116.318,Indonesië,Financial,Aandelen,14116318
Bank Mandiri Persero Tbk PT,5.726.654,Indonesië,Financial,Aandelen,5726654
Bank Negara Indonesia Persero Tbk PT,2.234.594,Indonesië,Financial,Aandelen,2234594
Bank of America Corp,110.747.616,Verenigde Staten,Financial,Aandelen,110747616
Bank of America Corp,25.763.097,Verenigde Staten,Financial,Bedrijfsobligaties,25763097
Bank of Baroda,1.808.126,India,Financial,Aandelen,1808126
Bank of Ireland Group PLC,1.857.913,Ierland,Financial,Aandelen,1857913
Bank of Ireland Group PLC,9.974.605,Ierland,Financial,Bedrijfsobligaties,9974605
Bank of Montreal,18.015.535,Canada,Financial,Aandelen,18015535
Bank of Montreal,23.599.431,Canada,Financial,Bedrijfsobligaties,23599431
Bank of New York Mellon Corp/The,14.929.467,Verenigde Staten,Financial,Aandelen,14929467
Bank of New Zealand,9.027.444,Nieuw-Zeeland,Financial,Bedrijfsobligaties,9027444
Bank of Nova Scotia/The,15.375.911,Canada,Financial,Aandelen,15375911
Bank of the Philippine Islands,2.385.611,Filipijnen,Financial,Aandelen,2385611
Bank Polska Kasa Opieki SA,5.074.015,Polen,Financial,Aandelen,5074015
Bank Rakyat Indonesia Persero Tbk PT,9.165.438,Indonesië,Financial,Aandelen,9165438
Bankinter SA,1.195.016,Spanje,Financial,Aandelen,1195016
Bankinter SA,8.661.551,Spanje,Financial,Bedrijfsobligaties,8661551
Banque Cantonale Vaudoise,411.921,Zwitserland,Financial,Aandelen,411921
Banque Federative du Credit Mutuel SA,42.667.737,Frankrijk,Financial,Bedrijfsobligaties,42667737
Banque Saudi Fransi,3.129.225,Saoedi-Arabië,Financial,Aandelen,3129225
Barclays PLC,14.090.784,Verenigd Koninkrijk,Financial,Bedrijfsobligaties,14090784
Barclays PLC,8.257.905,Verenigd Koninkrijk,Financial,Aandelen,8257905
Barratt Redrow PLC,816.382,Verenigd Koninkrijk,"Consumer, cyclical",Aandelen,816382
BASF SE,20.077.817,Duitsland,Basic materials,Bedrijfsobligaties,20077817
Bath & Body Works Inc,2.911.869,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,2911869
Bausch Health Cos Inc,936.460,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,936460
Baxter International Inc,8.556.462,Verenigde Staten,"Consumer, non-cyclical",Aandelen,8556462
Bayer AG,54.770.533,Duitsland,"Consumer, non-cyclical",Bedrijfsobligaties,54770533
Bayerische Motoren Werke AG,3.887.870,Duitsland,"Consumer, cyclical",Aandelen,3887870
BB Seguridade Participacoes SA,2.658.833,Brazilië,Financial,Aandelen,2658833
BCE Inc,312.251,Canada,Communications,Aandelen,312251
BDO Unibank Inc,3.467.148,Filipijnen,Financial,Aandelen,3467148
BE Semiconductor Industries NV,1.359.578,Nederland,Technology,Aandelen,1359578
BE Semiconductor Industries NV,6.311.597,Nederland,Technology,Bedrijfsobligaties,6311597
Beach Acquisition Bidco LLC,4.834.753,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,4834753
Becton Dickinson & Co,10.257.872,Verenigde Staten,"Consumer, non-cyclical",Aandelen,10257872
Becton Dickinson & Co,12.879.828,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,12879828
Becton Dickinson Euro Finance Sarl,43.062.352,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,43062352
Beiersdorf AG,1.157.089,Duitsland,"Consumer, non-cyclical",Aandelen,1157089
Beijer Ref AB,683.022,Zweden,Industrial,Aandelen,683022
Beijing Kingsoft Office Software Inc,769.894,China,Technology,Aandelen,769894
Beijing Roborock Technology Co Ltd,360.964,China,"Consumer, cyclical",Aandelen,360964
Belden Inc,7.244.854,Verenigde Staten,Industrial,Bedrijfsobligaties,7244854
Belfius Bank SA,20.657.996,België,Financial,Bedrijfsobligaties,20657996
