Bedrijfsnaam Aflopend sorteren,Bedrag in €,Land,Sector,Type,Bedrag in € (num)
Aeon Co Ltd,4.692.234,Japan,"Consumer, non-cyclical",Aandelen,4692234
AEP Texas Inc,10.238.267,Verenigde Staten,Utilities,Bedrijfsobligaties,10238267
AerCap Holdings NV,2.406.980,Ierland,Financial,Aandelen,2406980
AerCap Ireland Capital DAC / AerCap Global Aviation Trust,7.513.696,Ierland,Financial,Bedrijfsobligaties,7513696
Aeroporti di Roma SpA,13.525.387,Italië,Industrial,Bedrijfsobligaties,13525387
Aeroports de Paris SA,24.462.218,Frankrijk,Industrial,Bedrijfsobligaties,24462218
Aeroports de Paris SA,480.502,Frankrijk,Industrial,Aandelen,480502
AES Corp/The,4.456.958,Verenigde Staten,Utilities,Bedrijfsobligaties,4456958
Aflac Inc,12.699.312,Verenigde Staten,Financial,Aandelen,12699312
AGC Inc,1.371.134,Japan,Industrial,Aandelen,1371134
AGCO Corp,1.120.427,Verenigde Staten,Industrial,Bedrijfsobligaties,1120427
AGCO International Holdings BV,5.722.979,Verenigde Staten,Industrial,Bedrijfsobligaties,5722979
Ageas SA/NV,1.140.692,België,Financial,Aandelen,1140692
Agilent Technologies Inc,2.634.034,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,2634034
Agilent Technologies Inc,2.634.034,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,2634034
AIA Group Ltd,22.476.782,Hongkong,Financial,Aandelen,22476782
AIB Group PLC,1.893.438,Ierland,Financial,Aandelen,1893438
AIB Group PLC,5.958.803,Ierland,Financial,Bedrijfsobligaties,5958803
Aier Eye Hospital Group Co Ltd,846.911,China,"Consumer, non-cyclical",Aandelen,846911
Air Canada,1.326.291,Canada,"Consumer, cyclical",Bedrijfsobligaties,1326291
Air France-KLM,5.462.542,Frankrijk,"Consumer, cyclical",Bedrijfsobligaties,5462542
Air Lease Corp,6.613.974,Verenigde Staten,Financial,Bedrijfsobligaties,6613974
Air Liquide SA,24.163.716,Frankrijk,Basic materials,Aandelen,24163716
Air Products and Chemicals Inc,30.901.484,Verenigde Staten,Basic materials,Bedrijfsobligaties,30901484
Airbnb Inc,13.604.915,Verenigde Staten,Communications,Aandelen,13604915
Airports of Thailand PCL,2.308.974,Thailand,Industrial,Aandelen,2308974
Airtac International Group,2.692.462,China,Industrial,Aandelen,2692462
Aisin Corp,1.588.215,Japan,"Consumer, cyclical",Aandelen,1588215
Ajinomoto Co Inc,5.738.197,Japan,"Consumer, non-cyclical",Aandelen,5738197
Akamai Technologies Inc,2.754.178,Verenigde Staten,Technology,Aandelen,2754178
Akbank TAS,2.873.666,Turkije,Financial,Aandelen,2873666
Akzo Nobel NV,1.337.629,Nederland,Basic materials,Aandelen,1337629
Akzo Nobel NV,19.107.962,Nederland,Basic materials,Bedrijfsobligaties,19107962
Al Rajhi Bank,27.713.191,Saoedi-Arabië,Financial,Aandelen,27713191
Albertsons Cos Inc,1.880.038,Verenigde Staten,"Consumer, non-cyclical",Aandelen,1880038
Albertsons Cos Inc / Safeway Inc / New Albertsons LP / Albertsons LLC,3.304.011,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,3304011
Albion Financing 1 SARL / Aggreko Holdings Inc,1.267.393,Luxemburg,"Consumer, non-cyclical",Bedrijfsobligaties,1267393
Alcon AG,4.932.896,Verenigde Staten,"Consumer, non-cyclical",Aandelen,4932896
Alcon Finance BV,5.662.987,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,5662987
Alexandria Real Estate Equities Inc,5.030.456,Verenigde Staten,Financial,Bedrijfsobligaties,5030456
Alfa Laval AB,1.354.879,Zweden,Industrial,Aandelen,1354879
Aliaxis Finance SA,11.277.900,België,Industrial,Bedrijfsobligaties,11277900
Alibaba Group Holding Ltd,88.019.594,China,Communications,Aandelen,88019594
Alibaba Health Information Technology Ltd,2.349.759,China,"Consumer, cyclical",Aandelen,2349759
Align Technology Inc,3.129.667,Verenigde Staten,"Consumer, non-cyclical",Aandelen,3129667
Alimentation Couche-Tard Inc,17.285.461,Canada,"Consumer, cyclical",Bedrijfsobligaties,17285461
Allegion US Holding Co Inc,3.324.282,Verenigde Staten,Industrial,Bedrijfsobligaties,3324282
Allegro.eu SA,3.508.251,Polen,Communications,Aandelen,3508251
Alliander NV,27.138.078,Nederland,Utilities,Bedrijfsobligaties,27138078
Alliant Energy Corp,3.607.749,Verenigde Staten,Utilities,Aandelen,3607749
Allianz Finance II BV,19.770.617,Duitsland,Financial,Bedrijfsobligaties,19770617
Allianz SE,32.072.185,Duitsland,Financial,Aandelen,32072185
Allied Universal Holdco LLC/Allied Universal Finance Corp/Atlas Luxco 4 Sarl,2.616.124,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,2616124
Allstate Corp/The,3.981.327,Verenigde Staten,Financial,Bedrijfsobligaties,3981327
Allstate Corp/The,3.981.327,Verenigde Staten,Financial,Bedrijfsobligaties,3981327
Ally Financial Inc,13.692.581,Verenigde Staten,Financial,Bedrijfsobligaties,13692581
Almarai Co JSC,3.659.049,Saoedi-Arabië,"Consumer, non-cyclical",Aandelen,3659049
Alpha Bank SA,4.469.386,Griekenland,Financial,Aandelen,4469386
Alphabet Inc,7.564.456,Verenigde Staten,Communications,Bedrijfsobligaties,7564456
Alphabet Inc,387.142.524,Verenigde Staten,Communications,Aandelen,387142524
Alstom SA,14.760.823,Frankrijk,Industrial,Bedrijfsobligaties,14760823
Alstom SA,897.356,Frankrijk,Industrial,Aandelen,897356
Alta Equipment Group Inc,736.544,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,736544
AltaGas Ltd,1.953.388,Canada,Utilities,Aandelen,1953388
Amadeus IT Group SA,19.425.619,Spanje,"Consumer, cyclical",Aandelen,19425619
Amadeus IT Group SA,10.172.119,Spanje,"Consumer, cyclical",Bedrijfsobligaties,10172119
Amazon.com Inc,387.670.363,Verenigde Staten,Communications,Aandelen,387670363
Amber Finco PLC,5.442.539,Verenigd Koninkrijk,"Consumer, non-cyclical",Bedrijfsobligaties,5442539
Ambev SA,7.206.946,Brazilië,"Consumer, non-cyclical",Aandelen,7206946
Amcor Finance USA Inc,1.789.771,Verenigde Staten,Industrial,Bedrijfsobligaties,1789771
Amcor PLC,4.873.945,Verenigde Staten,Industrial,Aandelen,4873945
Amcor UK Finance PLC,21.426.100,Australië,Industrial,Bedrijfsobligaties,21426100
Amer Sports Co,5.742.103,Finland,"Consumer, cyclical",Bedrijfsobligaties,5742103
Ameren Corp,4.601.085,Verenigde Staten,Utilities,Bedrijfsobligaties,4601085
American Airlines Inc/AAdvantage Loyalty IP Ltd,8.176.171,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,8176171
American Assets Trust LP,9.592.871,Verenigde Staten,Financial,Bedrijfsobligaties,9592871
American Electric Power Co Inc,12.861.343,Verenigde Staten,Utilities,Aandelen,12861343
American Express Co,11.620.213,Verenigde Staten,Financial,Bedrijfsobligaties,11620213
American Express Co,41.569.709,Verenigde Staten,Financial,Aandelen,41569709
American Financial Group Inc/OH,1.957.150,Verenigde Staten,Financial,Aandelen,1957150
American Homes 4 Rent LP,13.760.317,Verenigde Staten,Financial,Bedrijfsobligaties,13760317
American Honda Finance Corp,57.866.639,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,57866639
American International Group Inc,11.602.062,Verenigde Staten,Financial,Aandelen,11602062
American International Group Inc,2.247.708,Verenigde Staten,Financial,Bedrijfsobligaties,2247708
American Tower Corp,41.974.870,Verenigde Staten,Financial,Bedrijfsobligaties,41974870
American Water Capital Corp,6.674.885,Verenigde Staten,Utilities,Bedrijfsobligaties,6674885
AmeriGas Partners LP / AmeriGas Finance Corp,2.911.059,Verenigde Staten,Utilities,Bedrijfsobligaties,2911059
Ameriprise Financial Inc,2.621.157,Verenigde Staten,Financial,Bedrijfsobligaties,2621157
Ameriprise Financial Inc,11.882.694,Verenigde Staten,Financial,Aandelen,11882694
AMETEK Inc,9.712.967,Verenigde Staten,Industrial,Aandelen,9712967
Amgen Inc,34.845.532,Verenigde Staten,"Consumer, non-cyclical",Aandelen,34845532
Amgen Inc,13.115.879,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,13115879
Amman Mineral Internasional PT,2.000.559,Indonesië,Basic materials,Aandelen,2000559
AMMB Holdings Bhd,1.637.778,Maleisië,Financial,Aandelen,1637778
AMN Healthcare Inc,12.008.325,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,12008325
Amorepacific Corp,2.016.294,Zuid-Korea,"Consumer, non-cyclical",Aandelen,2016294
Amphenol Corp,2.781.129,Verenigde Staten,Industrial,Bedrijfsobligaties,2781129
Amphenol Corp,27.797.976,Verenigde Staten,Industrial,Aandelen,27797976
Amprion GmbH,14.630.171,Duitsland,Utilities,Bedrijfsobligaties,14630171
Amrize Ltd,2.904.524,Verenigde Staten,Industrial,Aandelen,2904524
ams-OSRAM AG,5.987.675,Oostenrijk,Technology,Bedrijfsobligaties,5987675
Amundi SA,567.119,Frankrijk,Financial,Aandelen,567119
ANA Holdings Inc,769.061,Japan,"Consumer, cyclical",Aandelen,769061
Analog Devices Inc,6.184.612,Verenigde Staten,Technology,Bedrijfsobligaties,6184612
Analog Devices Inc,27.459.338,Verenigde Staten,Technology,Aandelen,27459338
Anglogold Ashanti Plc,11.778.000,Verenigd Koninkrijk,Basic materials,Aandelen,11778000
Anheuser-Busch InBev SA/NV,7.575.044,België,"Consumer, non-cyclical",Aandelen,7575044
Anheuser-Busch InBev SA/NV,31.937.127,België,"Consumer, non-cyclical",Bedrijfsobligaties,31937127
Anker Innovations Technology Co Ltd,437.585,China,"Consumer, cyclical",Aandelen,437585
ANSYS Inc,7.128.224,Verenigde Staten,Technology,Aandelen,7128224
ANTA Sports Products Ltd,9.469.793,China,"Consumer, cyclical",Aandelen,9469793
ANZ Group Holdings Ltd,13.307.210,Australië,Financial,Aandelen,13307210
ANZ New Zealand Int'l Ltd/London,9.276.156,Nieuw-Zeeland,Financial,Bedrijfsobligaties,9276156
Aon Corp,1.426.148,Verenigde Staten,Financial,Bedrijfsobligaties,1426148
Aon North America Inc,2.858.445,Verenigde Staten,Financial,Bedrijfsobligaties,2858445
Aon PLC,16.105.183,Verenigde Staten,Financial,Aandelen,16105183
AP Moller - Maersk A/S,8.445.931,Denemarken,Industrial,Bedrijfsobligaties,8445931
AP Moller - Maersk A/S,1.454.301,Denemarken,Industrial,Aandelen,1454301
APA Group,1.636.732,Australië,Energy,Aandelen,1636732
APi Group DE Inc,621.235,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,621235
APL Apollo Tubes Ltd,2.088.074,India,Industrial,Aandelen,2088074
Apollo Global Management Inc,13.164.777,Verenigde Staten,Financial,Aandelen,13164777
Apollo Global Management Inc,4.125.674,Verenigde Staten,Financial,Bedrijfsobligaties,4125674
Apollo Hospitals Enterprise Ltd,5.162.593,India,"Consumer, non-cyclical",Aandelen,5162593
Apple Inc,357.651.939,Verenigde Staten,Technology,Aandelen,357651939
Apple Inc,12.718.480,Verenigde Staten,Technology,Bedrijfsobligaties,12718480
Applied Materials Inc,34.540.865,Verenigde Staten,Technology,Aandelen,34540865
Applied Materials Inc,6.962.834,Verenigde Staten,Technology,Bedrijfsobligaties,6962834
AppLovin Corp,18.854.843,Verenigde Staten,Technology,Aandelen,18854843
APRR SA,39.842.079,Frankrijk,"Consumer, non-cyclical",Bedrijfsobligaties,39842079
Aptiv PLC,3.633.441,Jersey,"Consumer, cyclical",Aandelen,3633441
Aptiv Swiss Holdings Ltd,2.535.834,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,2535834
Arab National Bank,2.798.858,Saoedi-Arabië,Financial,Aandelen,2798858
Aramark International Finance Sarl,7.861.687,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,7861687
Aramark Services Inc,3.226.219,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,3226219
Arca Continental SAB de CV,3.372.730,Mexico,"Consumer, non-cyclical",Aandelen,3372730
Arcadis NV,4.565.374,Nederland,Industrial,Bedrijfsobligaties,4565374
Arch Capital Group Ltd,7.926.085,Verenigde Staten,Financial,Aandelen,7926085
Arch Capital Group Ltd,852.833,Verenigde Staten,Financial,Bedrijfsobligaties,852833
Archer-Daniels-Midland Co,25.503.462,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,25503462
Archer-Daniels-Midland Co,5.883.699,Verenigde Staten,"Consumer, non-cyclical",Aandelen,5883699
Arcosa Inc,6.539.705,Verenigde Staten,Industrial,Bedrijfsobligaties,6539705
Ardagh Metal Packaging Finance USA LLC / Ardagh Metal Packaging Finance PLC,13.907.164,Verenigde Staten,Industrial,Bedrijfsobligaties,13907164
Argenta Spaarbank NV,9.775.736,België,Financial,Bedrijfsobligaties,9775736
Argentum Netherlands BV for Givaudan SA,11.523.549,Zwitserland,Basic materials,Bedrijfsobligaties,11523549
Arista Networks Inc,25.479.317,Verenigde Staten,Communications,Aandelen,25479317
Aristocrat Leisure Ltd,5.638.461,Australië,"Consumer, cyclical",Aandelen,5638461
Arkema SA,12.365.166,Frankrijk,Basic materials,Bedrijfsobligaties,12365166
Aroundtown Finance Sarl,11.094.847,Duitsland,Financial,Bedrijfsobligaties,11094847
Aroundtown SA,20.145.237,Duitsland,Financial,Bedrijfsobligaties,20145237
Arsenal AIC Parent LLC,9.411.734,Verenigde Staten,Basic materials,Bedrijfsobligaties,9411734
Arthur J Gallagher & Co,19.019.303,Verenigde Staten,Financial,Aandelen,19019303
Arthur J Gallagher & Co,6.142.716,Verenigde Staten,Financial,Bedrijfsobligaties,6142716
Asahi Group Holdings Ltd,25.789.294,Japan,"Consumer, non-cyclical",Bedrijfsobligaties,25789294
Asahi Group Holdings Ltd,25.789.294,Japan,"Consumer, non-cyclical",Bedrijfsobligaties,25789294
Asahi Kasei Corp,2.035.142,Japan,Basic materials,Aandelen,2035142
ASB Bank Ltd,13.249.834,Nieuw-Zeeland,Financial,Bedrijfsobligaties,13249834
Asbury Automotive Group Inc,14.946.034,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,14946034
ASE Technology Holding Co Ltd,9.162.145,Taiwan,Technology,Aandelen,9162145
Aselsan Elektronik Sanayi Ve Ticaret AS,3.405.025,Turkije,Industrial,Aandelen,3405025
ASGN Inc,3.092.309,Verenigde Staten,Technology,Bedrijfsobligaties,3092309
Ashland Services BV,6.921.289,Verenigde Staten,Basic materials,Bedrijfsobligaties,6921289
Ashtead Group PLC,3.095.025,Verenigd Koninkrijk,"Consumer, non-cyclical",Aandelen,3095025
Asia Cement Corp,1.922.888,Taiwan,Industrial,Aandelen,1922888
Asia Vital Components Co Ltd,4.615.237,Taiwan,Technology,Aandelen,4615237
Asian Paints Ltd,6.421.172,India,Basic materials,Aandelen,6421172
Asics Corp,3.943.553,Japan,"Consumer, cyclical",Aandelen,3943553
ASM International NV,3.362.016,Nederland,Technology,Aandelen,3362016
ASML Holding NV,19.352.909,Nederland,Technology,Bedrijfsobligaties,19352909
ASML Holding NV,96.194.129,Nederland,Technology,Aandelen,96194129
Aspen Pharmacare Holdings Ltd,1.505.373,Zuid-Africa,"Consumer, non-cyclical",Aandelen,1505373
ASR Nederland NV,7.295.575,Nederland,Financial,Bedrijfsobligaties,7295575
ASR Nederland NV,1.098.677,Nederland,Financial,Aandelen,1098677
Assa Abloy AB,14.686.499,Zweden,Industrial,Aandelen,14686499
Astellas Pharma Inc,4.177.068,Japan,"Consumer, non-cyclical",Aandelen,4177068
ASTM SpA,12.648.021,Italië,"Consumer, non-cyclical",Bedrijfsobligaties,12648021
Astral Ltd,1.482.996,India,Industrial,Aandelen,1482996
Astrazeneca Finance LLC,8.101.666,Verenigd Koninkrijk,"Consumer, non-cyclical",Bedrijfsobligaties,8101666
AstraZeneca PLC,33.090.205,Verenigd Koninkrijk,"Consumer, non-cyclical",Bedrijfsobligaties,33090205
AstraZeneca PLC,61.035.320,Verenigd Koninkrijk,"Consumer, non-cyclical",Aandelen,61035320
Asustek Computer Inc,8.789.360,Taiwan,Technology,Aandelen,8789360
ASX Ltd,2.112.410,Australië,Financial,Aandelen,2112410
AT&T Inc,48.253.780,Verenigde Staten,Communications,Aandelen,48253780
AT&T Inc,57.839.503,Verenigde Staten,Communications,Bedrijfsobligaties,57839503
ATI Inc,4.672.370,Verenigde Staten,Basic materials,Bedrijfsobligaties,4672370
Atlas Copco AB,18.746.165,Zweden,Industrial,Aandelen,18746165
Atlas Copco Finance DAC,3.611.412,Zweden,Industrial,Bedrijfsobligaties,3611412
Atlassian Corp,7.740.033,Verenigde Staten,Technology,Aandelen,7740033
Atmos Energy Corp,2.126.025,Verenigde Staten,Utilities,Bedrijfsobligaties,2126025
Atmos Energy Corp,5.686.257,Verenigde Staten,Utilities,Aandelen,5686257
Atos SE,13.538.264,Frankrijk,Technology,Bedrijfsobligaties,13538264
ATS Corp,3.386.609,Canada,Industrial,Bedrijfsobligaties,3386609
AU Small Finance Bank Ltd,1.714.495,India,Financial,Aandelen,1714495
Auckland International Airport Ltd,1.456.710,Nieuw-Zeeland,Industrial,Aandelen,1456710
Aurizon Network Pty Ltd,7.258.835,Australië,Industrial,Bedrijfsobligaties,7258835
Aurobindo Pharma Ltd,2.027.672,India,"Consumer, non-cyclical",Aandelen,2027672
Ausgrid Finance Pty Ltd,6.857.444,Australië,Utilities,Bedrijfsobligaties,6857444
AusNet Services Holdings Pty Ltd,11.463.285,Australië,Utilities,Bedrijfsobligaties,11463285
Australia & New Zealand Banking Group Ltd,8.524.906,Australië,Financial,Bedrijfsobligaties,8524906
Australia & New Zealand Banking Group Ltd/New York NY,2.901.037,Australië,Financial,Bedrijfsobligaties,2901037
Australia Pacific Airports Melbourne Pty Ltd,18.748.584,Australië,Industrial,Bedrijfsobligaties,18748584
Auto Trader Group PLC,1.126.779,Verenigd Koninkrijk,Communications,Aandelen,1126779
Autodesk Inc,12.625.503,Verenigde Staten,Technology,Bedrijfsobligaties,12625503
Autodesk Inc,15.291.653,Verenigde Staten,Technology,Aandelen,15291653
Autohome Inc,885.409,China,Communications,Aandelen,885409
Automatic Data Processing Inc,3.483.365,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,3483365
Automatic Data Processing Inc,29.120.989,Verenigde Staten,"Consumer, non-cyclical",Aandelen,29120989
AutoNation Inc,696.186,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,696186
Autoroutes du Sud de la France SA,25.429.316,Frankrijk,"Consumer, non-cyclical",Bedrijfsobligaties,25429316
AutoZone Inc,14.389.101,Verenigde Staten,"Consumer, cyclical",Aandelen,14389101
AutoZone Inc,3.533.771,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,3533771
AvalonBay Communities Inc,1.759.961,Verenigde Staten,Financial,Bedrijfsobligaties,1759961
Avantor Funding Inc,21.144.753,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,21144753
Avantor Inc,2.070.261,Verenigde Staten,"Consumer, non-cyclical",Aandelen,2070261
Avenue Supermarts Ltd,5.023.248,India,"Consumer, non-cyclical",Aandelen,5023248
Avery Dennison Corp,5.042.614,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,5042614
Avient Corp,9.932.075,Verenigde Staten,Basic materials,Bedrijfsobligaties,9932075
Avis Budget Finance Plc,14.818.703,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,14818703
Aviva PLC,2.563.333,Verenigd Koninkrijk,Financial,Aandelen,2563333
Avolta AG,529.859,Zwitserland,"Consumer, cyclical",Aandelen,529859
AXA SA,16.270.081,Frankrijk,Financial,Bedrijfsobligaties,16270081
AXA SA,39.669.590,Frankrijk,Financial,Aandelen,39669590
Axalta Coating Systems Dutch Holding B BV,4.565.559,Verenigde Staten,Basic materials,Bedrijfsobligaties,4565559
Axalta Coating Systems LLC,817.698,Verenigde Staten,Basic materials,Bedrijfsobligaties,817698
Axis Bank Ltd,18.038.029,India,Financial,Aandelen,18038029
Axon Enterprise Inc,14.023.880,Verenigde Staten,Industrial,Aandelen,14023880
Axon Enterprise Inc,4.833.136,Verenigde Staten,Industrial,Bedrijfsobligaties,4833136
Ayvens Bank NV,19.240.318,Nederland,Financial,Bedrijfsobligaties,19240318
Ayvens SA,11.508.289,Frankrijk,"Consumer, non-cyclical",Bedrijfsobligaties,11508289
Azelis Finance NV,3.511.912,België,"Consumer, cyclical",Bedrijfsobligaties,3511912
B&G Foods Inc,1.008.088,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,1008088
B3 SA - Brasil Bolsa Balcao,7.979.953,Brazilië,Financial,Aandelen,7979953
Baidu Inc,14.840.365,China,Communications,Aandelen,14840365
Bajaj Auto Ltd,3.860.207,India,"Consumer, cyclical",Aandelen,3860207
Bajaj Finance Ltd,16.878.691,India,Financial,Aandelen,16878691
Balder Finland Oyj,6.406.545,Zweden,Financial,Bedrijfsobligaties,6406545
Balkrishna Industries Ltd,1.603.944,India,"Consumer, cyclical",Aandelen,1603944
Ball Corp,3.495.465,Verenigde Staten,Industrial,Aandelen,3495465
Ball Corp,24.296.194,Verenigde Staten,Industrial,Bedrijfsobligaties,24296194
Baloise Holding AG,1.087.918,Zwitserland,Financial,Aandelen,1087918
Banca Mediolanum SpA,438.381,Italië,Financial,Aandelen,438381
Banco Bilbao Vizcaya Argentaria SA,34.617.865,Spanje,Financial,Aandelen,34617865
Banco BPM SpA,12.761.086,Italië,Financial,Bedrijfsobligaties,12761086
Banco BPM SpA,1.481.041,Italië,Financial,Aandelen,1481041
Banco Bradesco SA,11.401.249,Brazilië,Financial,Aandelen,11401249
Banco Comercial Portugues SA,16.930.023,Portugal,Financial,Bedrijfsobligaties,16930023
Banco de Chile,3.888.665,Chili,Financial,Aandelen,3888665
Banco de Credito e Inversiones,2.261.267,Chili,Financial,Aandelen,2261267
Banco de Sabadell SA,12.240.785,Spanje,Financial,Bedrijfsobligaties,12240785
Banco de Sabadell SA,1.900.977,Spanje,Financial,Aandelen,1900977
Banco do Brasil SA,3.915.806,Brazilië,Financial,Aandelen,3915806
Banco Santander Chile,2.698.770,Chili,Financial,Aandelen,2698770
Banco Santander SA,14.031.078,Spanje,Financial,Aandelen,14031078
Banco Santander SA,36.627.364,Spanje,Financial,Bedrijfsobligaties,36627364
Bandai Namco Holdings Inc,4.992.386,Japan,"Consumer, cyclical",Aandelen,4992386
Bangkok Dusit Medical Services PCL,4.441.056,Thailand,"Consumer, non-cyclical",Aandelen,4441056
Bank Al-Jazira,1.242.362,Saoedi-Arabië,Financial,Aandelen,1242362
Bank AlBilad,2.846.231,Saoedi-Arabië,Financial,Aandelen,2846231
