Bedrijfsnaam Aflopend sorteren,Bedrag in €,Land,Sector,Type,Bedrag in € (num)
1011778 BC ULC / New Red Finance Inc,27.386.817,Canada,"Consumer, cyclical",Bedrijfsobligaties,27386817
1261229 BC Ltd,2.636.319,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,2636319
180 Medical Inc,4.084.026,Verenigd Koninkrijk,"Consumer, non-cyclical",Bedrijfsobligaties,4084026
360 Security Technology Inc,304.863,China,Communications,Aandelen,304863
37 Interactive Entertainment Network Technology Group Co Ltd,155.813,China,Technology,Aandelen,155813
3i Group PLC,10.413.309,Verenigd Koninkrijk,Financial,Bedrijfsobligaties,10413309
3M Co,19.069.005,Verenigde Staten,Industrial,Aandelen,19069005
3M Co,14.308.793,Verenigde Staten,Industrial,Bedrijfsobligaties,14308793
888 Acquisitions Ltd,11.249.095,Verenigd Koninkrijk,"Consumer, cyclical",Bedrijfsobligaties,11249095
A2A SpA,13.058.197,Italië,Utilities,Bedrijfsobligaties,13058197
AAC Technologies Holdings Inc,2.329.891,China,Industrial,Aandelen,2329891
AAR Escrow Issuer LLC,1.349.413,Verenigde Staten,Industrial,Bedrijfsobligaties,1349413
ABB Finance BV,17.099.981,Zwitserland,Industrial,Bedrijfsobligaties,17099981
ABB India Ltd,2.168.929,India,Industrial,Aandelen,2168929
ABB Ltd,10.526.380,Zwitserland,Industrial,Aandelen,10526380
Abbott Laboratories,54.768.748,Verenigde Staten,"Consumer, non-cyclical",Aandelen,54768748
AbbVie Inc,76.279.328,Verenigde Staten,"Consumer, non-cyclical",Aandelen,76279328
AbbVie Inc,16.905.203,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,16905203
Abertis Infraestructuras Finance BV,31.719.112,Spanje,Industrial,Bedrijfsobligaties,31719112
Abertis Infraestructuras SA,17.951.078,Spanje,"Consumer, non-cyclical",Bedrijfsobligaties,17951078
ABN AMRO Bank NV,32.556.594,Nederland,Financial,Bedrijfsobligaties,32556594
ABN AMRO Bank NV,1.407.647,Nederland,Financial,Aandelen,1407647
Absa Group Ltd,4.563.768,Zuid-Africa,Financial,Aandelen,4563768
Abu Dhabi Islamic Bank PJSC,4.594.672,Verenigde Arabische Emiraten,Financial,Aandelen,4594672
Acadia Healthcare Co Inc,8.871.918,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,8871918
Accenture Capital Inc,1.987.908,Verenigde Staten,Technology,Bedrijfsobligaties,1987908
Accenture PLC,43.446.692,Ierland,Technology,Aandelen,43446692
Acciona SA,501.642,Spanje,Industrial,Aandelen,501642
Accor SA,1.133.341,Frankrijk,"Consumer, cyclical",Aandelen,1133341
Accor SA,16.363.038,Frankrijk,"Consumer, cyclical",Bedrijfsobligaties,16363038
Accton Technology Corp,7.110.414,Taiwan,Communications,Aandelen,7110414
ACEA SpA,5.159.725,Italië,Utilities,Bedrijfsobligaties,5159725
Acef Holding SCA,24.734.730,Luxemburg,Financial,Bedrijfsobligaties,24734730
Acer Inc,1.491.560,Taiwan,Technology,Aandelen,1491560
Achmea Bank NV,6.120.717,Nederland,Financial,Bedrijfsobligaties,6120717
ACS Actividades de Construccion y Servicios SA,1.376.836,Spanje,Industrial,Aandelen,1376836
Acushnet Co,450.591,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,450591
AddTech AB,979.765,Zweden,"Consumer, cyclical",Aandelen,979765
adidas AG,13.908.363,Duitsland,"Consumer, cyclical",Aandelen,13908363
Adient Global Holdings Ltd,5.985.098,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,5985098
Adler Pelzer Holding GmbH,3.084.224,Duitsland,"Consumer, cyclical",Bedrijfsobligaties,3084224
Admiral Group PLC,21.214.955,Verenigd Koninkrijk,Financial,Aandelen,21214955
Adobe Inc,2.249.142,Verenigde Staten,Technology,Bedrijfsobligaties,2249142
Adobe Inc,38.322.493,Verenigde Staten,Technology,Aandelen,38322493
ADT Security Corp/The,4.243.946,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,4243946
Advanced Drainage Systems Inc,12.389.477,Verenigde Staten,Industrial,Bedrijfsobligaties,12389477
Advanced Info Service PCL,6.198.946,Thailand,Communications,Aandelen,6198946
Advanced Micro Devices Inc,53.544.599,Verenigde Staten,Technology,Aandelen,53544599
Advantage Sales & Marketing Inc,5.931.577,Verenigde Staten,Communications,Bedrijfsobligaties,5931577
Advantech Co Ltd,2.935.058,Taiwan,Technology,Aandelen,2935058
Advantest Corp,13.246.739,Japan,Technology,Aandelen,13246739
Adyen NV,13.958.589,Nederland,"Consumer, non-cyclical",Aandelen,13958589
AECOM,3.509.395,Verenigde Staten,Industrial,Aandelen,3509395
Aegon Ltd,1.068.449,Nederland,Financial,Aandelen,1068449
Aena SME SA,12.737.213,Spanje,Industrial,Bedrijfsobligaties,12737213
Aena SME SA,2.232.463,Spanje,Industrial,Aandelen,2232463
