Bedrijfsnaam Aflopend sorteren,Bedrag in €,Land,Sector,Type,Bedrag in € (num)
Church & Dwight Co Inc,4.469.916,Verenigde Staten,"Consumer, non-cyclical",Aandelen,4469916
Cia de Minas Buenaventura SAA,3.218.639,Peru,Basic materials,Aandelen,3218639
Cia de Saneamento Basico do Estado de Sao Paulo,8.321.835,Brazilië,Utilities,Aandelen,8321835
Cia Energetica de Minas Gerais,2.593.669,Brazilië,Utilities,Aandelen,2593669
Cia Paranaense de Energia - Copel,2.035.466,Brazilië,Utilities,Aandelen,2035466
Cie de Saint-Gobain SA,14.458.633,Frankrijk,Industrial,Aandelen,14458633
Cie de Saint-Gobain SA,50.691.161,Frankrijk,Industrial,Bedrijfsobligaties,50691161
Cie Generale des Etablissements Michelin,2.635.623,Frankrijk,"Consumer, cyclical",Aandelen,2635623
Ciena Corp,9.268.143,Verenigde Staten,Communications,Bedrijfsobligaties,9268143
Cigna Group/The,14.289.021,Verenigde Staten,"Consumer, non-cyclical",Aandelen,14289021
CIMB Group Holdings Bhd,8.051.183,Maleisië,Financial,Aandelen,8051183
Cimpress PLC,3.313.888,Ierland,"Consumer, non-cyclical",Bedrijfsobligaties,3313888
Cincinnati Financial Corp,4.796.703,Verenigde Staten,Financial,Aandelen,4796703
Cinemark USA Inc,6.774.686,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,6774686
Cintas Corp,12.144.405,Verenigde Staten,"Consumer, non-cyclical",Aandelen,12144405
Cipla Ltd/India,4.059.917,India,"Consumer, non-cyclical",Aandelen,4059917
Cisco Systems Inc,61.018.454,Verenigde Staten,Communications,Aandelen,61018454
Citigroup Inc,42.196.847,Verenigde Staten,Financial,Aandelen,42196847
Citigroup Inc,11.716.993,Verenigde Staten,Financial,Bedrijfsobligaties,11716993
Citizens Financial Group Inc,5.105.830,Verenigde Staten,Financial,Aandelen,5105830
Citycon Oyj,2.040.159,Finland,Financial,Bedrijfsobligaties,2040159
Citycon Treasury BV,1.290.522,Finland,Financial,Bedrijfsobligaties,1290522
CK Hutchison Holdings Ltd,5.057.110,Verenigd Koninkrijk,"Consumer, cyclical",Aandelen,5057110
Clarivate Science Holdings Corp,12.551.500,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,12551500
Clean Harbors Inc,5.321.601,Verenigde Staten,Industrial,Bedrijfsobligaties,5321601
Clear Channel Outdoor Holdings Inc,3.046.324,Verenigde Staten,Communications,Bedrijfsobligaties,3046324
Clearstream Europe AG,10.621.449,Duitsland,Financial,Bedrijfsobligaties,10621449
Clearway Energy Operating LLC,12.763.377,Verenigde Staten,Utilities,Bedrijfsobligaties,12763377
Clicks Group Ltd,1.970.255,Zuid-Africa,"Consumer, cyclical",Aandelen,1970255
Clorox Co/The,2.396.927,Verenigde Staten,"Consumer, non-cyclical",Aandelen,2396927
Cloud Music Inc,553.357,China,"Consumer, cyclical",Aandelen,553357
Cloudflare Inc,12.410.844,Verenigde Staten,Technology,Aandelen,12410844
Cloverie PLC for Zurich Insurance Co Ltd,10.443.829,Zwitserland,Financial,Bedrijfsobligaties,10443829
Clue Opco LLC,2.630.815,Verenigde Staten,Diversified,Bedrijfsobligaties,2630815
CME Group Inc,21.053.108,Verenigde Staten,Financial,Aandelen,21053108
CMOC Group Ltd,6.150.666,China,Basic materials,Aandelen,6150666
CMS Energy Corp,4.441.290,Verenigde Staten,Utilities,Aandelen,4441290
CNH Industrial Finance Europe SA,3.950.342,Verenigde Staten,Industrial,Bedrijfsobligaties,3950342
CNH Industrial NV,1.835.860,Verenigde Staten,Industrial,Aandelen,1835860
CNH Industrial NV,12.023.856,Verenigde Staten,Industrial,Bedrijfsobligaties,12023856
Coca-Cola Co/The,61.461.429,Verenigde Staten,"Consumer, non-cyclical",Aandelen,61461429
Coca-Cola Co/The,66.520.859,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,66520859
Coca-Cola Europecific Partners PLC,64.923.196,Verenigd Koninkrijk,"Consumer, non-cyclical",Bedrijfsobligaties,64923196
Coca-Cola Europecific Partners PLC,2.456.400,Verenigd Koninkrijk,"Consumer, non-cyclical",Aandelen,2456400
Coca-Cola Femsa SAB de CV,2.989.105,Mexico,"Consumer, non-cyclical",Aandelen,2989105
Coca-Cola HBC AG,1.423.141,Italië,"Consumer, non-cyclical",Aandelen,1423141
Coca-Cola HBC Finance BV,40.763.964,Italië,"Consumer, non-cyclical",Bedrijfsobligaties,40763964
Cochlear Ltd,1.858.763,Australië,"Consumer, non-cyclical",Aandelen,1858763
Coentreprise de Transport d'Electricite SA,9.307.577,Frankrijk,Utilities,Bedrijfsobligaties,9307577
Cofinimmo SA,4.364.859,België,Financial,Bedrijfsobligaties,4364859
Cofiroute SA,3.838.380,Frankrijk,"Consumer, non-cyclical",Bedrijfsobligaties,3838380
Cogent Communications Group Inc / Cogent Communications Finance Inc,3.510.547,Verenigde Staten,Communications,Bedrijfsobligaties,3510547
Cognizant Technology Solutions Corp,5.914.615,Verenigde Staten,Technology,Aandelen,5914615
Coherent Corp,4.493.000,Verenigde Staten,Industrial,Bedrijfsobligaties,4493000
Coherent Corp,15.880.184,Verenigde Staten,Industrial,Aandelen,15880184
Coles Group Ltd,5.028.348,Australië,"Consumer, non-cyclical",Aandelen,5028348
Colgate-Palmolive Co,17.697.245,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,17697245
Colgate-Palmolive Co,26.861.505,Verenigde Staten,"Consumer, non-cyclical",Aandelen,26861505
Colgate-Palmolive India Ltd,1.555.896,India,"Consumer, non-cyclical",Aandelen,1555896
Colonial SFL Socimi SA,7.938.224,Spanje,Financial,Bedrijfsobligaties,7938224
Coloplast A/S,988.148,Denemarken,"Consumer, non-cyclical",Aandelen,988148
Coloplast Finance BV,9.581.820,Denemarken,"Consumer, non-cyclical",Bedrijfsobligaties,9581820
Columbus McKinnon Corp/NY,1.536.472,Verenigde Staten,Industrial,Bedrijfsobligaties,1536472
Comcast Corp,21.364.755,Verenigde Staten,Communications,Aandelen,21364755
Comcast Corp,48.014.195,Verenigde Staten,Communications,Bedrijfsobligaties,48014195
Commercial International Bank Egypt SAE,3.196.374,Egypte,Financial,Aandelen,3196374
Commercial Metals Co,14.782.115,Verenigde Staten,Basic materials,Bedrijfsobligaties,14782115
Commerzbank AG,17.396.870,Duitsland,Financial,Bedrijfsobligaties,17396870
Commerzbank AG,19.897.145,Duitsland,Financial,Aandelen,19897145
Commonwealth Bank of Australia,916.769,Australië,Financial,Bedrijfsobligaties,916769
Commonwealth Bank of Australia,47.697.257,Australië,Financial,Aandelen,47697257
Compal Electronics Inc,1.602.989,Taiwan,Technology,Aandelen,1602989
Compass Group Finance Netherlands BV,5.226.349,Verenigd Koninkrijk,"Consumer, cyclical",Bedrijfsobligaties,5226349
Compass Group PLC,10.854.982,Verenigd Koninkrijk,"Consumer, cyclical",Aandelen,10854982
Compass Group PLC,10.687.088,Verenigd Koninkrijk,"Consumer, cyclical",Bedrijfsobligaties,10687088
Compass Minerals International Inc,5.923.155,Verenigde Staten,Basic materials,Bedrijfsobligaties,5923155
CompoSecure Holdings LLC,1.974.186,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,1974186
Computershare Ltd,2.568.533,Australië,Financial,Aandelen,2568533
Computershare US Inc,11.578.378,Australië,Financial,Bedrijfsobligaties,11578378
Concentra Health Services Inc,6.005.289,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,6005289
Connect Finco SARL / Connect US Finco LLC,1.967.300,Verenigd Koninkrijk,Communications,Bedrijfsobligaties,1967300
Consolidated Edison Inc,7.998.531,Verenigde Staten,Utilities,Aandelen,7998531
Constellation Brands Inc,4.746.311,Verenigde Staten,"Consumer, non-cyclical",Aandelen,4746311
Constellation Software Inc/Canada,6.935.892,Canada,Technology,Aandelen,6935892
Constellium SE,13.063.186,Verenigde Staten,Basic materials,Bedrijfsobligaties,13063186
Contact Energy Ltd,1.092.657,Nieuw-Zeeland,Utilities,Aandelen,1092657
Contemporary Amperex Technology Co Ltd,12.132.302,China,"Consumer, cyclical",Aandelen,12132302
Continental AG,888.934,Duitsland,"Consumer, cyclical",Aandelen,888934
ContourGlobal Power Holdings SA,1.380.974,Spanje,Utilities,Bedrijfsobligaties,1380974
Cooper Cos Inc/The,2.724.409,Verenigde Staten,"Consumer, non-cyclical",Aandelen,2724409
Cooperatieve Rabobank UA,15.348.758,Nederland,Financial,Bedrijfsobligaties,15348758
Copart Inc,5.928.946,Verenigde Staten,"Consumer, cyclical",Aandelen,5928946
Corebridge Financial Inc,1.172.085,Verenigde Staten,Financial,Aandelen,1172085
CoreWeave Inc,8.213.217,Verenigde Staten,Technology,Bedrijfsobligaties,8213217
Corning Inc,6.187.000,Verenigde Staten,Communications,Bedrijfsobligaties,6187000
Coromandel International Ltd,1.055.448,India,Basic materials,Aandelen,1055448
Corpay Inc,3.715.540,Verenigde Staten,"Consumer, non-cyclical",Aandelen,3715540
Costco Wholesale Corp,100.798.381,Verenigde Staten,"Consumer, cyclical",Aandelen,100798381
CP ALL PCL,4.299.598,Thailand,"Consumer, cyclical",Aandelen,4299598
CPFL Energia SA,1.486.294,Brazilië,Utilities,Aandelen,1486294
Credicorp Ltd,12.458.580,Peru,Financial,Aandelen,12458580
Credit Agricole SA,2.287.532,Frankrijk,Financial,Aandelen,2287532
Credit Agricole SA,2.287.532,Frankrijk,Financial,Aandelen,2287532
Credit Mutuel Arkea SA,11.268.845,Frankrijk,Financial,Bedrijfsobligaties,11268845
Crelan SA,12.262.318,België,Financial,Bedrijfsobligaties,12262318
CRH Funding BV,1.076.823,Verenigde Staten,Industrial,Bedrijfsobligaties,1076823
CRH PLC,20.433.806,Verenigde Staten,Industrial,Aandelen,20433806
CRH SMW Finance DAC,45.922.234,Verenigde Staten,Industrial,Bedrijfsobligaties,45922234
Croda International PLC,6.249.706,Verenigd Koninkrijk,Basic materials,Aandelen,6249706
Crowdstrike Holdings Inc,20.301.862,Verenigde Staten,Technology,Aandelen,20301862
Crowdstrike Holdings Inc,712.855,Verenigde Staten,Technology,Bedrijfsobligaties,712855
Crown Americas LLC,11.977.212,Verenigde Staten,Industrial,Bedrijfsobligaties,11977212
Crown European Holdings SA,37.826.861,Verenigde Staten,Industrial,Bedrijfsobligaties,37826861
CSL Ltd,11.614.789,Australië,"Consumer, non-cyclical",Aandelen,11614789
CSPC Innovation Pharmaceutical Co Ltd,315.220,China,"Consumer, non-cyclical",Aandelen,315220
CSPC Pharmaceutical Group Ltd,5.183.882,China,"Consumer, non-cyclical",Aandelen,5183882
CTBC Financial Holding Co Ltd,14.780.354,Taiwan,Financial,Aandelen,14780354
CTR Partnership LP / CareTrust Capital Corp,424.921,Verenigde Staten,Financial,Bedrijfsobligaties,424921
CTS Eventim AG & Co KGaA,416.250,Duitsland,"Consumer, cyclical",Aandelen,416250
Cummins Inc,14.652.897,Verenigde Staten,"Consumer, cyclical",Aandelen,14652897
Cummins India Ltd,3.696.816,India,Industrial,Aandelen,3696816
CVS Health Corp,17.937.422,Verenigde Staten,"Consumer, non-cyclical",Aandelen,17937422
