Bedrijfsnaam Aflopend sorteren,Bedrag in €,Land,Sector,Type,Bedrag in € (num)
Edwards Lifesciences Corp,9.204.057,Verenigde Staten,"Consumer, non-cyclical",Aandelen,9204057
Eicher Motors Ltd,5.309.373,India,"Consumer, cyclical",Aandelen,5309373
Eiffage SA,1.208.547,Frankrijk,Industrial,Aandelen,1208547
Eisai Co Ltd,2.014.265,Japan,"Consumer, non-cyclical",Aandelen,2014265
Electricite de France SA,108.117.857,Frankrijk,Utilities,Bedrijfsobligaties,108117857
Electronic Arts Inc,9.905.973,Verenigde Staten,Technology,Aandelen,9905973
Element Fleet Management Corp,1.696.346,Canada,"Consumer, non-cyclical",Aandelen,1696346
Elevance Health Inc,13.094.477,Verenigde Staten,"Consumer, non-cyclical",Aandelen,13094477
Eli Lilly & Co,204.942.989,Verenigde Staten,"Consumer, non-cyclical",Aandelen,204942989
Eli Lilly & Co,30.658.582,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,30658582
Elia Group SA/NV,868.957,België,Utilities,Aandelen,868957
Elia Group SA/NV,8.154.978,België,Utilities,Bedrijfsobligaties,8154978
Elia Transmission Belgium SA,15.201.454,België,Utilities,Bedrijfsobligaties,15201454
Elior Group SA,4.294.417,Frankrijk,"Consumer, cyclical",Bedrijfsobligaties,4294417
Elis SA,1.962.155,Frankrijk,"Consumer, non-cyclical",Bedrijfsobligaties,1962155
Elisa Oyj,792.162,Finland,Communications,Aandelen,792162
Ellevio AB,6.897.399,Zweden,Utilities,Bedrijfsobligaties,6897399
ELM BV for Swiss Prime Site AG,3.414.364,Zwitserland,Financial,Bedrijfsobligaties,3414364
Embraer SA,5.796.157,Brazilië,Industrial,Aandelen,5796157
EMCOR Group Inc,6.583.403,Verenigde Staten,Industrial,Aandelen,6583403
eMemory Technology Inc,2.356.129,Taiwan,Technology,Aandelen,2356129
Emeria SASU,3.314.891,Frankrijk,Financial,Bedrijfsobligaties,3314891
Emerson Electric Co,14.608.696,Verenigde Staten,Industrial,Aandelen,14608696
Emerson Electric Co,8.734.110,Verenigde Staten,Industrial,Bedrijfsobligaties,8734110
Empire Co Ltd,928.701,Canada,"Consumer, non-cyclical",Aandelen,928701
Empresas CMPC SA,788.260,Chili,Basic materials,Aandelen,788260
Empresas COPEC SA,1.493.614,Chili,Energy,Aandelen,1493614
EMRLD Borrower LP / Emerald Co-Issuer Inc,196.923,Verenigde Staten,Industrial,Bedrijfsobligaties,196923
EnBW International Finance BV,12.256.216,Duitsland,Utilities,Bedrijfsobligaties,12256216
Encompass Health Corp,10.485.275,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,10485275
Endesa SA,1.539.389,Spanje,Utilities,Aandelen,1539389
Enel Chile SA,797.640,Chili,Utilities,Aandelen,797640
Enel Finance International NV,64.608.444,Italië,Utilities,Bedrijfsobligaties,64608444
Enel SpA,2.708.973,Italië,Utilities,Bedrijfsobligaties,2708973
Enel SpA,41.433.366,Italië,Utilities,Aandelen,41433366
Energisa S/A,1.683.216,Brazilië,Utilities,Aandelen,1683216
Energizer Holdings Inc,9.323.131,Verenigde Staten,Industrial,Bedrijfsobligaties,9323131
EnerSys,8.620.702,Verenigde Staten,Industrial,Bedrijfsobligaties,8620702
Enexis Holding NV,18.298.111,Nederland,Utilities,Bedrijfsobligaties,18298111
Engie Brasil Energia SA,948.009,Brazilië,Utilities,Aandelen,948009
Engie SA,73.285.902,Frankrijk,Utilities,Bedrijfsobligaties,73285902
Engie SA,6.867.563,Frankrijk,Utilities,Aandelen,6867563
ENN Energy Holdings Ltd,3.476.238,China,Utilities,Aandelen,3476238
Enpro Inc,7.334.767,Verenigde Staten,Industrial,Bedrijfsobligaties,7334767
Entegris Inc,3.483.723,Verenigde Staten,Industrial,Aandelen,3483723
Entegris Inc,2.961.066,Verenigde Staten,Industrial,Bedrijfsobligaties,2961066
Epiroc AB,2.812.133,Zweden,Industrial,Aandelen,2812133
EQT AB,10.495.820,Zweden,Financial,Bedrijfsobligaties,10495820
Equatorial SA,5.247.361,Brazilië,Utilities,Aandelen,5247361
Equifax Inc,15.592.262,Verenigde Staten,"Consumer, non-cyclical",Aandelen,15592262
Equinix Europe 2 Financing Corp LLC,6.167.591,Verenigde Staten,Financial,Bedrijfsobligaties,6167591
Equitable Financial Life Global Funding,13.733.110,Verenigde Staten,Financial,Bedrijfsobligaties,13733110
Equitable Holdings Inc,2.173.554,Verenigde Staten,Financial,Aandelen,2173554
Eramet SA,3.050.751,Frankrijk,Basic materials,Bedrijfsobligaties,3050751
Erste Group Bank AG,3.877.970,Oostenrijk,Financial,Aandelen,3877970
Esab Corp,4.106.384,Verenigde Staten,Industrial,Bedrijfsobligaties,4106384
Essendi SA,1.819.388,Luxemburg,"Consumer, cyclical",Bedrijfsobligaties,1819388
EssilorLuxottica SA,19.544.781,Frankrijk,"Consumer, non-cyclical",Aandelen,19544781
EssilorLuxottica SA,14.961.371,Frankrijk,"Consumer, non-cyclical",Bedrijfsobligaties,14961371
Essity AB,1.790.633,Zweden,"Consumer, non-cyclical",Aandelen,1790633
Essity AB,3.623.423,Zweden,"Consumer, non-cyclical",Bedrijfsobligaties,3623423
Essity Capital BV,25.542.329,Zweden,"Consumer, non-cyclical",Bedrijfsobligaties,25542329
Estee Lauder Cos Inc/The,3.274.187,Verenigde Staten,"Consumer, non-cyclical",Aandelen,3274187
Eternal Ltd,3.199.277,India,Communications,Aandelen,3199277
Etihad Etisalat Co,3.830.495,Saoedi-Arabië,Communications,Aandelen,3830495
Eurobank SA,5.390.771,Griekenland,Financial,Aandelen,5390771
Euroclear Bank SA,4.602.244,België,Financial,Bedrijfsobligaties,4602244
Eurofins Scientific SE,996.607,Luxemburg,"Consumer, non-cyclical",Aandelen,996607
Eurofins Scientific SE,23.127.214,Luxemburg,"Consumer, non-cyclical",Bedrijfsobligaties,23127214
Eurogrid GmbH,40.480.074,Duitsland,Utilities,Bedrijfsobligaties,40480074
Euronext NV,7.640.051,Nederland,Financial,Bedrijfsobligaties,7640051
Euronext NV,1.454.389,Nederland,Financial,Aandelen,1454389
EUSHI Finance Inc,685.464,Verenigde Staten,Utilities,Bedrijfsobligaties,685464
Eutelsat Communications SACA,14.263.471,Frankrijk,Communications,Bedrijfsobligaties,14263471
Eutelsat SA,3.536.866,Frankrijk,Communications,Bedrijfsobligaties,3536866
Eve Energy Co Ltd,619.982,China,"Consumer, cyclical",Aandelen,619982
Everest Group Ltd,2.647.252,Verenigde Staten,Financial,Aandelen,2647252
Evergreen Marine Corp Taiwan Ltd,3.710.988,Taiwan,Industrial,Aandelen,3710988
Everpure Inc,3.494.438,Verenigde Staten,Technology,Aandelen,3494438
Eversource Energy,5.143.809,Verenigde Staten,Utilities,Aandelen,5143809
Evonik Industries AG,4.783.171,Duitsland,Basic materials,Bedrijfsobligaties,4783171
Evonik Industries AG,576.669,Duitsland,Basic materials,Aandelen,576669
EWE AG,5.051.662,Duitsland,Utilities,Bedrijfsobligaties,5051662
Exelon Corp,9.635.268,Verenigde Staten,Utilities,Aandelen,9635268
Expeditors International of Washington Inc,3.869.025,Verenigde Staten,Industrial,Aandelen,3869025
Experian Europe DAC,3.658.839,Verenigd Koninkrijk,"Consumer, non-cyclical",Bedrijfsobligaties,3658839
Experian Finance PLC,8.235.731,Verenigd Koninkrijk,"Consumer, non-cyclical",Bedrijfsobligaties,8235731
Experian Finance US Inc,9.799.526,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,9799526
Experian PLC,3.701.964,Verenigde Staten,"Consumer, non-cyclical",Aandelen,3701964
F5 Inc,3.192.373,Verenigde Staten,Communications,Aandelen,3192373
Fair Isaac Corp,8.639.660,Verenigde Staten,Technology,Bedrijfsobligaties,8639660
Fair Isaac Corp,5.086.612,Verenigde Staten,Technology,Aandelen,5086612
Fairfax Financial Holdings Ltd,6.564.281,Canada,Financial,Aandelen,6564281
Falabella SA,2.225.672,Chili,"Consumer, cyclical",Aandelen,2225672
FANUC Corp,7.809.671,Japan,Industrial,Aandelen,7809671
Far Eastern New Century Corp,1.672.851,Taiwan,"Consumer, cyclical",Aandelen,1672851
Far EasTone Telecommunications Co Ltd,3.043.720,Taiwan,Communications,Aandelen,3043720
Fastenal Co,10.366.264,Verenigde Staten,"Consumer, cyclical",Aandelen,10366264
FedEx Corp,16.106.677,Verenigde Staten,Industrial,Bedrijfsobligaties,16106677
FedEx Corp,16.015.426,Verenigde Staten,Industrial,Aandelen,16015426
Ferguson Enterprises Inc,9.020.655,Verenigde Staten,"Consumer, cyclical",Aandelen,9020655
Ferrari NV,4.956.639,Italië,"Consumer, cyclical",Aandelen,4956639
Ferrovial Emisiones SA,8.701.752,Spanje,Industrial,Bedrijfsobligaties,8701752
Ferrovial SE,3.823.592,Verenigde Staten,Industrial,Aandelen,3823592
Fidelity National Financial Inc,2.358.529,Verenigde Staten,Financial,Aandelen,2358529
Fidelity National Information Services Inc,35.369.497,Verenigde Staten,Technology,Bedrijfsobligaties,35369497
Fidelity National Information Services Inc,4.799.623,Verenigde Staten,Technology,Aandelen,4799623
Fifth Third Bancorp,5.980.848,Verenigde Staten,Financial,Aandelen,5980848
FinecoBank Banca Fineco SpA,28.043.114,Italië,Financial,Aandelen,28043114
Fingrid OYJ,8.045.349,Finland,Utilities,Bedrijfsobligaties,8045349
Firmenich Productions Participations SAS,11.080.864,Zwitserland,Basic materials,Bedrijfsobligaties,11080864
First Citizens BancShares Inc/NC,3.377.732,Verenigde Staten,Financial,Aandelen,3377732
First Financial Holding Co Ltd,5.393.920,Taiwan,Financial,Aandelen,5393920
First Solar Inc,3.912.158,Verenigde Staten,Energy,Aandelen,3912158
FirstRand Ltd,13.752.517,Zuid-Africa,Financial,Aandelen,13752517
FIS Fabbrica Italiana Sintetici SpA,3.608.209,Italië,Basic materials,Bedrijfsobligaties,3608209
Fiserv Funding ULC,3.895.133,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,3895133
Fiserv Inc,31.817.485,Verenigde Staten,Technology,Bedrijfsobligaties,31817485
Fiserv Inc,6.068.746,Verenigde Staten,Technology,Aandelen,6068746
Fisher & Paykel Healthcare Corp Ltd,3.125.873,Nieuw-Zeeland,"Consumer, non-cyclical",Aandelen,3125873
Flash Compute LLC,889.879,Verenigde Staten,Communications,Bedrijfsobligaties,889879
Flora Food Management BV,2.120.985,Nederland,"Consumer, non-cyclical",Bedrijfsobligaties,2120985
Flos B&b Italia SPA,808.717,Italië,"Consumer, cyclical",Bedrijfsobligaties,808717
FLUVIUS System Operator CV,7.792.028,België,Utilities,Bedrijfsobligaties,7792028
Fnac Darty SA,2.108.983,Frankrijk,"Consumer, cyclical",Bedrijfsobligaties,2108983
Focus Media Information Technology Co Ltd,441.898,China,Communications,Aandelen,441898
Fomento Economico Mexicano SAB de CV,10.489.092,Mexico,"Consumer, non-cyclical",Aandelen,10489092
Ford Motor Co,8.781.678,Verenigde Staten,"Consumer, cyclical",Aandelen,8781678
Fortinet Inc,10.484.445,Verenigde Staten,Technology,Aandelen,10484445
Fortis Healthcare Ltd,2.082.471,India,"Consumer, non-cyclical",Aandelen,2082471
Fortis Inc/Canada,5.473.606,Canada,Utilities,Aandelen,5473606
Fortive Corp,8.521.957,Verenigde Staten,Industrial,Bedrijfsobligaties,8521957
Fortive Corp,3.618.628,Verenigde Staten,Industrial,Aandelen,3618628
Fortrea Holdings Inc,709.614,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,709614
Fortum OYJ,17.259.920,Finland,Utilities,Bedrijfsobligaties,17259920
Fortune Electric Co Ltd,2.373.658,Taiwan,Industrial,Aandelen,2373658
Forvia SE,62.747.543,Frankrijk,"Consumer, cyclical",Bedrijfsobligaties,62747543
Foshan Haitian Flavouring & Food Co Ltd,849.912,China,"Consumer, non-cyclical",Aandelen,849912
Fox Corp,3.836.531,Verenigde Staten,Communications,Aandelen,3836531
Foxconn Industrial Internet Co Ltd,2.349.420,China,Industrial,Aandelen,2349420
Fresenius Medical Care AG,9.568.049,Duitsland,"Consumer, non-cyclical",Bedrijfsobligaties,9568049
Fresenius Medical Care AG,1.140.129,Duitsland,"Consumer, non-cyclical",Aandelen,1140129
Fresenius SE & Co KGaA,16.117.943,Duitsland,"Consumer, non-cyclical",Aandelen,16117943
Fresenius SE & Co KGaA,16.117.943,Duitsland,"Consumer, non-cyclical",Aandelen,16117943
Froneri Lux FinCo SARL,5.363.801,Verenigd Koninkrijk,"Consumer, non-cyclical",Bedrijfsobligaties,5363801
Frontier Communications Holdings LLC,4.726.240,Verenigde Staten,Communications,Bedrijfsobligaties,4726240
FSN E-Commerce Ventures Ltd,1.729.548,India,Communications,Aandelen,1729548
Fubon Financial Holding Co Ltd,12.434.867,Taiwan,Financial,Aandelen,12434867
Fuji Electric Co Ltd,2.227.933,Japan,Industrial,Aandelen,2227933
FUJIFILM Holdings Corp,5.188.444,Japan,"Consumer, non-cyclical",Aandelen,5188444
Fujikura Ltd,9.612.321,Japan,Industrial,Aandelen,9612321
Fujitsu Ltd,8.744.032,Japan,Technology,Aandelen,8744032
Futu Holdings Ltd,2.050.569,Hongkong,Financial,Aandelen,2050569
Fuyao Glass Industry Group Co Ltd,2.781.039,China,"Consumer, cyclical",Aandelen,2781039
Gamuda Bhd,2.429.745,Maleisië,Industrial,Aandelen,2429745
Gap Inc/The,1.222.098,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,1222098
Garmin Ltd,7.361.213,Verenigde Staten,Industrial,Aandelen,7361213
Garrett Motion Holdings Inc / Garrett LX I Sarl,1.473.714,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,1473714
Gartner Inc,2.480.504,Verenigde Staten,Technology,Aandelen,2480504
Gates Corp/DE,3.168.975,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,3168975
Gatwick Funding Ltd,23.558.776,Verenigd Koninkrijk,Industrial,Bedrijfsobligaties,23558776
GE HealthCare Technologies Inc,6.392.856,Verenigde Staten,"Consumer, non-cyclical",Aandelen,6392856
GE Vernova Inc,47.192.056,Verenigde Staten,Industrial,Aandelen,47192056
GEA Group AG,1.204.171,Duitsland,Industrial,Aandelen,1204171
Geberit AG,2.607.632,Zwitserland,Industrial,Aandelen,2607632
Geely Automobile Holdings Ltd,9.001.610,China,"Consumer, cyclical",Aandelen,9001610
Gen Digital Inc,1.882.608,Verenigde Staten,Communications,Aandelen,1882608
Gen Digital Inc,5.082.871,Verenigde Staten,Communications,Bedrijfsobligaties,5082871
General Mills Inc,3.926.739,Verenigde Staten,"Consumer, non-cyclical",Aandelen,3926739
General Mills Inc,13.379.576,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,13379576
General Motors Co,14.231.750,Verenigde Staten,"Consumer, cyclical",Aandelen,14231750
General Motors Financial Co Inc,16.275.427,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,16275427
Generali,19.842.703,Italië,Financial,Bedrijfsobligaties,19842703
Generali,4.062.310,Italië,Financial,Aandelen,4062310
GENMAB A/S/GENMAB FINANCE LLC,4.345.749,Denemarken,"Consumer, non-cyclical",Bedrijfsobligaties,4345749
Genuine Parts Co,2.880.361,Verenigde Staten,"Consumer, cyclical",Aandelen,2880361
George Weston Ltd,2.377.863,Canada,"Consumer, non-cyclical",Aandelen,2377863
Gerdau SA,2.707.602,Brazilië,Basic materials,Aandelen,2707602
Getlink SE,1.867.195,Frankrijk,Industrial,Bedrijfsobligaties,1867195
GFL Environmental Holdings US Inc,5.167.094,Verenigde Staten,Industrial,Bedrijfsobligaties,5167094
GFL Environmental Inc,1.670.291,Verenigde Staten,Industrial,Aandelen,1670291
Giant Biogene Holding Co ltd,722.699,China,"Consumer, non-cyclical",Aandelen,722699
Giant Network Group Co Ltd,271.430,China,Technology,Aandelen,271430
Gigabyte Technology Co Ltd,1.413.433,Taiwan,Technology,Aandelen,1413433
GigaDevice Semiconductor Inc,430.753,China,Technology,Aandelen,430753
Gildan Activewear Inc,1.577.248,Canada,"Consumer, cyclical",Aandelen,1577248
Gilead Sciences Inc,34.568.405,Verenigde Staten,"Consumer, non-cyclical",Aandelen,34568405
Givaudan Finance Europe BV,5.205.746,Zwitserland,Basic materials,Bedrijfsobligaties,5205746
Givaudan SA,3.629.495,Zwitserland,Basic materials,Aandelen,3629495
Gjensidige Forsikring ASA,603.194,Noorwegen,Financial,Aandelen,603194
GlaxoSmithKline Capital PLC,9.944.750,Verenigd Koninkrijk,"Consumer, non-cyclical",Bedrijfsobligaties,9944750
Global Payments Inc,7.327.136,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,7327136
Global Payments Inc,3.253.846,Verenigde Staten,"Consumer, non-cyclical",Aandelen,3253846
Global Unichip Corp,2.409.745,Taiwan,Technology,Aandelen,2409745
Go Daddy Operating Co LLC / GD Finance Co Inc,5.944.846,Verenigde Staten,Communications,Bedrijfsobligaties,5944846
GoDaddy Inc,2.228.043,Verenigde Staten,Communications,Aandelen,2228043
Godrej Consumer Products Ltd,2.649.555,India,"Consumer, non-cyclical",Aandelen,2649555
GoerTek Inc,292.996,China,Industrial,Aandelen,292996
Gold Fields Ltd,22.113.004,Zuid-Africa,Basic materials,Aandelen,22113004
Goldman Sachs Group Inc/The,9.760.667,Verenigde Staten,Financial,Bedrijfsobligaties,9760667
Goldman Sachs Group Inc/The,51.799.816,Verenigde Staten,Financial,Aandelen,51799816
Goodyear Dunlop Tires Europe BV,3.171.617,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,3171617
Goodyear Tire & Rubber Co/The,1.846.895,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,1846895
Grab Holdings Ltd,2.175.035,Singapore,Communications,Aandelen,2175035
Graco Inc,2.675.783,Verenigde Staten,Industrial,Aandelen,2675783
Graham Holdings Co,867.444,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,867444
Grand City Properties Finance Sarl,9.527.173,Duitsland,Financial,Bedrijfsobligaties,9527173
Grand City Properties SA,29.111.097,Duitsland,Financial,Bedrijfsobligaties,29111097
Graphic Packaging Holding Co,4.611.083,Verenigde Staten,Industrial,Aandelen,4611083
Graphic Packaging International LLC,3.269.900,Verenigde Staten,Industrial,Bedrijfsobligaties,3269900
Gray Media Inc,3.489.974,Verenigde Staten,Communications,Bedrijfsobligaties,3489974
Great Wall Motor Co Ltd,2.105.047,China,"Consumer, cyclical",Aandelen,2105047
Great-West Lifeco Inc,4.968.039,Canada,Financial,Bedrijfsobligaties,4968039
Great-West Lifeco Inc,2.576.868,Canada,Financial,Aandelen,2576868
Gree Electric Appliances Inc of Zhuhai,561.148,China,"Consumer, cyclical",Aandelen,561148
Griffon Corp,870.236,Verenigde Staten,Industrial,Bedrijfsobligaties,870236
Grifols SA,34.666.153,Spanje,"Consumer, non-cyclical",Bedrijfsobligaties,34666153
Grifols SA,358.213,Spanje,"Consumer, non-cyclical",Aandelen,358213
Group 1 Automotive Inc,9.303.612,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,9303612
Groupe Bruxelles Lambert NV,13.554.014,België,Financial,Bedrijfsobligaties,13554014
Gruenenthal GmbH,1.798.500,Duitsland,"Consumer, non-cyclical",Bedrijfsobligaties,1798500
Grupo Aeroportuario del Centro Norte SAB de CV,2.315.973,Mexico,Industrial,Aandelen,2315973
Grupo Aeroportuario del Pacifico SAB de CV,5.493.640,Mexico,Industrial,Aandelen,5493640
Grupo Aeroportuario del Sureste SAB de CV,3.199.532,Mexico,Industrial,Aandelen,3199532
Grupo Cibest SA,7.604.095,Colombia,Financial,Aandelen,7604095
Grupo Financiero Banorte SAB de CV,15.256.671,Mexico,Financial,Aandelen,15256671
Grupo Mexico SAB de CV,18.431.795,Mexico,Basic materials,Aandelen,18431795
GSK Capital BV,12.664.317,Verenigd Koninkrijk,"Consumer, non-cyclical",Bedrijfsobligaties,12664317
GSK PLC,13.184.890,Verenigde Staten,"Consumer, non-cyclical",Aandelen,13184890
Guangzhou Tinci Materials Technology Co Ltd,518.968,China,Basic materials,Aandelen,518968
Gulf Bank KSCP,1.159.846,Koeweit,Financial,Aandelen,1159846
H & M Hennes & Mauritz AB,1.214.193,Zweden,"Consumer, cyclical",Aandelen,1214193
H World Group Ltd,5.499.514,China,"Consumer, cyclical",Aandelen,5499514
H&M Finance BV,2.801.911,Zweden,"Consumer, cyclical",Bedrijfsobligaties,2801911
Haci Omer Sabanci Holding AS,1.195.790,Turkije,Diversified,Aandelen,1195790
Haier Smart Home Co Ltd,4.096.676,China,"Consumer, cyclical",Aandelen,4096676
Haitian International Holdings Ltd,979.997,China,Industrial,Aandelen,979997
Haleon Netherlands Capital BV,4.128.077,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,4128077
Haleon UK Capital PLC,3.713.007,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,3713007
Hamburg Commercial Bank AG,7.991.830,Duitsland,Financial,Bedrijfsobligaties,7991830
Hana Financial Group Inc,10.724.348,Zuid-Korea,Financial,Aandelen,10724348
Hangzhou First Applied Material Co Ltd,316.741,China,Energy,Aandelen,316741
Hangzhou Tigermed Consulting Co Ltd,158.251,China,"Consumer, non-cyclical",Aandelen,158251
Hanjin Kal Corp,803.750,Zuid-Korea,"Consumer, cyclical",Aandelen,803750
Hankook Tire & Technology Co Ltd,1.511.413,Zuid-Korea,"Consumer, cyclical",Aandelen,1511413
Hankyu Hanshin Holdings Inc,1.634.020,Japan,Industrial,Aandelen,1634020
Hannover Rueck SE,2.169.180,Duitsland,Financial,Aandelen,2169180
Hansoh Pharmaceutical Group Co Ltd,3.652.671,China,"Consumer, non-cyclical",Aandelen,3652671
Hanwha Systems Co Ltd,3.241.643,Zuid-Korea,Industrial,Aandelen,3241643
Harmony Gold Mining Co Ltd,4.706.485,Zuid-Africa,Basic materials,Aandelen,4706485
Hartford Insurance Group Inc/The,7.573.209,Verenigde Staten,Financial,Aandelen,7573209
Havells India Ltd,1.507.829,India,Industrial,Aandelen,1507829
Hawaiian Electric Co Inc,2.371.012,Verenigde Staten,Utilities,Bedrijfsobligaties,2371012
HCA Healthcare Inc,40.042.216,Verenigde Staten,"Consumer, non-cyclical",Aandelen,40042216
HCL Technologies Ltd,5.698.081,India,Technology,Aandelen,5698081
HD Hyundai Electric Co Ltd,7.107.113,Zuid-Korea,Industrial,Aandelen,7107113
HD Hyundai Heavy Industries Co Ltd,4.448.253,Zuid-Korea,Industrial,Aandelen,4448253
HD Korea Shipbuilding & Offshore Engineering Co Ltd,5.344.107,Zuid-Korea,Industrial,Aandelen,5344107
HDFC Asset Management Co Ltd,2.166.515,India,Financial,Aandelen,2166515
HDFC Bank Ltd,48.316.753,India,Financial,Aandelen,48316753
HDFC Life Insurance Co Ltd,3.399.787,India,Financial,Aandelen,3399787
HealthEquity Inc,1.417.704,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,1417704
Heathrow Funding Ltd,15.924.716,Verenigd Koninkrijk,Industrial,Bedrijfsobligaties,15924716
HEICO Corp,5.524.410,Verenigde Staten,Industrial,Aandelen,5524410
Heidelberg Materials AG,3.236.161,Duitsland,Industrial,Aandelen,3236161
Heidelberg Materials AG,12.222.679,Duitsland,Industrial,Bedrijfsobligaties,12222679
Heidelberg Materials Finance Luxembourg SA,15.693.711,Duitsland,Industrial,Bedrijfsobligaties,15693711
Heimstaden AB,3.959.580,Zweden,Financial,Bedrijfsobligaties,3959580
Heimstaden Bostad AB,2.801.650,Zweden,Financial,Bedrijfsobligaties,2801650
Heineken Holding NV,1.068.165,Nederland,"Consumer, non-cyclical",Aandelen,1068165
Heineken NV,50.491.905,Nederland,"Consumer, non-cyclical",Bedrijfsobligaties,50491905
Heineken NV,2.589.015,Nederland,"Consumer, non-cyclical",Aandelen,2589015
Hellenic Telecommunications Organization SA,1.669.552,Griekenland,Communications,Aandelen,1669552
Helvetia Baloise Holding AG,2.371.135,Zwitserland,Financial,Aandelen,2371135
Henan Shuanghui Investment & Development Co Ltd,579.443,China,"Consumer, non-cyclical",Aandelen,579443
Hengan International Group Co Ltd,899.568,China,"Consumer, non-cyclical",Aandelen,899568
Hengtong Optic-electric Co Ltd,596.751,China,Energy,Aandelen,596751
Henkel AG & Co KGaA,2.366.721,Duitsland,"Consumer, non-cyclical",Aandelen,2366721
Henkel AG & Co KGaA,26.408.586,Duitsland,"Consumer, non-cyclical",Bedrijfsobligaties,26408586
Herc Holdings Inc,9.028.492,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,9028492
Hero MotoCorp Ltd,3.612.977,India,"Consumer, cyclical",Aandelen,3612977
Hershey Co/The,5.979.589,Verenigde Staten,"Consumer, non-cyclical",Aandelen,5979589
Hewlett Packard Enterprise Co,6.136.562,Verenigde Staten,Technology,Aandelen,6136562
Hexagon AB,13.855.848,Zweden,Industrial,Aandelen,13855848
Highland Holdings Sarl,48.914.444,Verenigde Staten,Industrial,Bedrijfsobligaties,48914444
Hikari Tsushin Inc,1.127.354,Japan,Utilities,Aandelen,1127354
Hilton Domestic Operating Co Inc,30.064.678,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,30064678
Hilton Grand Vacations Borrower LLC/Hilton Grand Vacations Borrower Inc,8.902.492,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,8902492
Hilton Worldwide Finance LLC / Hilton Worldwide Finance Corp,3.109.834,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,3109834
Hilton Worldwide Holdings Inc,21.704.429,Verenigde Staten,"Consumer, cyclical",Aandelen,21704429
Hindustan Unilever Ltd,9.817.615,India,"Consumer, non-cyclical",Aandelen,9817615
Hitachi Ltd,31.912.242,Japan,Industrial,Aandelen,31912242
HKT Trust & HKT Ltd,1.478.548,Hongkong,Communications,Aandelen,1478548
Holcim AG,4.955.405,Verenigde Staten,Industrial,Aandelen,4955405
Holcim Finance Luxembourg SA,36.996.635,Zwitserland,Industrial,Bedrijfsobligaties,36996635
Holding d'Infrastructures des Metiers de l'Environnement SAS,3.114.787,Frankrijk,Utilities,Bedrijfsobligaties,3114787
Holmen AB,306.814,Zweden,Basic materials,Aandelen,306814
Hologic Inc,3.299.009,Verenigde Staten,"Consumer, non-cyclical",Aandelen,3299009
Hologic Inc,9.743.167,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,9743167
Home Depot Inc/The,99.123.998,Verenigde Staten,"Consumer, cyclical",Aandelen,99123998
Hon Hai Precision Industry Co Ltd,31.258.611,Taiwan,Industrial,Aandelen,31258611
Honda Motor Co Ltd,8.266.550,Japan,"Consumer, cyclical",Aandelen,8266550
Hong Kong Exchanges & Clearing Ltd,14.363.596,Hongkong,Financial,Aandelen,14363596
Hong Leong Bank Bhd,1.921.370,Maleisië,Financial,Aandelen,1921370
Horizon Robotics,2.045.469,China,Technology,Aandelen,2045469
Howard Hughes Corp/The,7.283.015,Verenigde Staten,Financial,Bedrijfsobligaties,7283015
Howmet Aerospace Inc,17.536.322,Verenigde Staten,Industrial,Aandelen,17536322
Hoya Corp,14.339.333,Japan,Industrial,Aandelen,14339333
HP Inc,3.539.078,Verenigde Staten,Technology,Aandelen,3539078
HSBC Holdings PLC,33.552.096,Verenigd Koninkrijk,Financial,Aandelen,33552096
HT Troplast GmbH,2.862.136,Duitsland,Industrial,Bedrijfsobligaties,2862136
Hua Nan Financial Holdings Co Ltd,5.253.613,Taiwan,Financial,Aandelen,5253613
Hubbell Inc,5.110.562,Verenigde Staten,Industrial,Aandelen,5110562
HubSpot Inc,2.306.895,Verenigde Staten,Technology,Aandelen,2306895
Huhtamaki OYJ,102.075,Finland,Industrial,Bedrijfsobligaties,102075
