Bedrijfsnaam Aflopend sorteren,Bedrag in €,Land,Sector,Type,Bedrag in € (num)
Accenture PLC,32.328.043,Verenigde Staten,Technology,Aandelen,32328043
Acciona SA,610.310,Spanje,Industrial,Aandelen,610310
Accor SA,16.841.882,Frankrijk,"Consumer, cyclical",Bedrijfsobligaties,16841882
Accor SA,1.257.529,Frankrijk,"Consumer, cyclical",Aandelen,1257529
Accton Technology Corp,8.670.309,Taiwan,Communications,Aandelen,8670309
ACEA SpA,5.146.719,Italië,Utilities,Bedrijfsobligaties,5146719
Acef Holding SCA,23.405.801,Luxemburg,Financial,Bedrijfsobligaties,23405801
Achmea Bank NV,6.027.014,Nederland,Financial,Bedrijfsobligaties,6027014
Achmea BV,5.967.526,Nederland,Financial,Bedrijfsobligaties,5967526
Acushnet Co,4.373.057,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,4373057
AddTech AB,1.055.832,Zweden,"Consumer, cyclical",Aandelen,1055832
adidas AG,8.138.912,Duitsland,"Consumer, cyclical",Aandelen,8138912
Adient Global Holdings Ltd,5.990.786,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,5990786
Adler Pelzer Holding GmbH,2.063.679,Duitsland,"Consumer, cyclical",Bedrijfsobligaties,2063679
Admiral Group PLC,19.180.472,Verenigd Koninkrijk,Financial,Aandelen,19180472
Adobe Inc,28.724.540,Verenigde Staten,Technology,Aandelen,28724540
ADT Security Corp/The,6.664.151,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,6664151
Advanced Drainage Systems Inc,11.866.164,Verenigde Staten,Industrial,Bedrijfsobligaties,11866164
Advanced Info Service PCL,6.124.135,Thailand,Communications,Aandelen,6124135
Advanced Micro Devices Inc,89.879.548,Verenigde Staten,Technology,Aandelen,89879548
Advantage Sales & Marketing Inc,6.215.779,Verenigde Staten,Communications,Bedrijfsobligaties,6215779
Advantech Co Ltd,2.091.715,Taiwan,Technology,Aandelen,2091715
Advantest Corp,23.198.611,Japan,Technology,Aandelen,23198611
Adyen NV,13.373.250,Nederland,"Consumer, non-cyclical",Aandelen,13373250
AECOM,13.893.403,Verenigde Staten,Industrial,Bedrijfsobligaties,13893403
AECOM,2.384.528,Verenigde Staten,Industrial,Aandelen,2384528
Aegon Ltd,1.179.344,Verenigde Staten,Financial,Aandelen,1179344
Aena SME SA,12.423.551,Spanje,Industrial,Bedrijfsobligaties,12423551
Aena SME SA,2.399.746,Spanje,Industrial,Aandelen,2399746
Aeon Co Ltd,7.526.972,Japan,"Consumer, non-cyclical",Aandelen,7526972
AerCap Holdings NV,3.029.187,Ierland,Financial,Aandelen,3029187
Aeroporti di Roma SpA,13.679.692,Italië,Industrial,Bedrijfsobligaties,13679692
Aeroports de Paris SA,24.653.829,Frankrijk,Industrial,Bedrijfsobligaties,24653829
Aeroports de Paris SA,518.344,Frankrijk,Industrial,Aandelen,518344
Aflac Inc,10.949.728,Verenigde Staten,Financial,Aandelen,10949728
AGC Inc,1.551.504,Japan,Industrial,Aandelen,1551504
AGCO International Holdings BV,5.765.748,Verenigde Staten,Industrial,Bedrijfsobligaties,5765748
Ageas SA/NV,1.189.422,België,Financial,Aandelen,1189422
Agilent Technologies Inc,7.469.860,Verenigde Staten,"Consumer, non-cyclical",Aandelen,7469860
AIA Group Ltd,26.651.688,Hongkong,Financial,Aandelen,26651688
AIB Group PLC,6.074.455,Ierland,Financial,Bedrijfsobligaties,6074455
AIB Group PLC,2.593.057,Ierland,Financial,Aandelen,2593057
Aier Eye Hospital Group Co Ltd,763.640,China,"Consumer, non-cyclical",Aandelen,763640
Air Canada,1.333.728,Canada,"Consumer, cyclical",Bedrijfsobligaties,1333728
Air France-KLM,11.447.244,Frankrijk,"Consumer, cyclical",Bedrijfsobligaties,11447244
Air Liquide Finance SA,9.438.208,Frankrijk,Basic materials,Bedrijfsobligaties,9438208
Air Liquide SA,22.110.752,Frankrijk,Basic materials,Aandelen,22110752
Air Products and Chemicals Inc,29.364.962,Verenigde Staten,Basic materials,Bedrijfsobligaties,29364962
Airports of Thailand PCL,4.169.906,Thailand,Industrial,Aandelen,4169906
Airtac International Group,2.671.414,China,Industrial,Aandelen,2671414
Aisin Corp,2.384.171,Japan,"Consumer, cyclical",Aandelen,2384171
Ajinomoto Co Inc,4.621.731,Japan,"Consumer, non-cyclical",Aandelen,4621731
Akbank TAS,3.123.559,Turkije,Financial,Aandelen,3123559
Akzo Nobel NV,8.330.398,Nederland,Basic materials,Bedrijfsobligaties,8330398
Akzo Nobel NV,8.330.398,Nederland,Basic materials,Bedrijfsobligaties,8330398
Al Rajhi Bank,29.433.774,Saoedi-Arabië,Financial,Aandelen,29433774
Albertsons Cos Inc / Safeway Inc / New Albertsons LP / Albertsons LLC,12.756.102,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,12756102
Albion Financing 1 SARL / Aggreko Holdings Inc,2.596.742,Luxemburg,"Consumer, non-cyclical",Bedrijfsobligaties,2596742
Alcon AG,4.564.933,Verenigde Staten,"Consumer, non-cyclical",Aandelen,4564933
Alcon Finance BV,5.742.109,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,5742109
Alexandrite Lake Lux Holdings Sarl,2.623.891,Luxemburg,Financial,Bedrijfsobligaties,2623891
Alfa Laval AB,1.671.694,Zweden,Industrial,Aandelen,1671694
Aliaxis Holdings SA,11.389.277,België,Industrial,Bedrijfsobligaties,11389277
Alibaba Group Holding Ltd,82.001.970,China,Communications,Aandelen,82001970
Alibaba Health Information Technology Ltd,2.270.520,China,"Consumer, cyclical",Aandelen,2270520
Alimentation Couche-Tard Inc,17.602.776,Canada,"Consumer, cyclical",Bedrijfsobligaties,17602776
Alkem Laboratories Ltd,1.285.820,India,"Consumer, non-cyclical",Aandelen,1285820
Allegro.eu SA,3.160.772,Polen,Communications,Aandelen,3160772
Alliander NV,36.406.523,Nederland,Utilities,Bedrijfsobligaties,36406523
Alliant Energy Corp,3.137.939,Verenigde Staten,Utilities,Aandelen,3137939
Allianz Finance II BV,9.013.936,Duitsland,Financial,Bedrijfsobligaties,9013936
Allianz SE,36.895.221,Duitsland,Financial,Aandelen,36895221
Allison Transmission Inc,1.173.717,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,1173717
Allstate Corp/The,10.529.347,Verenigde Staten,Financial,Aandelen,10529347
Alpha Bank SA,5.351.305,Griekenland,Financial,Aandelen,5351305
Alphabet Inc,680.312.106,Verenigde Staten,Communications,Aandelen,680312106
Alphabet Inc,31.171.671,Verenigde Staten,Communications,Bedrijfsobligaties,31171671
Alstria Office AG,7.805.198,Duitsland,Financial,Bedrijfsobligaties,7805198
Alta Equipment Group Inc,550.491,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,550491
AltaGas Ltd,1.657.363,Canada,Utilities,Aandelen,1657363
Amadeus IT Group SA,18.611.700,Spanje,"Consumer, cyclical",Aandelen,18611700
Amadeus IT Group SA,11.834.026,Spanje,"Consumer, cyclical",Bedrijfsobligaties,11834026
Amazon.com Inc,391.691.979,Verenigde Staten,Communications,Aandelen,391691979
Amber Finco PLC,5.461.739,Verenigd Koninkrijk,"Consumer, non-cyclical",Bedrijfsobligaties,5461739
Ambev SA,6.831.520,Brazilië,"Consumer, non-cyclical",Aandelen,6831520
Amcor PLC,3.569.587,Verenigde Staten,Industrial,Aandelen,3569587
Amcor UK Finance PLC,25.031.413,Australië,Industrial,Bedrijfsobligaties,25031413
Amer Sports Co,5.779.433,Finland,"Consumer, cyclical",Bedrijfsobligaties,5779433
America Movil SAB de CV,10.526.419,Mexico,Communications,Aandelen,10526419
American Airlines Inc/AAdvantage Loyalty IP Ltd,8.216.248,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,8216248
American Axle & Manufacturing Inc,3.015.534,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,3015534
American Electric Power Co Inc,11.774.492,Verenigde Staten,Utilities,Aandelen,11774492
American Express Co,47.974.903,Verenigde Staten,Financial,Aandelen,47974903
American Express Co,6.047.624,Verenigde Staten,Financial,Bedrijfsobligaties,6047624
American Financial Group Inc/OH,1.709.591,Verenigde Staten,Financial,Aandelen,1709591
American Honda Finance Corp,48.158.943,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,48158943
American International Group Inc,9.539.759,Verenigde Staten,Financial,Aandelen,9539759
American Medical Systems Europe BV,3.019.220,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,3019220
American Tower Corp,34.663.680,Verenigde Staten,Financial,Bedrijfsobligaties,34663680
Ameriprise Financial Inc,8.969.283,Verenigde Staten,Financial,Aandelen,8969283
AmeriTex HoldCo Intermediate LLC,4.922.133,Verenigde Staten,Industrial,Bedrijfsobligaties,4922133
AMETEK Inc,26.779.193,Verenigde Staten,Industrial,Aandelen,26779193
Amgen Inc,33.868.621,Verenigde Staten,"Consumer, non-cyclical",Aandelen,33868621
Amkor Technology Inc,8.646.861,Verenigde Staten,Technology,Bedrijfsobligaties,8646861
Amman Mineral Internasional PT,2.812.748,Indonesië,Basic materials,Aandelen,2812748
AMMB Holdings Bhd,2.164.689,Maleisië,Financial,Aandelen,2164689
AMN Healthcare Inc,12.327.685,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,12327685
Amorepacific Corp,1.336.227,Zuid-Korea,"Consumer, non-cyclical",Aandelen,1336227
Amphenol Corp,44.922.702,Verenigde Staten,Industrial,Aandelen,44922702
Amprion GmbH,14.425.530,Duitsland,Utilities,Bedrijfsobligaties,14425530
ams-OSRAM AG,4.407.902,Oostenrijk,Technology,Bedrijfsobligaties,4407902
Amundi SA,582.803,Frankrijk,Financial,Aandelen,582803
ANA Holdings Inc,747.626,Japan,"Consumer, cyclical",Aandelen,747626
Analog Devices Inc,59.612.044,Verenigde Staten,Technology,Aandelen,59612044
Anglogold Ashanti Plc,25.001.952,Australië,Basic materials,Aandelen,25001952
Anheuser-Busch InBev SA/NV,7.289.402,België,"Consumer, non-cyclical",Aandelen,7289402
Anheuser-Busch InBev SA/NV,40.162.481,België,"Consumer, non-cyclical",Bedrijfsobligaties,40162481
Anker Innovations Technology Co Ltd,451.581,China,"Consumer, cyclical",Aandelen,451581
ANTA Sports Products Ltd,7.646.756,China,"Consumer, cyclical",Aandelen,7646756
ANZ Group Holdings Ltd,17.385.983,Australië,Financial,Aandelen,17385983
ANZ New Zealand Int'l Ltd/London,9.383.257,Nieuw-Zeeland,Financial,Bedrijfsobligaties,9383257
Aon PLC,22.699.458,Verenigde Staten,Financial,Aandelen,22699458
AP Moller - Maersk A/S,8.517.958,Verenigde Staten,Industrial,Bedrijfsobligaties,8517958
AP Moller - Maersk A/S,1.889.538,Verenigde Staten,Industrial,Aandelen,1889538
APA Group,1.887.387,Australië,Energy,Aandelen,1887387
APi Group DE Inc,844.041,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,844041
APL Apollo Tubes Ltd,2.191.623,India,Industrial,Aandelen,2191623
Apollo Global Management Inc,11.055.106,Verenigde Staten,Financial,Aandelen,11055106
Apollo Hospitals Enterprise Ltd,5.142.696,India,"Consumer, non-cyclical",Aandelen,5142696
Apple Inc,19.494.907,Verenigde Staten,Technology,Bedrijfsobligaties,19494907
Apple Inc,496.690.500,Verenigde Staten,Technology,Aandelen,496690500
Applied Materials Inc,40.185.801,Verenigde Staten,Technology,Aandelen,40185801
AppLovin Corp,30.079.642,Verenigde Staten,Communications,Aandelen,30079642
APRR SA,59.573.854,Frankrijk,"Consumer, non-cyclical",Bedrijfsobligaties,59573854
Aptiv PLC,3.275.475,Verenigde Staten,"Consumer, cyclical",Aandelen,3275475
Arab National Bank,2.784.328,Saoedi-Arabië,Financial,Aandelen,2784328
Aramark,9.122.430,Verenigde Staten,"Consumer, cyclical",Aandelen,9122430
Aramark International Finance Sarl,7.945.598,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,7945598
Aramark Services Inc,1.738.151,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,1738151
Arca Continental SAB de CV,3.162.999,Mexico,"Consumer, non-cyclical",Aandelen,3162999
Arcadis NV,4.624.597,Nederland,Industrial,Bedrijfsobligaties,4624597
Arch Capital Group Ltd,6.935.446,Verenigde Staten,Financial,Aandelen,6935446
Archer-Daniels-Midland Co,5.316.032,Verenigde Staten,"Consumer, non-cyclical",Aandelen,5316032
Arcosa Inc,6.638.411,Verenigde Staten,Industrial,Bedrijfsobligaties,6638411
Ardagh Metal Packaging Finance USA LLC / Ardagh Metal Packaging Finance PLC,21.418.421,Verenigde Staten,Industrial,Bedrijfsobligaties,21418421
Argenta Spaarbank NV,6.702.329,België,Financial,Bedrijfsobligaties,6702329
Argentum Netherlands BV for Givaudan SA,1.151.052,Zwitserland,Basic materials,Bedrijfsobligaties,1151052
Arista Networks Inc,27.038.849,Verenigde Staten,Communications,Aandelen,27038849
Arkema SA,15.316.317,Frankrijk,Basic materials,Bedrijfsobligaties,15316317
Aroundtown Finance Sarl,21.416.678,Duitsland,Financial,Bedrijfsobligaties,21416678
Aroundtown SA,32.632.628,Duitsland,Financial,Bedrijfsobligaties,32632628
Arsenal AIC Parent LLC,4.794.213,Verenigde Staten,Basic materials,Bedrijfsobligaties,4794213
Arthur J Gallagher & Co,17.652.896,Verenigde Staten,Financial,Aandelen,17652896
Asahi Group Holdings Ltd,3.658.589,Japan,"Consumer, non-cyclical",Aandelen,3658589
Asahi Group Holdings Ltd,26.050.506,Japan,"Consumer, non-cyclical",Bedrijfsobligaties,26050506
Asahi Kasei Corp,2.603.868,Japan,Basic materials,Aandelen,2603868
ASB Bank Ltd,13.384.581,Nieuw-Zeeland,Financial,Bedrijfsobligaties,13384581
Asbury Automotive Group Inc,15.408.352,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,15408352
ASE Technology Holding Co Ltd,11.920.232,Taiwan,Technology,Aandelen,11920232
Aselsan Elektronik Sanayi Ve Ticaret AS,4.482.235,Turkije,Industrial,Aandelen,4482235
ASGN Inc,2.272.545,Verenigde Staten,Technology,Bedrijfsobligaties,2272545
Ashland Services BV,8.319.803,Verenigde Staten,Basic materials,Bedrijfsobligaties,8319803
Ashtead Group PLC,3.377.328,Verenigd Koninkrijk,"Consumer, non-cyclical",Aandelen,3377328
Asia Cement Corp,1.558.493,Taiwan,Industrial,Aandelen,1558493
Asia Vital Components Co Ltd,7.242.736,Taiwan,Technology,Aandelen,7242736
Asian Paints Ltd,7.227.513,India,Basic materials,Aandelen,7227513
Asics Corp,3.840.892,Japan,"Consumer, cyclical",Aandelen,3840892
ASM International NV,3.258.292,Nederland,Technology,Aandelen,3258292
ASML Holding NV,115.586.866,Nederland,Technology,Aandelen,115586866
ASN Bank NV,31.045.422,Nederland,Financial,Bedrijfsobligaties,31045422
ASPEED Technology Inc,2.557.599,Taiwan,Technology,Aandelen,2557599
ASR Nederland NV,1.204.580,Nederland,Financial,Aandelen,1204580
ASR Nederland NV,16.407.437,Nederland,Financial,Bedrijfsobligaties,16407437
Assa Abloy AB,19.467.250,Zweden,Industrial,Aandelen,19467250
Astellas Pharma Inc,5.820.043,Japan,"Consumer, non-cyclical",Aandelen,5820043
ASTM SpA,12.508.335,Italië,"Consumer, non-cyclical",Bedrijfsobligaties,12508335
Astral Ltd,1.303.265,India,Industrial,Aandelen,1303265
Astrazeneca Finance LLC,3.329.230,Verenigd Koninkrijk,"Consumer, non-cyclical",Bedrijfsobligaties,3329230
AstraZeneca PLC,26.489.905,Verenigd Koninkrijk,"Consumer, non-cyclical",Bedrijfsobligaties,26489905
AstraZeneca PLC,83.274.606,Verenigd Koninkrijk,"Consumer, non-cyclical",Aandelen,83274606
Asurion LLC and Asurion Co-Issuer Inc,3.778.623,Verenigde Staten,Financial,Bedrijfsobligaties,3778623
Asustek Computer Inc,5.583.684,Taiwan,Technology,Aandelen,5583684
ASX Ltd,1.637.511,Australië,Financial,Aandelen,1637511
AT&T Inc,67.142.893,Verenigde Staten,Communications,Bedrijfsobligaties,67142893
AT&T Inc,67.142.893,Verenigde Staten,Communications,Bedrijfsobligaties,67142893
ATI Inc,4.780.705,Verenigde Staten,Industrial,Bedrijfsobligaties,4780705
Atlas Copco AB,27.256.759,Zweden,Industrial,Aandelen,27256759
Atlas Copco Finance DAC,3.668.544,Zweden,Industrial,Bedrijfsobligaties,3668544
Atlassian Corp,5.286.997,Verenigde Staten,Technology,Aandelen,5286997
Atmos Energy Corp,5.346.975,Verenigde Staten,Utilities,Aandelen,5346975
Atos SE,16.728.289,Frankrijk,Technology,Bedrijfsobligaties,16728289
ATS Corp,3.453.237,Canada,Industrial,Bedrijfsobligaties,3453237
AU Small Finance Bank Ltd,2.517.169,India,Financial,Aandelen,2517169
Auckland International Airport Ltd,1.886.589,Nieuw-Zeeland,Industrial,Aandelen,1886589
Aurizon Network Pty Ltd,7.347.861,Australië,Industrial,Bedrijfsobligaties,7347861
Ausgrid Finance Pty Ltd,6.898.729,Australië,Utilities,Bedrijfsobligaties,6898729
AusNet Services Holdings Pty Ltd,11.603.067,Australië,Utilities,Bedrijfsobligaties,11603067
Australia & New Zealand Banking Group Ltd,11.378.511,Australië,Financial,Bedrijfsobligaties,11378511
Australia Pacific Airports Melbourne Pty Ltd,19.102.870,Australië,Industrial,Bedrijfsobligaties,19102870
Auto Trader Group PLC,786.292,Verenigd Koninkrijk,Communications,Aandelen,786292
Autodesk Inc,12.045.814,Verenigde Staten,Technology,Aandelen,12045814
Autohome Inc,411.292,China,Communications,Aandelen,411292
Automatic Data Processing Inc,20.156.783,Verenigde Staten,"Consumer, non-cyclical",Aandelen,20156783
Autoroutes du Sud de la France SA,25.571.639,Frankrijk,"Consumer, non-cyclical",Bedrijfsobligaties,25571639
AutoZone Inc,10.889.647,Verenigde Staten,"Consumer, cyclical",Aandelen,10889647
Avantor Funding Inc,15.520.810,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,15520810
Avenue Supermarts Ltd,4.207.045,India,"Consumer, non-cyclical",Aandelen,4207045
Avery Dennison Corp,4.959.508,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,4959508
Avient Corp,8.435.523,Verenigde Staten,Industrial,Bedrijfsobligaties,8435523
Avis Budget Car Rental LLC / Avis Budget Finance Inc,2.457.357,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,2457357
Avis Budget Finance Plc,15.054.777,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,15054777
Aviva PLC,2.820.553,Verenigd Koninkrijk,Financial,Aandelen,2820553
Avolta AG,583.006,Zwitserland,"Consumer, cyclical",Aandelen,583006
AXA SA,15.985.407,Frankrijk,Financial,Bedrijfsobligaties,15985407
AXA SA,34.290.729,Frankrijk,Financial,Aandelen,34290729
Axalta Coating Systems Dutch Holding B BV,4.564.638,Verenigde Staten,Basic materials,Bedrijfsobligaties,4564638
Axalta Coating Systems LLC,829.337,Verenigde Staten,Basic materials,Bedrijfsobligaties,829337
Axia Energia,10.520.343,Brazilië,Utilities,Aandelen,10520343
Axia Energia,41.009,Brazilië,Utilities,Aandelen,41009
Axis Bank Ltd,18.679.456,India,Financial,Aandelen,18679456
Axon Enterprise Inc,7.908.321,Verenigde Staten,Industrial,Aandelen,7908321
Axon Enterprise Inc,5.086.875,Verenigde Staten,Industrial,Bedrijfsobligaties,5086875
Ayvens Bank NV,8.593.293,Nederland,Financial,Bedrijfsobligaties,8593293
Ayvens SA,11.469.247,Frankrijk,"Consumer, non-cyclical",Bedrijfsobligaties,11469247
Azelis Finance NV,9.941.291,België,"Consumer, cyclical",Bedrijfsobligaties,9941291
B3 SA - Brasil Bolsa Balcao,7.721.497,Brazilië,Financial,Aandelen,7721497
Baidu Inc,22.185.671,China,Communications,Aandelen,22185671
Bajaj Auto Ltd,4.536.131,India,"Consumer, cyclical",Aandelen,4536131
Bajaj Finance Ltd,17.401.523,India,Financial,Aandelen,17401523
Balder Finland Oyj,16.876.705,Zweden,Financial,Bedrijfsobligaties,16876705
Balkrishna Industries Ltd,1.451.081,India,"Consumer, cyclical",Aandelen,1451081
Ball Corp,14.821.317,Verenigde Staten,Industrial,Aandelen,14821317
Ball Corp,30.813.925,Verenigde Staten,Industrial,Bedrijfsobligaties,30813925
Banca Mediolanum SpA,583.808,Italië,Financial,Aandelen,583808
Banca Monte dei Paschi di Siena SpA,6.306.816,Italië,Financial,Bedrijfsobligaties,6306816
Banco Bilbao Vizcaya Argentaria SA,28.170.070,Spanje,Financial,Aandelen,28170070
Banco BPM SpA,1.987.464,Italië,Financial,Aandelen,1987464
Banco BPM SpA,5.492.071,Italië,Financial,Bedrijfsobligaties,5492071
Banco Bradesco SA,12.254.908,Brazilië,Financial,Aandelen,12254908
Banco Comercial Portugues SA,17.197.988,Portugal,Financial,Bedrijfsobligaties,17197988
Banco de Chile,4.969.290,Chili,Financial,Aandelen,4969290
Banco de Credito e Inversiones,3.473.649,Chili,Financial,Aandelen,3473649
Banco de Sabadell SA,2.435.284,Spanje,Financial,Aandelen,2435284
Banco de Sabadell SA,12.409.988,Spanje,Financial,Bedrijfsobligaties,12409988
Banco do Brasil SA,3.868.161,Brazilië,Financial,Aandelen,3868161
Banco Santander Chile,3.393.602,Chili,Financial,Aandelen,3393602
Banco Santander SA,33.537.407,Spanje,Financial,Bedrijfsobligaties,33537407
Banco Santander SA,20.618.959,Spanje,Financial,Aandelen,20618959
Bandai Namco Holdings Inc,3.827.769,Japan,"Consumer, cyclical",Aandelen,3827769
Bangkok Dusit Medical Services PCL,4.247.534,Thailand,"Consumer, non-cyclical",Aandelen,4247534
Bank Al-Jazira,1.077.367,Saoedi-Arabië,Financial,Aandelen,1077367
Bank AlBilad,2.682.437,Saoedi-Arabië,Financial,Aandelen,2682437
Bank Central Asia Tbk PT,14.947.444,Indonesië,Financial,Aandelen,14947444
Bank Mandiri Persero Tbk PT,6.636.838,Indonesië,Financial,Aandelen,6636838
Bank Millennium SA,1.478.449,Polen,Financial,Aandelen,1478449
Bank Negara Indonesia Persero Tbk PT,2.381.437,Indonesië,Financial,Aandelen,2381437
Bank of America Corp,118.723.854,Verenigde Staten,Financial,Aandelen,118723854
Bank of America Corp,20.465.781,Verenigde Staten,Financial,Bedrijfsobligaties,20465781
Bank of Baroda,2.045.253,India,Financial,Aandelen,2045253
Bank of Ireland Group PLC,15.054.474,Ierland,Financial,Bedrijfsobligaties,15054474
Bank of Ireland Group PLC,2.170.768,Ierland,Financial,Aandelen,2170768
Bank of Montreal,18.292.575,Canada,Financial,Aandelen,18292575
Bank of Montreal,23.627.383,Canada,Financial,Bedrijfsobligaties,23627383
Bank of New York Mellon Corp/The,16.259.816,Verenigde Staten,Financial,Aandelen,16259816
Bank of New Zealand,13.334.339,Nieuw-Zeeland,Financial,Bedrijfsobligaties,13334339
Bank of Nova Scotia/The,17.973.717,Canada,Financial,Aandelen,17973717
Bank of the Philippine Islands,2.383.653,Filipijnen,Financial,Aandelen,2383653
Bank Polska Kasa Opieki SA,6.013.883,Polen,Financial,Aandelen,6013883
Bank Rakyat Indonesia Persero Tbk PT,8.600.278,Indonesië,Financial,Aandelen,8600278
Bankinter SA,1.281.820,Spanje,Financial,Aandelen,1281820
Bankinter SA,8.662.277,Spanje,Financial,Bedrijfsobligaties,8662277
Banque Cantonale Vaudoise,433.430,Zwitserland,Financial,Aandelen,433430
Banque Federative du Credit Mutuel SA,44.680.323,Frankrijk,Financial,Bedrijfsobligaties,44680323
Banque Saudi Fransi,2.949.596,Saoedi-Arabië,Financial,Aandelen,2949596
Barclays PLC,10.472.067,Verenigd Koninkrijk,Financial,Aandelen,10472067
Barclays PLC,20.309.578,Verenigd Koninkrijk,Financial,Bedrijfsobligaties,20309578
Barratt Redrow PLC,797.637,Verenigd Koninkrijk,"Consumer, cyclical",Aandelen,797637
BASF SE,20.109.689,Duitsland,Basic materials,Bedrijfsobligaties,20109689
Bath & Body Works Inc,2.846.781,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,2846781
Bausch Health Cos Inc,389.319,Canada,"Consumer, non-cyclical",Bedrijfsobligaties,389319
Baxter International Inc,7.184.478,Verenigde Staten,"Consumer, non-cyclical",Aandelen,7184478
Bayer AG,54.065.410,Duitsland,"Consumer, non-cyclical",Bedrijfsobligaties,54065410
Bayerische Motoren Werke AG,4.313.306,Duitsland,"Consumer, cyclical",Aandelen,4313306
BB Seguridade Participacoes SA,2.809.867,Brazilië,Financial,Aandelen,2809867
BCE Inc,319.245,Canada,Communications,Aandelen,319245
BDO Unibank Inc,3.475.372,Filipijnen,Financial,Aandelen,3475372
BE Semiconductor Industries NV,1.457.875,Nederland,Technology,Aandelen,1457875
BE Semiconductor Industries NV,6.357.267,Nederland,Technology,Bedrijfsobligaties,6357267
Beach Acquisition Bidco LLC,4.863.190,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,4863190
Becton Dickinson & Co,12.927.589,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,12927589
Becton Dickinson & Co,10.641.008,Verenigde Staten,"Consumer, non-cyclical",Aandelen,10641008
Becton Dickinson Euro Finance Sarl,42.989.414,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,42989414
