Bedrijfsnaam Aflopend sorteren,Bedrag in €,Land,Sector,Type,Bedrag in € (num)
1011778 BC ULC / New Red Finance Inc,30.055.148,Canada,"Consumer, cyclical",Bedrijfsobligaties,30055148
1261229 BC Ltd,3.288.779,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,3288779
180 Medical Inc,3.341.379,Verenigd Koninkrijk,"Consumer, non-cyclical",Bedrijfsobligaties,3341379
360 Security Technology Inc,342.153,China,Communications,Aandelen,342153
37 Interactive Entertainment Network Technology Group Co Ltd,217.963,China,Technology,Aandelen,217963
3i Group PLC,10.547.142,Verenigd Koninkrijk,Financial,Bedrijfsobligaties,10547142
3M Co,16.775.705,Verenigde Staten,Industrial,Aandelen,16775705
3M Co,7.957.816,Verenigde Staten,Industrial,Bedrijfsobligaties,7957816
3SBio Inc,3.086.876,China,"Consumer, non-cyclical",Aandelen,3086876
A2A SpA,10.222.073,Italië,Utilities,Bedrijfsobligaties,10222073
AAC Technologies Holdings Inc,1.949.723,China,Industrial,Aandelen,1949723
AAR Escrow Issuer LLC,2.694.150,Verenigde Staten,Industrial,Bedrijfsobligaties,2694150
ABB Finance BV,15.953.716,Zwitserland,Industrial,Bedrijfsobligaties,15953716
ABB India Ltd,1.758.730,India,Industrial,Aandelen,1758730
ABB Ltd,13.603.607,Zwitserland,Industrial,Aandelen,13603607
Abbott Laboratories,41.833.706,Verenigde Staten,"Consumer, non-cyclical",Aandelen,41833706
AbbVie Inc,77.811.502,Verenigde Staten,"Consumer, non-cyclical",Aandelen,77811502
AbbVie Inc,12.347.972,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,12347972
Abertis France SAS,34.335.119,Frankrijk,"Consumer, non-cyclical",Bedrijfsobligaties,34335119
Abertis Infraestructuras Finance BV,30.107.151,Spanje,Industrial,Bedrijfsobligaties,30107151
Abertis Infraestructuras SA,18.158.544,Spanje,"Consumer, non-cyclical",Bedrijfsobligaties,18158544
ABN AMRO Bank NV,1.833.426,Nederland,Financial,Aandelen,1833426
ABN AMRO Bank NV,31.464.980,Nederland,Financial,Bedrijfsobligaties,31464980
Absa Group Ltd,7.235.509,Zuid-Africa,Financial,Aandelen,7235509
Abu Dhabi Islamic Bank PJSC,4.434.216,Verenigde Arabische Emiraten,Financial,Aandelen,4434216
Acadia Healthcare Co Inc,8.318.816,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,8318816
