Bedrijfsnaam,Bedrag in euro's
BedrijfsnaamAAR Escrow Issuer LLC,Bedrag in euro's5.249.307
BedrijfsnaamAbertis Infraestructuras Finance BV,Bedrag in euro's35.916.542
BedrijfsnaamAcadia Healthcare Co Inc,Bedrag in euro's6.888.154
BedrijfsnaamAccor SA,Bedrag in euro's9.461.307
BedrijfsnaamAcushnet Co,Bedrag in euro's8.182.402
BedrijfsnaamAdaptHealth LLC,Bedrag in euro's4.250.599
BedrijfsnaamAdient Global Holdings Ltd,Bedrag in euro's4.356.185
BedrijfsnaamAdler Pelzer Holding GmbH,Bedrag in euro's3.237.732
BedrijfsnaamADT Security Corp/The,Bedrag in euro's10.771.900
BedrijfsnaamAdvance Auto Parts Inc,Bedrag in euro's4.431.980
BedrijfsnaamAdvanced Drainage Systems Inc,Bedrag in euro's14.470.038
BedrijfsnaamAECOM,Bedrag in euro's7.902.564
BedrijfsnaamAir France-KLM,Bedrag in euro's15.580.524
BedrijfsnaamAlbertsons Cos Inc,Bedrag in euro's4.312.337
BedrijfsnaamAlbertsons Cos Inc / Safeway Inc / New Albertsons LP / Albertsons LLC,Bedrag in euro's14.085.499
BedrijfsnaamAlbion Financing 1 SARL / Aggreko Holdings Inc,Bedrag in euro's3.936.789
BedrijfsnaamAlcoa Nederland Holding BV,Bedrag in euro's4.095.698
BedrijfsnaamAlexandrite Lake Lux Holdings Sarl,Bedrag in euro's2.906.925
BedrijfsnaamAllison Transmission Inc,Bedrag in euro's5.757.315
BedrijfsnaamAlstom SA,Bedrag in euro's17.542.910
Bedrijfsnaamalstria Sarl,Bedrag in euro's8.757.345
BedrijfsnaamAltaGas Ltd,Bedrag in euro's1.999.470
BedrijfsnaamAlumina Pty Ltd,Bedrag in euro's4.789.369
BedrijfsnaamAmber Finco PLC,Bedrag in euro's6.440.602
BedrijfsnaamAmerican Airlines Inc/AAdvantage Loyalty IP Ltd,Bedrag in euro's10.037.906
BedrijfsnaamAmerican Axle & Manufacturing Inc,Bedrag in euro's4.117.142
BedrijfsnaamAmkor Technology Inc,Bedrag in euro's11.094.489
BedrijfsnaamAMN Healthcare Inc,Bedrag in euro's4.264.561
Bedrijfsnaamams-OSRAM AG,Bedrag in euro's5.307.018
BedrijfsnaamAntero Midstream Partners LP / Antero Midstream Finance Corp,Bedrag in euro's11.929.714
BedrijfsnaamAPA Infrastructure Ltd,Bedrag in euro's6.476.615
BedrijfsnaamAPLD ComputeCo 2 LLC,Bedrag in euro's8.986.376
BedrijfsnaamAPLD ComputeCo LLC,Bedrag in euro's2.858.031
BedrijfsnaamAramark International Finance Sarl,Bedrag in euro's8.078.581
BedrijfsnaamAramark Services Inc,Bedrag in euro's2.827.550
BedrijfsnaamArchrock Partners LP / Archrock Partners Finance Corp,Bedrag in euro's5.821.008
BedrijfsnaamArcosa Inc,Bedrag in euro's9.998.880
