Bedrijfsnaam,Bedrag in euro's
BedrijfsnaamAAR Escrow Issuer LLC,Bedrag in euro's6.585.135
BedrijfsnaamAbertis Infraestructuras Finance BV,Bedrag in euro's52.773.601
BedrijfsnaamAcadia Healthcare Co Inc,Bedrag in euro's11.986.239
BedrijfsnaamAccor SA,Bedrag in euro's28.215.677
BedrijfsnaamAdaptHealth LLC,Bedrag in euro's2.468.363
BedrijfsnaamAdient Global Holdings Ltd,Bedrag in euro's6.063.118
BedrijfsnaamAdler Pelzer Holding GmbH,Bedrag in euro's5.547.166
BedrijfsnaamADT Security Corp/The,Bedrag in euro's1.254.368
BedrijfsnaamAdvanced Drainage Systems Inc,Bedrag in euro's15.481.283
BedrijfsnaamAir Canada,Bedrag in euro's4.000.266
BedrijfsnaamAir France-KLM,Bedrag in euro's6.282.558
BedrijfsnaamAlbertsons Cos Inc / Safeway Inc / New Albertsons LP / Albertsons LLC,Bedrag in euro's11.612.920
BedrijfsnaamAlbion Financing 1 SARL / Aggreko Holdings Inc,Bedrag in euro's4.349.946
BedrijfsnaamAlcoa Nederland Holding BV,Bedrag in euro's4.102.919
BedrijfsnaamAllied Universal Holdco LLC/Allied Universal Finance Corp/Atlas Luxco 4 Sarl,Bedrag in euro's8.606.313
BedrijfsnaamAlstom SA,Bedrag in euro's27.208.383
BedrijfsnaamAlstria Office AG,Bedrag in euro's8.846.176
BedrijfsnaamAlta Equipment Group Inc,Bedrag in euro's1.104.816
BedrijfsnaamAltaGas Ltd,Bedrag in euro's1.816.215
BedrijfsnaamAlumina Pty Ltd,Bedrag in euro's4.739.016
BedrijfsnaamAmber Finco PLC,Bedrag in euro's7.084.453
BedrijfsnaamAmer Sports Co,Bedrag in euro's3.369.184
BedrijfsnaamAmerican Airlines Inc/AAdvantage Loyalty IP Ltd,Bedrag in euro's15.365.471
BedrijfsnaamAmeriGas Partners LP / AmeriGas Finance Corp,Bedrag in euro's4.942.166
BedrijfsnaamAMN Healthcare Inc,Bedrag in euro's5.710.226
Bedrijfsnaamams-OSRAM AG,Bedrag in euro's9.925.805
BedrijfsnaamAmsted Industries Inc,Bedrag in euro's2.958.464
