Bedrijfsnaam,Bedrag in euro's
BedrijfsnaamAntero Midstream Partners LP / Antero Midstream Finance Corp,Bedrag in euro's17.705.147
BedrijfsnaamAPA Infrastructure Ltd,Bedrag in euro's10.338.408
BedrijfsnaamAramark International Finance Sarl,Bedrag in euro's14.676.812
BedrijfsnaamAramark Services Inc,Bedrag in euro's5.820.185
BedrijfsnaamArchrock Partners LP / Archrock Partners Finance Corp,Bedrag in euro's7.062.234
BedrijfsnaamArcosa Inc,Bedrag in euro's10.975.401
BedrijfsnaamArdagh Metal Packaging Finance USA LLC / Ardagh Metal Packaging Finance PLC,Bedrag in euro's17.707.522
BedrijfsnaamAris Water Holdings LLC,Bedrag in euro's4.690.979
BedrijfsnaamAroundtown Finance Sarl,Bedrag in euro's17.028.059
BedrijfsnaamAroundtown SA,Bedrag in euro's4.604.819
BedrijfsnaamArsenal AIC Parent LLC,Bedrag in euro's5.149.154
BedrijfsnaamAsbury Automotive Group Inc,Bedrag in euro's21.148.555
BedrijfsnaamASGN Inc,Bedrag in euro's6.369.321
BedrijfsnaamAshland Services BV,Bedrag in euro's10.175.045
BedrijfsnaamASML Holding NV,Bedrag in euro's30.923.695
BedrijfsnaamATI Inc,Bedrag in euro's4.092.962
BedrijfsnaamAtos SE,Bedrag in euro's19.586.297
BedrijfsnaamATS Corp,Bedrag in euro's4.186.157
BedrijfsnaamAvantor Funding Inc,Bedrag in euro's26.529.194
BedrijfsnaamAvient Corp,Bedrag in euro's13.641.258
BedrijfsnaamAvis Budget Finance Plc,Bedrag in euro's23.158.141
BedrijfsnaamAxalta Coating Systems Dutch Holding B BV,Bedrag in euro's6.649.049
BedrijfsnaamAxalta Coating Systems LLC,Bedrag in euro's1.226.547
BedrijfsnaamAxon Enterprise Inc,Bedrag in euro's9.118.396
BedrijfsnaamAzelis Finance NV,Bedrag in euro's4.575.563
BedrijfsnaamB&G Foods Inc,Bedrag in euro's1.302.114
BedrijfsnaamBall Corp,Bedrag in euro's47.159.859
BedrijfsnaamBath & Body Works Inc,Bedrag in euro's8.616.773
BedrijfsnaamBausch + Lomb Corp,Bedrag in euro's5.703.813
BedrijfsnaamBausch Health Cos Inc,Bedrag in euro's1.516.910
BedrijfsnaamBayer AG,Bedrag in euro's48.550.242
BedrijfsnaamBCP V Modular Services Finance II PLC,Bedrag in euro's1.659.745
BedrijfsnaamBE Semiconductor Industries NV,Bedrag in euro's11.340.980
BedrijfsnaamBeach Acquisition Bidco LLC,Bedrag in euro's7.393.869
BedrijfsnaamBeazer Homes USA Inc,Bedrag in euro's4.672.582
BedrijfsnaamBelden Inc,Bedrag in euro's13.902.123
BedrijfsnaamBell Telephone Co of Canada or Bell Canada,Bedrag in euro's5.500.641
BedrijfsnaamBellis Acquisition Co PLC,Bedrag in euro's9.415.040
BedrijfsnaamBellRing Brands Inc,Bedrag in euro's4.748.707
BedrijfsnaamBelron UK Finance PLC,Bedrag in euro's42.529.819
BedrijfsnaamBenteler International AG,Bedrag in euro's5.324.618
BedrijfsnaamBertelsmann SE & Co KGaA,Bedrag in euro's3.019.007
BedrijfsnaamBig River Steel LLC / BRS Finance Corp,Bedrag in euro's10.691.591
BedrijfsnaamBlackstone Mortgage Trust Inc,Bedrag in euro's6.610.592
BedrijfsnaamBombardier Inc,Bedrag in euro's12.676.886
BedrijfsnaamBoyd Gaming Corp,Bedrag in euro's30.759.441
BedrijfsnaamBrink's Co/The,Bedrag in euro's5.114.968
BedrijfsnaamBritish Telecommunications PLC,Bedrag in euro's6.847.048
BedrijfsnaamBrookfield Residential Properties Inc / Brookfield Residential US LLC,Bedrag in euro's2.591.464
BedrijfsnaamBuckeye Partners LP,Bedrag in euro's1.083.373
BedrijfsnaamBuilders FirstSource Inc,Bedrag in euro's17.188.390
BedrijfsnaamCable One Inc,Bedrag in euro's6.886.102
BedrijfsnaamCablevision Lightpath LLC,Bedrag in euro's2.575.162
BedrijfsnaamCACI International Inc,Bedrag in euro's6.713.369
BedrijfsnaamCalderys Financing LLC,Bedrag in euro's2.349.985
BedrijfsnaamCalifornia Buyer Ltd / Atlantica Sustainable Infrastructure PLC,Bedrag in euro's5.050.761
BedrijfsnaamCamelot Finance SA,Bedrag in euro's677.460
BedrijfsnaamCamelot Return Merger Sub Inc,Bedrag in euro's2.115.066
BedrijfsnaamCapstone Borrower Inc,Bedrag in euro's9.104.711
BedrijfsnaamCarnival Corp,Bedrag in euro's11.601.655
BedrijfsnaamCarnival PLC,Bedrag in euro's12.637.444
BedrijfsnaamCarpenter Technology Corp,Bedrag in euro's1.562.336
BedrijfsnaamCars.com Inc,Bedrag in euro's5.178.646
BedrijfsnaamCarvana Co,Bedrag in euro's5.619.379
BedrijfsnaamCascades Inc/Cascades USA Inc,Bedrag in euro's3.592.211
BedrijfsnaamCCO Holdings LLC / CCO Holdings Capital Corp,Bedrag in euro's72.814.194
BedrijfsnaamCelanese US Holdings LLC,Bedrag in euro's88.947.358
BedrijfsnaamCentral Garden & Pet Co,Bedrag in euro's6.582.097
BedrijfsnaamCentral Parent Inc / CDK Global Inc,Bedrag in euro's2.188.862
BedrijfsnaamCentral Parent LLC / CDK Global II LLC / CDK Financing Co Inc,Bedrag in euro's3.271.127
BedrijfsnaamCentury Aluminum Co,Bedrag in euro's3.302.462
BedrijfsnaamCentury Communities Inc,Bedrag in euro's6.769.278
BedrijfsnaamChampions Financing Inc,Bedrag in euro's2.487.558
BedrijfsnaamCharles River Laboratories International Inc,Bedrag in euro's6.985.112
BedrijfsnaamChart Industries Inc,Bedrag in euro's5.726.583
BedrijfsnaamCheplapharm Arzneimittel GmbH,Bedrag in euro's1.512.694
BedrijfsnaamCHS/Community Health Systems Inc,Bedrag in euro's7.647.886
BedrijfsnaamChurchill Downs Inc,Bedrag in euro's38.093.178
BedrijfsnaamCiena Corp,Bedrag in euro's5.022.808
BedrijfsnaamCinemark USA Inc,Bedrag in euro's6.491.359
BedrijfsnaamCirsa Finance International Sarl,Bedrag in euro's3.702.062
BedrijfsnaamCitycon Oyj,Bedrag in euro's4.387.806
BedrijfsnaamClarios Global LP / Clarios US Finance Co,Bedrag in euro's3.848.406
BedrijfsnaamClarivate Science Holdings Corp,Bedrag in euro's34.145.531
BedrijfsnaamClean Harbors Inc,Bedrag in euro's5.013.492
BedrijfsnaamClear Channel Outdoor Holdings Inc,Bedrag in euro's5.074.283
BedrijfsnaamClearway Energy Operating LLC,Bedrag in euro's14.158.627
BedrijfsnaamCleveland-Cliffs Inc,Bedrag in euro's6.656.422
BedrijfsnaamClue Opco LLC,Bedrag in euro's4.724.483
BedrijfsnaamCMA CGM SA,Bedrag in euro's2.470.135
BedrijfsnaamCogent Communications Group Inc,Bedrag in euro's1.716.571
BedrijfsnaamCommScope Inc,Bedrag in euro's5.445.357
BedrijfsnaamCompass Minerals International Inc,Bedrag in euro's2.204.491
BedrijfsnaamConcentra Health Services Inc,Bedrag in euro's10.183.860
BedrijfsnaamConstellium SE,Bedrag in euro's21.438.255
BedrijfsnaamContourGlobal Power Holdings SA,Bedrag in euro's6.164.029
BedrijfsnaamCoty Inc,Bedrag in euro's2.723.287
BedrijfsnaamCougar JV Subsidiary LLC,Bedrag in euro's3.249.124
BedrijfsnaamCrown Americas LLC,Bedrag in euro's2.349.790
BedrijfsnaamCrown European Holdings SA,Bedrag in euro's40.371.176
BedrijfsnaamCVS Health Corp,Bedrag in euro's3.629.172
BedrijfsnaamDana Financing Luxembourg Sarl,Bedrag in euro's4.008.620
BedrijfsnaamDarling Global Finance BV,Bedrag in euro's11.170.068
BedrijfsnaamDarling Ingredients Inc,Bedrag in euro's9.388.242
BedrijfsnaamDaVita Inc,Bedrag in euro's15.213.011
BedrijfsnaamDBS Bank Ltd,Bedrag in euro's1.187.618
BedrijfsnaamDerichebourg SA,Bedrag in euro's781.069
BedrijfsnaamDeutsche Lufthansa AG,Bedrag in euro's1.219.712
BedrijfsnaamDirectv Financing LLC / Directv Financing Co-Obligor Inc,Bedrag in euro's11.069.880
BedrijfsnaamDiscovery Communications LLC,Bedrag in euro's2.145.750
BedrijfsnaamDometic Group AB,Bedrag in euro's1.646.481
BedrijfsnaamDrax Finco PLC,Bedrag in euro's2.897.784
BedrijfsnaamDufry One BV,Bedrag in euro's59.911.916
BedrijfsnaamDun & Bradstreet Corp/The,Bedrag in euro's1.749.940
BedrijfsnaamDye & Durham Ltd,Bedrag in euro's5.169.248
BedrijfsnaamDynamo Newco II GmbH,Bedrag in euro's2.842.022
BedrijfsnaamEC Finance PLC,Bedrag in euro's1.910.673
BedrijfsnaamEcuador Social Bond Sarl,Bedrag in euro's350.660
BedrijfsnaamEdgewell Personal Care Co,Bedrag in euro's12.146.770
BedrijfsnaamEDP SA,Bedrag in euro's110.718.547
BedrijfsnaameDreams ODIGEO SA,Bedrag in euro's1.995.935
BedrijfsnaamElectricite de France SA,Bedrag in euro's118.547.380
BedrijfsnaamElia Group SA/NV,Bedrag in euro's15.559.124
BedrijfsnaamElior Group SA,Bedrag in euro's5.873.450
BedrijfsnaamEllucian Holdings Inc,Bedrag in euro's2.035.982
BedrijfsnaamELO SACA,Bedrag in euro's18.327.557
BedrijfsnaamEmeria SASU,Bedrag in euro's11.341.299
BedrijfsnaamEMRLD Borrower LP / Emerald Co-Issuer Inc,Bedrag in euro's18.037.248
BedrijfsnaamEncompass Health Corp,Bedrag in euro's15.623.806
BedrijfsnaamEnergizer Gamma Acquisition BV,Bedrag in euro's10.605.362
BedrijfsnaamEnergizer Holdings Inc,Bedrag in euro's4.605.059
BedrijfsnaamEnerSys,Bedrag in euro's13.875.966
BedrijfsnaamEnpro Inc,Bedrag in euro's10.837.533
BedrijfsnaamEntegris Inc,Bedrag in euro's2.790.366
BedrijfsnaamEquipmentShare.com Inc,Bedrag in euro's4.249.767
BedrijfsnaamEsab Corp,Bedrag in euro's3.749.400
BedrijfsnaamEskom Holdings SOC Ltd,Bedrag in euro's6.238
BedrijfsnaamEssendi SA,Bedrag in euro's3.115.785
BedrijfsnaamEurofins Scientific SE,Bedrag in euro's26.174.285
BedrijfsnaamEutelsat SA,Bedrag in euro's24.031.133
BedrijfsnaamEveri Holdings Inc,Bedrag in euro's5.445.032
BedrijfsnaamExcelerate Energy LP,Bedrag in euro's4.310.582
BedrijfsnaamFair Isaac Corp,Bedrag in euro's9.624.707
BedrijfsnaamFibercop SpA,Bedrag in euro's17.539.647
BedrijfsnaamFIS Fabbrica Italiana Sintetici SpA,Bedrag in euro's3.722.311
BedrijfsnaamFlora Food Management BV,Bedrag in euro's3.905.820
BedrijfsnaamFlos B&b Italia SPA,Bedrag in euro's4.139.869
BedrijfsnaamFMG Resources August 2006 Pty Ltd,Bedrag in euro's5.735.649
BedrijfsnaamFnac Darty SA,Bedrag in euro's3.920.640
BedrijfsnaamFortrea Holdings Inc,Bedrag in euro's2.228.007
BedrijfsnaamFortress Intermediate 3 Inc,Bedrag in euro's3.321.154
BedrijfsnaamForvia SE,Bedrag in euro's90.052.057
BedrijfsnaamFrontier Communications Holdings LLC,Bedrag in euro's16.677.855
BedrijfsnaamGarrett Motion Holdings Inc / Garrett LX I Sarl,Bedrag in euro's2.034.759
BedrijfsnaamGates Corp/DE,Bedrag in euro's7.040.087
BedrijfsnaamGen Digital Inc,Bedrag in euro's14.411.817
BedrijfsnaamGenesis Energy LP / Genesis Energy Finance Corp,Bedrag in euro's14.487.620
BedrijfsnaamGetlink SE,Bedrag in euro's2.504.236
BedrijfsnaamGlobal Partners LP / GLP Finance Corp,Bedrag in euro's3.181.753
BedrijfsnaamGo Daddy Operating Co LLC / GD Finance Co Inc,Bedrag in euro's9.729.000
BedrijfsnaamGoat Holdco LLC,Bedrag in euro's3.721.625
BedrijfsnaamGoodyear Dunlop Tires Europe BV,Bedrag in euro's5.382.864
BedrijfsnaamGoodyear Tire & Rubber Co/The,Bedrag in euro's6.690.351
BedrijfsnaamGraham Holdings Co,Bedrag in euro's1.069.016
BedrijfsnaamGrand City Properties Finance Sarl,Bedrag in euro's1.696.659
BedrijfsnaamGrand City Properties SA,Bedrag in euro's13.868.325
BedrijfsnaamGraphic Packaging International LLC,Bedrag in euro's7.381.635
BedrijfsnaamGray Media Inc,Bedrag in euro's3.466.116
BedrijfsnaamGrifols SA,Bedrag in euro's48.128.002
BedrijfsnaamGroup 1 Automotive Inc,Bedrag in euro's12.458.421
BedrijfsnaamGruenenthal GmbH,Bedrag in euro's5.390.563
BedrijfsnaamGYP Holdings III Corp,Bedrag in euro's4.166.611
BedrijfsnaamHarvest Midstream I LP,Bedrag in euro's4.464.278
BedrijfsnaamHealthEquity Inc,Bedrag in euro's1.905.910
BedrijfsnaamHeimstaden AB,Bedrag in euro's3.968.339
BedrijfsnaamHeimstaden Bostad AB,Bedrag in euro's4.810.061
BedrijfsnaamHerc Holdings Inc,Bedrag in euro's13.633.568
BedrijfsnaamHess Midstream Operations LP,Bedrag in euro's5.735.655
BedrijfsnaamHillenbrand Inc,Bedrag in euro's8.794.845
BedrijfsnaamHilton Domestic Operating Co Inc,Bedrag in euro's36.004.129
BedrijfsnaamHilton Grand Vacations Borrower LLC/Hilton Grand Vacations Borrower Inc,Bedrag in euro's6.014.205
BedrijfsnaamHilton Worldwide Finance LLC / Hilton Worldwide Finance Corp,Bedrag in euro's3.948.632
BedrijfsnaamHolding d'Infrastructures des Metiers de l'Environnement,Bedrag in euro's16.660.136
BedrijfsnaamHologic Inc,Bedrag in euro's18.471.819
BedrijfsnaamHouse of HR Group BV,Bedrag in euro's1.035.684
BedrijfsnaamHoward Hughes Corp/The,Bedrag in euro's1.446.876
BedrijfsnaamHT Troplast GmbH,Bedrag in euro's1.476.645
BedrijfsnaamIglo Foods BondCo Plc,Bedrag in euro's19.313.023
BedrijfsnaamIGT Lottery Holdings BV,Bedrag in euro's16.524.679
BedrijfsnaamIHO Verwaltungs GmbH,Bedrag in euro's19.720.565
BedrijfsnaamIliad Holding SASU,Bedrag in euro's16.221.155
BedrijfsnaamIliad SA,Bedrag in euro's83.239.186
BedrijfsnaamINEOS Quattro Finance 2 Plc,Bedrag in euro's4.196.423
BedrijfsnaamInfrastrutture Wireless Italiane SpA,Bedrag in euro's30.689.092
BedrijfsnaamIngevity Corp,Bedrag in euro's3.297.576
BedrijfsnaamInsight Enterprises Inc,Bedrag in euro's8.005.858
BedrijfsnaamInstalled Building Products Inc,Bedrag in euro's7.303.571
BedrijfsnaamInsulet Corp,Bedrag in euro's6.550.796
BedrijfsnaamInterface Inc,Bedrag in euro's5.904.409
BedrijfsnaamInternational Game Technology PLC,Bedrag in euro's28.005.091
BedrijfsnaamIPD 3 BV,Bedrag in euro's2.858.178
BedrijfsnaamIQVIA Inc,Bedrag in euro's89.651.957
BedrijfsnaamIren SpA,Bedrag in euro's13.216.513
BedrijfsnaamIron Mountain Inc,Bedrag in euro's25.372.678
BedrijfsnaamIvory Coast Government International Bond,Bedrag in euro's5.438.109
BedrijfsnaamJaguar Land Rover Automotive PLC,Bedrag in euro's4.182.883
BedrijfsnaamJazz Securities DAC,Bedrag in euro's21.733.562
BedrijfsnaamJELD-WEN Inc,Bedrag in euro's5.596.059
BedrijfsnaamKaiser Aluminum Corp,Bedrag in euro's5.164.306
BedrijfsnaamKaixo Bondco Telecom SA,Bedrag in euro's1.652.046
BedrijfsnaamKapla Holding SAS,Bedrag in euro's8.550.896
BedrijfsnaamKB Home,Bedrag in euro's2.850.656
BedrijfsnaamKFC Holding Co/Pizza Hut Holdings LLC/Taco Bell of America LLC,Bedrag in euro's13.818.872
BedrijfsnaamKinetik Holdings LP,Bedrag in euro's13.252.610
BedrijfsnaamKleopatra Finco Sarl,Bedrag in euro's2.770.737
BedrijfsnaamKnife River Corp,Bedrag in euro's6.875.939
BedrijfsnaamKoninklijke KPN NV,Bedrag in euro's24.047.237
BedrijfsnaamKorn Ferry,Bedrag in euro's10.960.031
BedrijfsnaamLadder Capital Finance Holdings LLLP / Ladder Capital Finance Corp,Bedrag in euro's4.848.819
BedrijfsnaamLamar Media Corp,Bedrag in euro's1.190.431
BedrijfsnaamLamb Weston Holdings Inc,Bedrag in euro's7.713.535
BedrijfsnaamLand O'Lakes Capital Trust I,Bedrag in euro's844.145
BedrijfsnaamLCM Investments Holdings II LLC,Bedrag in euro's3.384.019
BedrijfsnaamLeeward Renewable Energy Operations LLC,Bedrag in euro's1.273.015
BedrijfsnaamLevel 3 Financing Inc,Bedrag in euro's6.466.510
BedrijfsnaamLGI Homes Inc,Bedrag in euro's6.326.719
BedrijfsnaamLife Time Inc,Bedrag in euro's1.089.843
BedrijfsnaamLifePoint Health Inc,Bedrag in euro's3.867.592
BedrijfsnaamLight & Wonder International Inc,Bedrag in euro's20.973.594
BedrijfsnaamLindblad Expeditions Holdings Inc,Bedrag in euro's3.550.646
BedrijfsnaamLithia Motors Inc,Bedrag in euro's1.654.260
BedrijfsnaamLive Nation Entertainment Inc,Bedrag in euro's31.913.408
BedrijfsnaamLoarre Investments Sarl,Bedrag in euro's2.457.195
BedrijfsnaamLorca Telecom Bondco SA,Bedrag in euro's3.239.923
BedrijfsnaamLottomatica Group Spa,Bedrag in euro's27.159.613
BedrijfsnaamLoxam SAS,Bedrag in euro's46.094.620
BedrijfsnaamLumen Technologies Inc,Bedrag in euro's3.013.491
BedrijfsnaamLuna 2 5SARL,Bedrag in euro's670.449
BedrijfsnaamLune Holdings Sarl,Bedrag in euro's1.042.870
BedrijfsnaamM/I Homes Inc,Bedrag in euro's2.863.414
BedrijfsnaamMacy's Retail Holdings LLC,Bedrag in euro's1.265.916
BedrijfsnaamMagnera Corp,Bedrag in euro's6.139.632
BedrijfsnaamMahle GmbH,Bedrag in euro's1.715.673
BedrijfsnaamManitowoc Co Inc/The,Bedrag in euro's3.238.254
BedrijfsnaamMasterbrand Inc,Bedrag in euro's3.441.275
BedrijfsnaamMatch Group Holdings II LLC,Bedrag in euro's1.910.248
BedrijfsnaamMatterhorn Telecom SA,Bedrag in euro's24.403.595
BedrijfsnaamMatthews International Corp,Bedrag in euro's3.617.733
BedrijfsnaamMauser Packaging Solutions Holding Co,Bedrag in euro's4.102.494
BedrijfsnaamMcGraw-Hill Education Inc,Bedrag in euro's5.464.375
BedrijfsnaamMehilainen Yhtiot Oy,Bedrag in euro's3.793.467
BedrijfsnaamMercer International Inc,Bedrag in euro's13.724.554
BedrijfsnaamMerlin Entertainments Group US Holdings Inc,Bedrag in euro's1.765.863
BedrijfsnaamMillicom International Cellular SA,Bedrag in euro's2.463.238
BedrijfsnaamMineral Resources Ltd,Bedrag in euro's15.837.605
BedrijfsnaamMinor Hotels Europe & Americas SA,Bedrag in euro's7.648.343
BedrijfsnaamMolina Healthcare Inc,Bedrag in euro's14.225.531
BedrijfsnaamMonitchem HoldCo 3 SA,Bedrag in euro's11.965.362
BedrijfsnaamMotion Finco Sarl,Bedrag in euro's10.069.128
BedrijfsnaamMPT Operating Partnership LP / MPT Finance Corp,Bedrag in euro's27.242.577
BedrijfsnaamMundys SpA,Bedrag in euro's55.785.154
BedrijfsnaamMurphy Oil USA Inc,Bedrag in euro's13.425.896
BedrijfsnaamNational Bank of Canada,Bedrag in euro's3.253.351
BedrijfsnaamNaturgy Finance BV,Bedrag in euro's3.960.200
BedrijfsnaamNCL Corp Ltd,Bedrag in euro's10.990.137
BedrijfsnaamNCL Finance Ltd,Bedrag in euro's1.590.160
BedrijfsnaamNederlandse Gasunie NV,Bedrag in euro's7.213.706
BedrijfsnaamNeogen Food Safety Corp,Bedrag in euro's4.980.239
BedrijfsnaamNESCO Holdings II Inc,Bedrag in euro's4.492.697
BedrijfsnaamNew Gold Inc,Bedrag in euro's1.475.992
BedrijfsnaamNewell Brands Inc,Bedrag in euro's13.973.911
BedrijfsnaamNexans SA,Bedrag in euro's5.058.840
BedrijfsnaamNexstar Media Inc,Bedrag in euro's2.492.976
BedrijfsnaamNidda Healthcare Holding GmbH,Bedrag in euro's5.717.409
BedrijfsnaamNissan Motor Acceptance Co LLC,Bedrag in euro's1.637.879
BedrijfsnaamNissan Motor Co Ltd,Bedrag in euro's11.180.305
BedrijfsnaamNoble Finance II LLC,Bedrag in euro's1.684.256
BedrijfsnaamNordstrom Inc,Bedrag in euro's3.357.717
BedrijfsnaamNovelis Corp,Bedrag in euro's14.121.304
BedrijfsnaamNovelis Sheet Ingot GmbH,Bedrag in euro's6.976.508
BedrijfsnaamNRG Energy Inc,Bedrag in euro's11.610.973
BedrijfsnaamNuStar Logistics LP,Bedrag in euro's2.981.412
BedrijfsnaamOdido Holding BV,Bedrag in euro's4.023.785
BedrijfsnaamOI European Group BV,Bedrag in euro's20.254.503
BedrijfsnaamOlympus Water US Holding Corp,Bedrag in euro's4.576.515
BedrijfsnaamOpal Bidco SAS,Bedrag in euro's14.092.483
BedrijfsnaamOpen Text Corp,Bedrag in euro's15.357.522
BedrijfsnaamOpen Text Holdings Inc,Bedrag in euro's17.247.165
BedrijfsnaamOpmobility,Bedrag in euro's4.687.012
BedrijfsnaamOrganon & Co / Organon Foreign Debt Co-Issuer BV,Bedrag in euro's49.948.735
BedrijfsnaamOrsted AS,Bedrag in euro's32.453.554
BedrijfsnaamOutfront Media Capital LLC / Outfront Media Capital Corp,Bedrag in euro's19.422.562
BedrijfsnaamOVH Groupe SA,Bedrag in euro's10.085.493
BedrijfsnaamOwens & Minor Inc,Bedrag in euro's203.545
BedrijfsnaamOwens-Brockway Glass Container Inc,Bedrag in euro's1.718.683
BedrijfsnaamPachelbel Bidco SpA,Bedrag in euro's10.595.889
BedrijfsnaamPapa John's International Inc,Bedrag in euro's2.677.930
BedrijfsnaamPaprec Holding SA,Bedrag in euro's8.550.643
BedrijfsnaamParamount Global,Bedrag in euro's1.986.741
BedrijfsnaamPark Intermediate Holdings LLC / PK Domestic Property LLC / PK Finance Co-Issuer,Bedrag in euro's5.614.897
BedrijfsnaamParkland Corp,Bedrag in euro's12.806.021
BedrijfsnaamPatrick Industries Inc,Bedrag in euro's3.558.494
BedrijfsnaamPBF Holding Co LLC / PBF Finance Corp,Bedrag in euro's1.108.474
BedrijfsnaamPebblebrook Hotel LP / PEB Finance Corp,Bedrag in euro's8.187.590
BedrijfsnaamPenn Entertainment Inc,Bedrag in euro's6.592.083
BedrijfsnaamPerformance Food Group Inc,Bedrag in euro's26.757.950
BedrijfsnaamPerrigo Finance Unlimited Co,Bedrag in euro's20.198.561
BedrijfsnaamPG&E Corp,Bedrag in euro's10.448.168
BedrijfsnaamPhinia Inc,Bedrag in euro's6.210.319
BedrijfsnaamPhoenix PIB Dutch Finance BV,Bedrag in euro's7.507.472
BedrijfsnaamPiaggio & C SpA,Bedrag in euro's7.869.196
BedrijfsnaamPinnacle Bidco PLC,Bedrag in euro's4.079.049
BedrijfsnaamPlaytech Plc,Bedrag in euro's1.604.435
BedrijfsnaamPost Holdings Inc,Bedrag in euro's23.601.488
BedrijfsnaamPrestige Brands Inc,Bedrag in euro's17.920.155
BedrijfsnaamPrime Security Services Borrower LLC / Prime Finance Inc,Bedrag in euro's9.017.700
BedrijfsnaamPrimo Water Holdings Inc / Triton Water Holdings Inc,Bedrag in euro's8.625.435
BedrijfsnaamPrysmian SpA,Bedrag in euro's14.726.176
BedrijfsnaamPTC Inc,Bedrag in euro's19.081.288
BedrijfsnaamQ-Park Holding I BV,Bedrag in euro's5.299.086
BedrijfsnaamQuatrim SAS,Bedrag in euro's4.212.355
BedrijfsnaamQuikrete Holdings Inc,Bedrag in euro's11.553.269
BedrijfsnaamQXO Building Products Inc,Bedrag in euro's9.122.166
BedrijfsnaamRakuten Group Inc,Bedrag in euro's13.577.963
BedrijfsnaamRCI Banque SA,Bedrag in euro's41.631.219
BedrijfsnaamRenault SA,Bedrag in euro's30.566.457
BedrijfsnaamResideo Funding Inc,Bedrag in euro's10.804.645
BedrijfsnaamReworld Holding Corp,Bedrag in euro's4.801.379
BedrijfsnaamRexel SA,Bedrag in euro's34.437.518
BedrijfsnaamRHP Hotel Properties LP / RHP Finance Corp,Bedrag in euro's21.701.733
BedrijfsnaamRingCentral Inc,Bedrag in euro's469.337
BedrijfsnaamRitchie Bros Holdings Inc,Bedrag in euro's17.397.335
BedrijfsnaamRogers Communications Inc,Bedrag in euro's8.963.067
BedrijfsnaamRossini Sarl,Bedrag in euro's7.732.490
BedrijfsnaamRoyal Bank of Canada,Bedrag in euro's5.558.402
BedrijfsnaamRoyal Bank of Canada/London,Bedrag in euro's5.816.896
BedrijfsnaamSamhallsbyggnadsbolaget I Norden Holding AB,Bedrag in euro's3.270.898
BedrijfsnaamSBA Communications Corp,Bedrag in euro's8.971.785
BedrijfsnaamSchaeffler AG,Bedrag in euro's78.754.669
BedrijfsnaamScientific Games Holdings LP/Scientific Games US FinCo Inc,Bedrag in euro's5.591.698
BedrijfsnaamScotts Miracle-Gro Co/The,Bedrag in euro's12.494.271
BedrijfsnaamScripps Escrow II Inc,Bedrag in euro's2.137.769
BedrijfsnaamSealed Air Corp,Bedrag in euro's9.490.370
BedrijfsnaamSealed Air Corp/Sealed Air Corp US,Bedrag in euro's3.970.788
BedrijfsnaamSeaWorld Parks & Entertainment Inc,Bedrag in euro's3.656.691
BedrijfsnaamSeche Environnement SACA,Bedrag in euro's7.328.795
BedrijfsnaamSelect Medical Corp,Bedrag in euro's10.163.026
BedrijfsnaamSensata Technologies BV,Bedrag in euro's8.804.468
BedrijfsnaamSensata Technologies Inc,Bedrag in euro's8.323.535
BedrijfsnaamService Corp International/US,Bedrag in euro's17.291.831
BedrijfsnaamSES SA,Bedrag in euro's21.248.859
