Bedrijfsnaam,Bedrag in euro's
BedrijfsnaamCentury Aluminum Co,Bedrag in euro's 8.471.002
BedrijfsnaamCentury Communities Inc,Bedrag in euro's 6.826.920
BedrijfsnaamCharles River Laboratories International Inc,Bedrag in euro's 6.973.779
BedrijfsnaamChart Industries Inc,Bedrag in euro's 3.155.292
BedrijfsnaamCHS/Community Health Systems Inc,Bedrag in euro's 7.462.236
BedrijfsnaamChurchill Downs Inc,Bedrag in euro's 38.603.068
BedrijfsnaamCiena Corp,Bedrag in euro's 4.998.869
BedrijfsnaamCinemark USA Inc,Bedrag in euro's 6.394.935
BedrijfsnaamCirsa Finance International Sarl,Bedrag in euro's 3.721.032
BedrijfsnaamCitycon Oyj,Bedrag in euro's 4.104.794
BedrijfsnaamClarios Global LP / Clarios US Finance Co,Bedrag in euro's 6.492.140
BedrijfsnaamClarivate Science Holdings Corp,Bedrag in euro's 34.605.043
BedrijfsnaamClean Harbors Inc,Bedrag in euro's 7.077.807
BedrijfsnaamClear Channel Outdoor Holdings Inc,Bedrag in euro's 13.293.079
BedrijfsnaamClearway Energy Operating LLC,Bedrag in euro's 13.985.448
BedrijfsnaamCleveland-Cliffs Inc,Bedrag in euro's 4.384.420
BedrijfsnaamClue Opco LLC,Bedrag in euro's 4.864.181
BedrijfsnaamCMA CGM SA,Bedrag in euro's 4.397.684
BedrijfsnaamCogent Communications Group Inc / Cogent Communications Finance Inc,Bedrag in euro's 3.417.682
BedrijfsnaamCommScope Inc,Bedrag in euro's 5.915.135
BedrijfsnaamConcentra Health Services Inc,Bedrag in euro's 11.284.101
BedrijfsnaamConstellium SE,Bedrag in euro's 21.681.000
BedrijfsnaamContourGlobal Power Holdings SA,Bedrag in euro's 6.167.093
BedrijfsnaamCoty Inc,Bedrag in euro's 2.752.268
BedrijfsnaamCougar JV Subsidiary LLC,Bedrag in euro's 4.582.128
BedrijfsnaamCrown Americas LLC,Bedrag in euro's 6.772.912
BedrijfsnaamCrown European Holdings SA,Bedrag in euro's 56.579.100
BedrijfsnaamCVS Health Corp,Bedrag in euro's 3.794.776
BedrijfsnaamDana Financing Luxembourg Sarl,Bedrag in euro's 4.008.478
BedrijfsnaamDarling Global Finance BV,Bedrag in euro's 13.339.386
BedrijfsnaamDarling Ingredients Inc,Bedrag in euro's 9.483.925
BedrijfsnaamDaVita Inc,Bedrag in euro's 15.309.392
BedrijfsnaamDeutsche Lufthansa AG,Bedrag in euro's 8.552.053
BedrijfsnaamDiscovery Communications LLC,Bedrag in euro's 9.487.619
BedrijfsnaamDometic Group AB,Bedrag in euro's 5.404.612
BedrijfsnaamDufry One BV,Bedrag in euro's 60.864.445
BedrijfsnaamDye & Durham Ltd,Bedrag in euro's 4.988.876
BedrijfsnaamDynamo Newco II GmbH,Bedrag in euro's 3.068.791
BedrijfsnaamEdgewell Personal Care Co,Bedrag in euro's 12.341.264
BedrijfsnaamEDP SA,Bedrag in euro's 111.358.317
BedrijfsnaamElectricite de France SA,Bedrag in euro's 123.524.735
BedrijfsnaamElia Group SA/NV,Bedrag in euro's 15.823.686
BedrijfsnaamElior Group SA,Bedrag in euro's 6.675.303
BedrijfsnaamELM BV for Swiss Prime Site AG,Bedrag in euro's 9.712.126
BedrijfsnaamEmeria SASU,Bedrag in euro's 7.075.523
BedrijfsnaamEncompass Health Corp,Bedrag in euro's 15.604.568
BedrijfsnaamEnergizer Gamma Acquisition BV,Bedrag in euro's 11.007.481
BedrijfsnaamEnergizer Holdings Inc,Bedrag in euro's 4.611.651
BedrijfsnaamEnergy Transfer LP,Bedrag in euro's 3.056.044
BedrijfsnaamEnerSys,Bedrag in euro's 13.822.079
BedrijfsnaamEnpro Inc,Bedrag in euro's 12.693.468
BedrijfsnaamEntegris Inc,Bedrag in euro's 2.825.672
BedrijfsnaamEquipmentShare.com Inc,Bedrag in euro's 4.838.883
BedrijfsnaamEsab Corp,Bedrag in euro's 3.814.896
BedrijfsnaamEssendi SA,Bedrag in euro's 3.182.273
BedrijfsnaamEurofins Scientific SE,Bedrag in euro's 23.078.274
BedrijfsnaamEutelsat SA,Bedrag in euro's 24.776.431
BedrijfsnaamExcelerate Energy LP,Bedrag in euro's 6.318.808
BedrijfsnaamFair Isaac Corp,Bedrag in euro's 19.788.077
BedrijfsnaamFibercop SpA,Bedrag in euro's 4.197.985
BedrijfsnaamFIS Fabbrica Italiana Sintetici SpA,Bedrag in euro's 3.668.382
BedrijfsnaamFlora Food Management BV,Bedrag in euro's 3.786.903
BedrijfsnaamFlos B&b Italia SPA,Bedrag in euro's 4.250.643
BedrijfsnaamFMG Resources August 2006 Pty Ltd,Bedrag in euro's 4.245.704
BedrijfsnaamFnac Darty SA,Bedrag in euro's 3.965.464
BedrijfsnaamFortress Intermediate 3 Inc,Bedrag in euro's 3.375.133
BedrijfsnaamForvia SE,Bedrag in euro's 102.018.920
BedrijfsnaamFroneri Lux FinCo SARL,Bedrag in euro's 5.420.856
BedrijfsnaamFrontier Communications Holdings LLC,Bedrag in euro's 14.485.780
BedrijfsnaamGates Corp/DE,Bedrag in euro's 6.915.789
BedrijfsnaamGen Digital Inc,Bedrag in euro's 13.519.679
BedrijfsnaamGenesis Energy LP / Genesis Energy Finance Corp,Bedrag in euro's 15.739.569
BedrijfsnaamGlobal Partners LP / GLP Finance Corp,Bedrag in euro's 5.581.782
BedrijfsnaamGo Daddy Operating Co LLC / GD Finance Co Inc,Bedrag in euro's 8.906.998
BedrijfsnaamGoat Holdco LLC,Bedrag in euro's 4.532.221
BedrijfsnaamGoodyear Dunlop Tires Europe BV,Bedrag in euro's 5.407.392
BedrijfsnaamGoodyear Tire & Rubber Co/The,Bedrag in euro's 7.383.181
BedrijfsnaamGrand City Properties SA,Bedrag in euro's 14.038.365
BedrijfsnaamGraphic Packaging International LLC,Bedrag in euro's 7.223.126
BedrijfsnaamGray Media Inc,Bedrag in euro's 5.603.330
BedrijfsnaamGrifols SA,Bedrag in euro's 50.135.947
BedrijfsnaamGroup 1 Automotive Inc,Bedrag in euro's 12.392.033
BedrijfsnaamGruenenthal GmbH,Bedrag in euro's 5.470.933
BedrijfsnaamHawaiian Electric Co Inc,Bedrag in euro's 3.592.170
BedrijfsnaamHeimstaden AB,Bedrag in euro's 6.446.446
BedrijfsnaamHeimstaden Bostad AB,Bedrag in euro's 4.929.580
BedrijfsnaamHeineken NV,Bedrag in euro's 9.708.439
BedrijfsnaamHerc Holdings Inc,Bedrag in euro's 16.165.763
BedrijfsnaamHess Midstream Operations LP,Bedrag in euro's 5.732.983
BedrijfsnaamHillenbrand Inc,Bedrag in euro's 5.223.332
BedrijfsnaamHilton Domestic Operating Co Inc,Bedrag in euro's 41.255.298
BedrijfsnaamHilton Grand Vacations Borrower LLC/Hilton Grand Vacations Borrower Inc,Bedrag in euro's 5.913.897
BedrijfsnaamHilton Worldwide Finance LLC / Hilton Worldwide Finance Corp,Bedrag in euro's 3.994.057
BedrijfsnaamHolding d'Infrastructures des Metiers de l'Environnement,Bedrag in euro's 16.790.000
BedrijfsnaamHologic Inc,Bedrag in euro's 18.442.877
BedrijfsnaamIglo Foods BondCo Plc,Bedrag in euro's 19.237.284
BedrijfsnaamIGT Lottery Holdings BV,Bedrag in euro's 9.635.134
BedrijfsnaamIHO Verwaltungs GmbH,Bedrag in euro's 20.205.307
Bedrijfsnaamiliad SA,Bedrag in euro's 90.560.907
BedrijfsnaamINEOS Quattro Finance 2 Plc,Bedrag in euro's 5.326.030
BedrijfsnaamInfrastrutture Wireless Italiane SpA,Bedrag in euro's 31.089.381
BedrijfsnaamIngevity Corp,Bedrag in euro's 3.352.109
BedrijfsnaamInsight Enterprises Inc,Bedrag in euro's 8.088.341
BedrijfsnaamInstalled Building Products Inc,Bedrag in euro's 7.204.361
BedrijfsnaamInsulet Corp,Bedrag in euro's 6.854.921
BedrijfsnaamInterface Inc,Bedrag in euro's 6.055.728
BedrijfsnaamInversion Escrow Issuer LLC,Bedrag in euro's 5.034.536
BedrijfsnaamIPD 3 BV,Bedrag in euro's 2.901.647
BedrijfsnaamIQVIA Inc,Bedrag in euro's 89.138.154
BedrijfsnaamIren SpA,Bedrag in euro's 13.520.789
BedrijfsnaamIron Mountain Inc,Bedrag in euro's 44.471.493
BedrijfsnaamItalmatch Chemicals SpA,Bedrag in euro's 3.205.152
BedrijfsnaamJames Hardie International Finance DAC,Bedrag in euro's 8.089.074
BedrijfsnaamJazz Securities DAC,Bedrag in euro's 21.654.642
BedrijfsnaamK Hovnanian Enterprises Inc,Bedrag in euro's 4.103.638
BedrijfsnaamKaiser Aluminum Corp,Bedrag in euro's 5.259.619
BedrijfsnaamKapla Holding SAS,Bedrag in euro's 4.619.333
BedrijfsnaamKB Home,Bedrag in euro's 2.928.586
BedrijfsnaamKFC Holding Co/Pizza Hut Holdings LLC/Taco Bell of America LLC,Bedrag in euro's 13.959.340
BedrijfsnaamKinetik Holdings LP,Bedrag in euro's 13.412.827
BedrijfsnaamKnife River Corp,Bedrag in euro's 7.467.992
BedrijfsnaamKodiak Gas Services LLC,Bedrag in euro's 4.890.444
BedrijfsnaamKoninklijke KPN NV,Bedrag in euro's 23.906.580
BedrijfsnaamKorn Ferry,Bedrag in euro's 11.077.275
BedrijfsnaamKronos International Inc,Bedrag in euro's 6.846.147
BedrijfsnaamLadder Capital Finance Holdings LLLP / Ladder Capital Finance Corp,Bedrag in euro's 4.916.037
BedrijfsnaamLamar Media Corp,Bedrag in euro's 5.012.176
BedrijfsnaamLamb Weston Holdings Inc,Bedrag in euro's 5.160.070
BedrijfsnaamLansforsakringar Bank AB,Bedrag in euro's 14.178.274
BedrijfsnaamLevel 3 Financing Inc,Bedrag in euro's 10.347.271
BedrijfsnaamLGI Homes Inc,Bedrag in euro's 6.570.120
BedrijfsnaamLifePoint Health Inc,Bedrag in euro's 8.344.057
BedrijfsnaamLight & Wonder International Inc,Bedrag in euro's 23.350.163
BedrijfsnaamLithia Motors Inc,Bedrag in euro's 7.712.609
BedrijfsnaamLive Nation Entertainment Inc,Bedrag in euro's 28.362.452
BedrijfsnaamLottomatica Group Spa,Bedrag in euro's 26.897.468
BedrijfsnaamLoxam SAS,Bedrag in euro's 38.071.493
BedrijfsnaamLumen Technologies Inc,Bedrag in euro's 3.007.239
BedrijfsnaamM/I Homes Inc,Bedrag in euro's 2.846.189
BedrijfsnaamMagallanes Inc,Bedrag in euro's 23.866.861
BedrijfsnaamMagnera Corp,Bedrag in euro's 6.235.383
BedrijfsnaamMahle GmbH,Bedrag in euro's 3.038.578
BedrijfsnaamManitowoc Co Inc/The,Bedrag in euro's 4.553.259
BedrijfsnaamMasterbrand Inc,Bedrag in euro's 5.133.016
BedrijfsnaamMatch Group Holdings II LLC,Bedrag in euro's 9.443.223
BedrijfsnaamMatterhorn Telecom SA,Bedrag in euro's 33.503.282
BedrijfsnaamMatthews International Corp,Bedrag in euro's 3.663.613
BedrijfsnaamMauser Packaging Solutions Holding Co,Bedrag in euro's 5.473.119
BedrijfsnaamMaya SAS/Paris France,Bedrag in euro's 16.384.778
BedrijfsnaamMcGraw-Hill Education Inc,Bedrag in euro's 6.915.813
BedrijfsnaamMehilainen Yhtiot Oy,Bedrag in euro's 7.134.494
BedrijfsnaamMercer International Inc,Bedrag in euro's 12.249.648
BedrijfsnaamMineral Resources Ltd,Bedrag in euro's 27.979.022
BedrijfsnaamMolina Healthcare Inc,Bedrag in euro's 14.106.166
BedrijfsnaamMonitchem HoldCo 3 SA,Bedrag in euro's 12.093.887
BedrijfsnaamMotion Finco Sarl,Bedrag in euro's 8.424.998
BedrijfsnaamMPT Operating Partnership LP / MPT Finance Corp,Bedrag in euro's 25.857.856
BedrijfsnaamMundys SpA,Bedrag in euro's 60.802.490
BedrijfsnaamMurphy Oil USA Inc,Bedrag in euro's 13.450.738
BedrijfsnaamNational Bank of Canada,Bedrag in euro's 5.372.877
BedrijfsnaamNaturgy Finance BV,Bedrag in euro's 4.005.777
BedrijfsnaamNCL Corp Ltd,Bedrag in euro's 12.070.495
BedrijfsnaamNederlandse Gasunie NV,Bedrag in euro's 7.310.338
BedrijfsnaamNeogen Food Safety Corp,Bedrag in euro's 4.928.144
BedrijfsnaamNeptune Bidco US Inc,Bedrag in euro's 3.046.656
BedrijfsnaamNESCO Holdings II Inc,Bedrag in euro's 4.573.878
BedrijfsnaamNew Immo Holding SA,Bedrag in euro's 22.601.559
BedrijfsnaamNewell Brands Inc,Bedrag in euro's 10.244.730
BedrijfsnaamNexans SA,Bedrag in euro's 5.124.057
BedrijfsnaamNidda Healthcare Holding GmbH,Bedrag in euro's 5.719.592
BedrijfsnaamNissan Motor Acceptance Co LLC,Bedrag in euro's 3.349.181
BedrijfsnaamNissan Motor Co Ltd,Bedrag in euro's 46.054.842
BedrijfsnaamNovelis Corp,Bedrag in euro's 13.068.458
BedrijfsnaamNovelis Sheet Ingot GmbH,Bedrag in euro's 7.061.867
BedrijfsnaamNRG Energy Inc,Bedrag in euro's 22.466.768
BedrijfsnaamOdido Holding BV,Bedrag in euro's 3.996.772
BedrijfsnaamOI European Group BV,Bedrag in euro's 13.805.059
BedrijfsnaamOlympus Water US Holding Corp,Bedrag in euro's 12.244.691
BedrijfsnaamOpal Bidco SAS,Bedrag in euro's 14.092.927
BedrijfsnaamOpen Text Corp,Bedrag in euro's 15.384.438
BedrijfsnaamOpen Text Holdings Inc,Bedrag in euro's 10.955.238
BedrijfsnaamOpmobility,Bedrag in euro's 5.682.710
BedrijfsnaamOrganon & Co / Organon Foreign Debt Co-Issuer BV,Bedrag in euro's 43.523.102
