Bedrijfsnaam,Bedrag in euro's
BedrijfsnaamUKG Inc,Bedrag in euro's 3.914.963
BedrijfsnaamUnited Group BV,Bedrag in euro's 3.674.750
BedrijfsnaamUnited Rentals North America Inc,Bedrag in euro's 13.095.310
BedrijfsnaamUniti Group LP / Uniti Group Finance Inc / CSL Capital LLC,Bedrag in euro's 9.615.965
BedrijfsnaamUpbound Group Inc,Bedrag in euro's 4.529.641
BedrijfsnaamUS Foods Inc,Bedrag in euro's 19.321.198
BedrijfsnaamVail Resorts Inc,Bedrag in euro's 8.236.642
BedrijfsnaamValeo SE,Bedrag in euro's 61.388.886
BedrijfsnaamVarex Imaging Corp,Bedrag in euro's 4.621.206
BedrijfsnaamVeolia Environnement SA,Bedrag in euro's 90.400.392
BedrijfsnaamVeritiv Operating Co,Bedrag in euro's 5.159.155
BedrijfsnaamVF Corp,Bedrag in euro's 18.358.577
BedrijfsnaamVictra Holdings LLC / Victra Finance Corp,Bedrag in euro's 3.357.507
BedrijfsnaamVistra Operations Co LLC,Bedrag in euro's 2.920.407
BedrijfsnaamVM Consolidated Inc,Bedrag in euro's 2.929.624
BedrijfsnaamVodafone Group PLC,Bedrag in euro's 76.665.999
BedrijfsnaamVolvo Car AB,Bedrag in euro's 16.813.468
BedrijfsnaamVT Topco Inc,Bedrag in euro's 5.030.814
BedrijfsnaamVZ Secured Financing BV,Bedrag in euro's 27.579.603
BedrijfsnaamVZ Vendor Financing II BV,Bedrag in euro's 6.396.640
BedrijfsnaamWand NewCo 3 Inc,Bedrag in euro's 4.424.128
BedrijfsnaamWaste Pro USA Inc,Bedrag in euro's 4.723.853
BedrijfsnaamWeatherford International Ltd,Bedrag in euro's 2.682.795
BedrijfsnaamWESCO Distribution Inc,Bedrag in euro's 20.084.515
BedrijfsnaamWhirlpool Corp,Bedrag in euro's 9.052.796
BedrijfsnaamWhirlpool Finance Luxembourg Sarl,Bedrag in euro's 15.483.966
BedrijfsnaamWilliams Scotsman Inc,Bedrag in euro's 21.087.054
BedrijfsnaamWindstream Services LLC,Bedrag in euro's 3.975.303
BedrijfsnaamWindstream Services LLC / Windstream Escrow Finance Corp,Bedrag in euro's 13.903.431
BedrijfsnaamWinnebago Industries Inc,Bedrag in euro's 3.442.590
BedrijfsnaamWintershall Dea Finance 2 BV,Bedrag in euro's 19.297.073
BedrijfsnaamWorldline SA/France,Bedrag in euro's 16.501.867
BedrijfsnaamXHR LP,Bedrag in euro's 7.804.380
BedrijfsnaamXPLR Infrastructure Operating Partners LP,Bedrag in euro's 19.945.720
BedrijfsnaamXPO Inc,Bedrag in euro's 6.226.148
BedrijfsnaamYum! Brands Inc,Bedrag in euro's 23.362.772
BedrijfsnaamZayo Group Holdings Inc,Bedrag in euro's 3.290.677
BedrijfsnaamZebra Technologies Corp,Bedrag in euro's 3.337.551
BedrijfsnaamZegona Finance PLC,Bedrag in euro's 10.523.542
BedrijfsnaamZiggo Bond Co BV,Bedrag in euro's 8.834.967
BedrijfsnaamZiggo BV,Bedrag in euro's 19.003.115
BedrijfsnaamZoomInfo Technologies LLC/ZoomInfo Finance Corp,Bedrag in euro's 4.994.159
Bedrijfsnaam1011778 BC ULC / New Red Finance Inc,Bedrag in euro's 44.012.995
Bedrijfsnaam1261229 BC Ltd,Bedrag in euro's 12.568.087
Bedrijfsnaam180 Medical Inc,Bedrag in euro's 7.240.315
Bedrijfsnaam888 Acquisitions Ltd,Bedrag in euro's 9.773.162
