Bedrijfsnaam,Bedrag in euro's
BedrijfsnaamChubb INA Holdings Inc,Bedrag in euro's67.251.817
BedrijfsnaamCie de Saint-Gobain SA,Bedrag in euro's77.499.835
BedrijfsnaamCIMIC Finance Ltd,Bedrag in euro's35.574.597
BedrijfsnaamCitigroup Inc,Bedrag in euro's28.149.409
BedrijfsnaamCitycon Treasury BV,Bedrag in euro's2.873.150
BedrijfsnaamCloverie PLC for Zurich Insurance Co Ltd,Bedrag in euro's28.578.237
BedrijfsnaamCNH Industrial Finance Europe SA,Bedrag in euro's19.836.005
BedrijfsnaamCNH Industrial NV,Bedrag in euro's13.237.350
BedrijfsnaamCoca-Cola Co/The,Bedrag in euro's103.457.211
BedrijfsnaamCoca-Cola Europacific Partners PLC,Bedrag in euro's100.729.330
BedrijfsnaamCoca-Cola HBC Finance BV,Bedrag in euro's65.319.208
BedrijfsnaamCoentreprise de Transport d'Electricite SA,Bedrag in euro's27.905.701
BedrijfsnaamCofinimmo SA,Bedrag in euro's12.690.219
BedrijfsnaamColgate-Palmolive Co,Bedrag in euro's36.637.880
BedrijfsnaamColoplast Finance BV,Bedrag in euro's26.064.518
BedrijfsnaamComcast Corp,Bedrag in euro's72.665.952
BedrijfsnaamCompass Group Finance Netherlands BV,Bedrag in euro's14.624.192
BedrijfsnaamCompass Group PLC,Bedrag in euro's21.590.657
BedrijfsnaamComputershare US Inc,Bedrag in euro's31.459.876
BedrijfsnaamCooperatieve Rabobank UA,Bedrag in euro's33.026.609
BedrijfsnaamCorning Inc,Bedrag in euro's18.359.198
BedrijfsnaamCoty Inc,Bedrag in euro's17.429.726
BedrijfsnaamCoty Inc/HFC Prestige Products Inc/HFC Prestige International US LLC,Bedrag in euro's3.095.535
BedrijfsnaamCredit Agricole SA,Bedrag in euro's79.171.614
BedrijfsnaamCredit Agricole SA/London,Bedrag in euro's5.974.722
BedrijfsnaamCredit Mutuel Arkea SA,Bedrag in euro's14.558.350
BedrijfsnaamCrelan SA,Bedrag in euro's27.914.260
BedrijfsnaamCRH SMW Finance DAC,Bedrag in euro's68.526.143
BedrijfsnaamCTR Partnership LP / CareTrust Capital Corp,Bedrag in euro's651.702
BedrijfsnaamDaimler International Finance BV,Bedrag in euro's68.180.607
BedrijfsnaamDaimler Truck International Finance BV,Bedrag in euro's52.611.358
BedrijfsnaamDanaher Corp,Bedrag in euro's7.195.331
BedrijfsnaamDanone SA,Bedrag in euro's41.287.739
BedrijfsnaamDanske Bank A/S,Bedrag in euro's78.256.049
BedrijfsnaamDassault Systemes SE,Bedrag in euro's21.782.549
Bedrijfsnaamde Volksbank NV,Bedrag in euro's45.251.432
BedrijfsnaamDelta Air Lines Inc,Bedrag in euro's3.706.637
BedrijfsnaamDeutsche Bahn Finance GMBH,Bedrag in euro's66.463.717
BedrijfsnaamDeutsche Bank AG,Bedrag in euro's31.619.550
BedrijfsnaamDeutsche Boerse AG,Bedrag in euro's82.989.135
BedrijfsnaamDeutsche Telekom AG,Bedrag in euro's28.004.811
BedrijfsnaamDH Europe Finance II Sarl,Bedrag in euro's62.314.549
BedrijfsnaamDiageo Capital BV,Bedrag in euro's21.230.869
BedrijfsnaamDiageo Finance PLC,Bedrag in euro's38.021.754
BedrijfsnaamDigital Dutch Finco BV,Bedrag in euro's39.033.351
BedrijfsnaamDigital Intrepid Holding BV,Bedrag in euro's4.939.488
BedrijfsnaamDNB Bank ASA,Bedrag in euro's104.244.642
BedrijfsnaamDover Corp,Bedrag in euro's32.203.748
BedrijfsnaamDSM BV,Bedrag in euro's10.192.798
BedrijfsnaamDSV A/S,Bedrag in euro's9.295.159
BedrijfsnaamDSV Panalpina Finance BV,Bedrag in euro's56.987.758
BedrijfsnaamDT Midstream Inc,Bedrag in euro's9.433.697
BedrijfsnaamDXC Capital Funding DAC,Bedrag in euro's21.930.167
BedrijfsnaamE.ON SE,Bedrag in euro's24.926.468
BedrijfsnaamEaton Capital ULC,Bedrag in euro's22.754.173
BedrijfsnaamEDP Finance BV,Bedrag in euro's31.396.738
BedrijfsnaamEDP Servicios Financieros Espana SA,Bedrag in euro's19.638.701
BedrijfsnaamEl Corte Ingles SA,Bedrag in euro's14.998.705
BedrijfsnaamElectricite de France SA,Bedrag in euro's42.553.843
BedrijfsnaamEli Lilly & Co,Bedrag in euro's57.328.794
BedrijfsnaamElia Transmission Belgium SA,Bedrag in euro's43.674.667
BedrijfsnaamElis SA,Bedrag in euro's7.772.666
BedrijfsnaamEllevio AB,Bedrag in euro's19.719.095
BedrijfsnaamEmerson Electric Co,Bedrag in euro's50.604.416
BedrijfsnaamEnBW International Finance BV,Bedrag in euro's35.670.664
BedrijfsnaamEnel Finance International NV,Bedrag in euro's81.779.604
BedrijfsnaamEnel SpA,Bedrag in euro's3.465.687
BedrijfsnaamEnexis Holding NV,Bedrag in euro's46.857.998
BedrijfsnaamEngie SA,Bedrag in euro's104.701.003
BedrijfsnaamEQT AB,Bedrag in euro's35.012.607
BedrijfsnaamEquinix Europe 2 Financing Corp LLC,Bedrag in euro's18.040.784
BedrijfsnaamEquitable Financial Life Global Funding,Bedrag in euro's36.368.902
BedrijfsnaamEssilorLuxottica SA,Bedrag in euro's44.753.431
BedrijfsnaamEssity AB,Bedrag in euro's9.851.267
BedrijfsnaamEssity Capital BV,Bedrag in euro's41.020.626
BedrijfsnaamEuroclear Bank SA,Bedrag in euro's31.975.813
BedrijfsnaamEurofins Scientific SE,Bedrag in euro's49.455.773
BedrijfsnaamEurogrid GmbH,Bedrag in euro's76.865.189
BedrijfsnaamEWE AG,Bedrag in euro's16.493.215
BedrijfsnaamExperian Europe DAC,Bedrag in euro's9.904.448
BedrijfsnaamExperian Finance PLC,Bedrag in euro's32.313.174
BedrijfsnaamFedEx Corp,Bedrag in euro's31.689.414
BedrijfsnaamFerrovial Emisiones SA,Bedrag in euro's13.142.267
BedrijfsnaamFidelity National Information Services Inc,Bedrag in euro's100.802.023
BedrijfsnaamFingrid OYJ,Bedrag in euro's23.246.347
BedrijfsnaamFirmenich Productions Participations SAS,Bedrag in euro's11.856.365
BedrijfsnaamFiserv Funding ULC,Bedrag in euro's10.974.945
BedrijfsnaamFiserv Inc,Bedrag in euro's51.760.637
BedrijfsnaamFlutter Treasury DAC,Bedrag in euro's4.141.606
BedrijfsnaamFLUVIUS System Operator CV,Bedrag in euro's16.165.197
BedrijfsnaamFortive Corp,Bedrag in euro's62.015.993
BedrijfsnaamFortum OYJ,Bedrag in euro's13.872.294
BedrijfsnaamFresenius Medical Care AG,Bedrag in euro's21.076.645
BedrijfsnaamGatwick Funding Ltd,Bedrag in euro's40.914.822
BedrijfsnaamGeneral Mills Inc,Bedrag in euro's64.795.155
BedrijfsnaamGeneral Motors Financial Co Inc,Bedrag in euro's20.757.953
BedrijfsnaamGivaudan Finance Europe BV,Bedrag in euro's11.027.101
BedrijfsnaamGlaxoSmithKline Capital PLC,Bedrag in euro's23.443.426
BedrijfsnaamGlobal Payments Inc,Bedrag in euro's22.848.890
BedrijfsnaamGoldman Sachs Group Inc/The,Bedrag in euro's14.101.604
BedrijfsnaamGoodman Australia Finance Pty Ltd,Bedrag in euro's7.865.834
BedrijfsnaamGrand City Properties SA,Bedrag in euro's19.942.605
BedrijfsnaamGreat-West Lifeco Inc,Bedrag in euro's13.944.626
BedrijfsnaamGroupe Bruxelles Lambert NV,Bedrag in euro's19.823.414
BedrijfsnaamGSK Capital BV,Bedrag in euro's22.137.251
BedrijfsnaamH&M Finance BV,Bedrag in euro's28.626.679
BedrijfsnaamHaleon Netherlands Capital BV,Bedrag in euro's12.469.144
BedrijfsnaamHaleon UK Capital PLC,Bedrag in euro's11.308.004
BedrijfsnaamHarbour Energy PLC,Bedrag in euro's16.242.732
BedrijfsnaamHCA Inc,Bedrag in euro's1.957.576
BedrijfsnaamHeathrow Funding Ltd,Bedrag in euro's87.583.574
BedrijfsnaamHeidelberg Materials AG,Bedrag in euro's5.729.905
BedrijfsnaamHeidelberg Materials Finance Luxembourg SA,Bedrag in euro's23.037.941
BedrijfsnaamHeimstaden Bostad Treasury BV,Bedrag in euro's1.505.114
BedrijfsnaamHeineken NV,Bedrag in euro's68.872.246
