Bedrijfsnaam,Bedrag in euro's
BedrijfsnaamABB Finance BV,Bedrag in euro's46.619.030
BedrijfsnaamAbbVie Inc,Bedrag in euro's14.495.706
BedrijfsnaamAbertis France SAS,Bedrag in euro's42.470.121
BedrijfsnaamABN AMRO Bank NV,Bedrag in euro's30.312.470
BedrijfsnaamAcef Holding SCA,Bedrag in euro's61.827.305
BedrijfsnaamAchmea Bank NV,Bedrag in euro's17.277.441
BedrijfsnaamAena SME SA,Bedrag in euro's36.820.002
BedrijfsnaamAeroports de Paris SA,Bedrag in euro's45.091.504
BedrijfsnaamAGCO International Holdings BV,Bedrag in euro's18.336.970
BedrijfsnaamAir Liquide Finance SA,Bedrag in euro's10.141.053
BedrijfsnaamAir Products and Chemicals Inc,Bedrag in euro's85.272.653
BedrijfsnaamAker BP ASA,Bedrag in euro's28.180.246
BedrijfsnaamAkzo Nobel NV,Bedrag in euro's7.088.660
BedrijfsnaamAlcon Finance BV,Bedrag in euro's17.226.326
BedrijfsnaamAliaxis Holdings SA,Bedrag in euro's31.532.295
BedrijfsnaamAlimentation Couche-Tard Inc,Bedrag in euro's50.407.424
BedrijfsnaamAlliander NV,Bedrag in euro's86.210.960
BedrijfsnaamAllianz Finance II BV,Bedrag in euro's25.915.066
BedrijfsnaamAlphabet Inc,Bedrag in euro's70.782.802
BedrijfsnaamAmadeus IT Group SA,Bedrag in euro's16.096.042
BedrijfsnaamAmcor UK Finance PLC,Bedrag in euro's55.777.826
BedrijfsnaamAmerican Express Co,Bedrag in euro's17.117.851
BedrijfsnaamAmerican Honda Finance Corp,Bedrag in euro's83.107.118
BedrijfsnaamAmerican Medical Systems Europe BV,Bedrag in euro's8.252.535
BedrijfsnaamAmerican Tower Corp,Bedrag in euro's48.808.867
BedrijfsnaamAmprion GmbH,Bedrag in euro's42.474.241
BedrijfsnaamAnheuser-Busch InBev SA/NV,Bedrag in euro's67.592.900
BedrijfsnaamANZ New Zealand Int'l Ltd/London,Bedrag in euro's27.939.510
BedrijfsnaamAPA Infrastructure Ltd,Bedrag in euro's30.114.359
BedrijfsnaamApple Inc,Bedrag in euro's16.895.586
BedrijfsnaamAPRR SA,Bedrag in euro's71.123.650
BedrijfsnaamArcadis NV,Bedrag in euro's13.658.695
BedrijfsnaamArgenta Spaarbank NV,Bedrag in euro's19.901.152
BedrijfsnaamArgentum Netherlands BV for Givaudan SA,Bedrag in euro's2.398.026
BedrijfsnaamArkema SA,Bedrag in euro's28.219.379
BedrijfsnaamAroundtown SA,Bedrag in euro's30.482.316
BedrijfsnaamAsahi Group Holdings Ltd,Bedrag in euro's40.753.240
BedrijfsnaamASB Bank Ltd,Bedrag in euro's39.005.716
BedrijfsnaamASN Bank NV,Bedrag in euro's41.930.494
