Bedrijfsnaam,Bedrag in euro's
BedrijfsnaamABB Finance BV,Bedrag in euro's4.845.835
BedrijfsnaamAbbVie Inc,Bedrag in euro's14.817.983
BedrijfsnaamAbertis France SAS,Bedrag in euro's44.009.965
BedrijfsnaamABN AMRO Bank NV,Bedrag in euro's45.322.856
BedrijfsnaamAcef Holding SCA,Bedrag in euro's64.517.678
BedrijfsnaamAchmea Bank NV,Bedrag in euro's18.214.615
BedrijfsnaamAena SME SA,Bedrag in euro's49.478.888
BedrijfsnaamAeroports de Paris SA,Bedrag in euro's47.213.706
BedrijfsnaamAGCO International Holdings BV,Bedrag in euro's18.616.723
BedrijfsnaamAir Liquide Finance SA,Bedrag in euro's10.132.204
BedrijfsnaamAir Products and Chemicals Inc,Bedrag in euro's88.690.037
BedrijfsnaamAker BP ASA,Bedrag in euro's29.659.787
BedrijfsnaamAlcon Finance BV,Bedrag in euro's18.025.412
BedrijfsnaamAliaxis Holdings SA,Bedrag in euro's33.221.517
BedrijfsnaamAlimentation Couche-Tard Inc,Bedrag in euro's52.672.162
BedrijfsnaamAlliander NV,Bedrag in euro's96.750.592
BedrijfsnaamAlphabet Inc,Bedrag in euro's89.143.097
BedrijfsnaamAmadeus IT Group SA,Bedrag in euro's16.421.518
BedrijfsnaamAmcor UK Finance PLC,Bedrag in euro's58.472.670
BedrijfsnaamAmerican Express Co,Bedrag in euro's17.933.480
BedrijfsnaamAmerican Honda Finance Corp,Bedrag in euro's85.427.172
BedrijfsnaamAmerican Medical Systems Europe BV,Bedrag in euro's22.963.717
BedrijfsnaamAmerican Tower Corp,Bedrag in euro's51.248.733
BedrijfsnaamAmprion GmbH,Bedrag in euro's44.610.363
BedrijfsnaamAnheuser-Busch InBev SA/NV,Bedrag in euro's78.902.094
BedrijfsnaamANZ New Zealand Int'l Ltd/London,Bedrag in euro's29.763.903
BedrijfsnaamAPA Infrastructure Ltd,Bedrag in euro's31.441.492
BedrijfsnaamApple Inc,Bedrag in euro's21.840.982
BedrijfsnaamAPRR SA,Bedrag in euro's77.292.515
BedrijfsnaamArcadis NV,Bedrag in euro's13.750.881
BedrijfsnaamArgenta Spaarbank NV,Bedrag in euro's31.404.026
BedrijfsnaamArgentum Netherlands BV for Givaudan SA,Bedrag in euro's2.366.118
BedrijfsnaamArkema SA,Bedrag in euro's29.556.882
BedrijfsnaamAroundtown SA,Bedrag in euro's30.491.709
BedrijfsnaamAsahi Group Holdings Ltd,Bedrag in euro's42.635.055
BedrijfsnaamASB Bank Ltd,Bedrag in euro's41.448.374
BedrijfsnaamASN Bank NV,Bedrag in euro's43.145.843
BedrijfsnaamAstrazeneca Finance LLC,Bedrag in euro's9.414.828
BedrijfsnaamAstraZeneca PLC,Bedrag in euro's27.642.575
BedrijfsnaamAT&T Inc,Bedrag in euro's102.155.754
BedrijfsnaamAtlas Copco Finance DAC,Bedrag in euro's9.969.145
BedrijfsnaamAurizon Network Pty Ltd,Bedrag in euro's15.813.979
BedrijfsnaamAusgrid Finance Pty Ltd,Bedrag in euro's20.016.730
BedrijfsnaamAusNet Services Holdings Pty Ltd,Bedrag in euro's33.318.973
BedrijfsnaamAustralia & New Zealand Banking Group Ltd,Bedrag in euro's6.508.738
BedrijfsnaamAustralia Pacific Airports Melbourne Pty Ltd,Bedrag in euro's51.771.448
BedrijfsnaamAutoroutes du Sud de la France SA,Bedrag in euro's68.197.284
BedrijfsnaamAvery Dennison Corp,Bedrag in euro's15.093.721
BedrijfsnaamAXA SA,Bedrag in euro's34.492.519
BedrijfsnaamAyvens SA,Bedrag in euro's48.272.730
BedrijfsnaamBanco Santander SA,Bedrag in euro's95.187.631
BedrijfsnaamBank of America Corp,Bedrag in euro's68.351.570
BedrijfsnaamBank of Montreal,Bedrag in euro's20.121.377
BedrijfsnaamBank of New Zealand,Bedrag in euro's43.716.570
BedrijfsnaamBank of Nova Scotia/The,Bedrag in euro's191.695
BedrijfsnaamBanque Federative du Credit Mutuel SA,Bedrag in euro's73.368.295
BedrijfsnaamBarclays PLC,Bedrag in euro's37.952.210
BedrijfsnaamBASF SE,Bedrag in euro's22.153.982
BedrijfsnaamBayer AG,Bedrag in euro's52.524.463
BedrijfsnaamBecton Dickinson & Co,Bedrag in euro's19.428.483
BedrijfsnaamBecton Dickinson Euro Finance Sarl,Bedrag in euro's84.466.687
BedrijfsnaamBelfius Bank SA,Bedrag in euro's43.491.472
BedrijfsnaamBG Energy Capital PLC,Bedrag in euro's31.820.252
BedrijfsnaamBHP Billiton Finance Ltd,Bedrag in euro's47.400.910
BedrijfsnaamBlackrock Inc,Bedrag in euro's32.048.997
BedrijfsnaamBlackstone Property Partners Europe Holdings Sarl,Bedrag in euro's18.654.645
BedrijfsnaamBMW Finance NV,Bedrag in euro's18.079.776
BedrijfsnaamBMW International Investment BV,Bedrag in euro's37.451.854
BedrijfsnaamBMW US Capital LLC,Bedrag in euro's24.013.801
BedrijfsnaamBNP Paribas SA,Bedrag in euro's23.713.902
BedrijfsnaamBooking Holdings Inc,Bedrag in euro's83.966.479
BedrijfsnaamBorgWarner Inc,Bedrag in euro's27.801.638
BedrijfsnaamBP Capital Markets BV,Bedrag in euro's46.412.970
BedrijfsnaamBP Capital Markets PLC,Bedrag in euro's36.859.307
BedrijfsnaamBPCE SA,Bedrag in euro's41.382.482
BedrijfsnaamBrambles Finance PLC,Bedrag in euro's64.245.995
BedrijfsnaamBrambles USA Inc,Bedrag in euro's5.290.288
BedrijfsnaamBrisbane Airport Corp Pty Ltd,Bedrag in euro's14.381.649
BedrijfsnaamBritish Telecommunications PLC,Bedrag in euro's39.361.474
BedrijfsnaamBT Finance PLC,Bedrag in euro's7.756.006
BedrijfsnaamBunge Finance Europe BV,Bedrag in euro's20.165.692
BedrijfsnaamBunzl Finance PLC,Bedrag in euro's20.432.600
BedrijfsnaamCadent Finance PLC,Bedrag in euro's22.126.202
BedrijfsnaamCanadian Imperial Bank of Commerce,Bedrag in euro's1.924.412
BedrijfsnaamCapgemini SE,Bedrag in euro's59.862.239
BedrijfsnaamCargill Inc,Bedrag in euro's17.704.728
BedrijfsnaamCarlsberg Breweries A/S,Bedrag in euro's91.377.551
BedrijfsnaamCarrefour SA,Bedrag in euro's33.286.697
BedrijfsnaamCarrier Global Corp,Bedrag in euro's21.369.271
BedrijfsnaamCBRE Open-Ended Funds SCA SICAV-SIF,Bedrag in euro's43.321.051
BedrijfsnaamCCEP Finance Ireland DAC,Bedrag in euro's11.205.611
BedrijfsnaamCellnex Finance Co SA,Bedrag in euro's43.362.248
BedrijfsnaamCencora Inc,Bedrag in euro's32.288.784
BedrijfsnaamChorus Ltd,Bedrag in euro's17.746.281
BedrijfsnaamChubb INA Holdings Inc,Bedrag in euro's68.946.438
BedrijfsnaamCie de Saint-Gobain SA,Bedrag in euro's65.437.359
BedrijfsnaamCIMIC Finance Ltd,Bedrag in euro's38.184.695
BedrijfsnaamCitigroup Inc,Bedrag in euro's36.797.710
BedrijfsnaamClearstream Europe AG,Bedrag in euro's16.433.185
BedrijfsnaamCloverie PLC for Zurich Insurance Co Ltd,Bedrag in euro's28.361.224
BedrijfsnaamCNH Industrial Finance Europe SA,Bedrag in euro's12.246.061
BedrijfsnaamCNH Industrial NV,Bedrag in euro's37.061.941
BedrijfsnaamCoca-Cola Co/The,Bedrag in euro's117.603.747
BedrijfsnaamCoca-Cola Europacific Partners PLC,Bedrag in euro's139.277.592
BedrijfsnaamCoca-Cola HBC Finance BV,Bedrag in euro's88.628.527
BedrijfsnaamCoentreprise de Transport d'Electricite SA,Bedrag in euro's27.534.847
BedrijfsnaamCofinimmo SA,Bedrag in euro's12.583.850
BedrijfsnaamColgate-Palmolive Co,Bedrag in euro's44.195.090
