Bedrijfsnaam,Bedrag in euro's
BedrijfsnaamCarrier Global Corp,Bedrag in euro's18.762.302
BedrijfsnaamCBRE Open-Ended Funds SCA SICAV-SIF,Bedrag in euro's43.682.215
BedrijfsnaamCCEP Finance Ireland DAC,Bedrag in euro's11.351.392
BedrijfsnaamCellnex Finance Co SA,Bedrag in euro's46.102.876
BedrijfsnaamCencora Inc,Bedrag in euro's30.589.200
BedrijfsnaamChorus Ltd,Bedrag in euro's20.310.098
BedrijfsnaamChubb INA Holdings Inc,Bedrag in euro's67.919.524
BedrijfsnaamCie de Saint-Gobain SA,Bedrag in euro's61.323.057
BedrijfsnaamCIMIC Finance Ltd,Bedrag in euro's35.743.444
BedrijfsnaamCitigroup Inc,Bedrag in euro's27.783.674
BedrijfsnaamCitycon Treasury BV,Bedrag in euro's2.846.145
BedrijfsnaamCloverie PLC for Zurich Insurance Co Ltd,Bedrag in euro's28.892.634
BedrijfsnaamCNH Industrial Finance Europe SA,Bedrag in euro's19.954.781
BedrijfsnaamCNH Industrial NV,Bedrag in euro's20.496.684
BedrijfsnaamCoca-Cola Co/The,Bedrag in euro's102.985.688
BedrijfsnaamCoca-Cola Europacific Partners PLC,Bedrag in euro's119.240.732
BedrijfsnaamCoca-Cola HBC Finance BV,Bedrag in euro's61.046.006
BedrijfsnaamCoentreprise de Transport d'Electricite SA,Bedrag in euro's27.758.727
BedrijfsnaamCofinimmo SA,Bedrag in euro's12.794.159
BedrijfsnaamColgate-Palmolive Co,Bedrag in euro's36.505.312
BedrijfsnaamColonial SFL Socimi SA,Bedrag in euro's10.392.224
BedrijfsnaamColoplast Finance BV,Bedrag in euro's26.211.030
BedrijfsnaamComcast Corp,Bedrag in euro's72.096.384
BedrijfsnaamCompass Group Finance Netherlands BV,Bedrag in euro's14.731.047
BedrijfsnaamCompass Group PLC,Bedrag in euro's21.646.202
BedrijfsnaamComputershare US Inc,Bedrag in euro's31.411.725
BedrijfsnaamCooperatieve Rabobank UA,Bedrag in euro's45.232.773
BedrijfsnaamCorning Inc,Bedrag in euro's18.638.751
BedrijfsnaamCoty Inc,Bedrag in euro's17.432.355
BedrijfsnaamCoty Inc/HFC Prestige Products Inc/HFC Prestige International US LLC,Bedrag in euro's3.039.706
BedrijfsnaamCredit Agricole SA,Bedrag in euro's98.548.102
BedrijfsnaamCredit Agricole SA/London,Bedrag in euro's6.004.546
BedrijfsnaamCredit Mutuel Arkea SA,Bedrag in euro's14.665.631
BedrijfsnaamCrelan SA,Bedrag in euro's35.928.666
BedrijfsnaamCRH SMW Finance DAC,Bedrag in euro's66.584.741
BedrijfsnaamCTR Partnership LP / CareTrust Capital Corp,Bedrag in euro's669.506
BedrijfsnaamDaimler International Finance BV,Bedrag in euro's68.101.708
BedrijfsnaamDaimler Truck International Finance BV,Bedrag in euro's53.234.206
BedrijfsnaamDanaher Corp,Bedrag in euro's7.089.728
BedrijfsnaamDanone SA,Bedrag in euro's53.265.123
BedrijfsnaamDanske Bank A/S,Bedrag in euro's75.445.679
BedrijfsnaamDassault Systemes SE,Bedrag in euro's21.848.482
BedrijfsnaamDelta Air Lines Inc,Bedrag in euro's3.610.613
BedrijfsnaamDeutsche Bahn AG,Bedrag in euro's60.149.916
BedrijfsnaamDeutsche Bank AG,Bedrag in euro's31.730.736
BedrijfsnaamDeutsche Boerse AG,Bedrag in euro's80.601.245
BedrijfsnaamDeutsche Telekom AG,Bedrag in euro's28.368.865
BedrijfsnaamDH Europe Finance II Sarl,Bedrag in euro's62.252.601
BedrijfsnaamDiageo Capital BV,Bedrag in euro's21.339.932
BedrijfsnaamDiageo Finance PLC,Bedrag in euro's37.902.544
BedrijfsnaamDigital Dutch Finco BV,Bedrag in euro's39.277.419
BedrijfsnaamDigital Intrepid Holding BV,Bedrag in euro's4.957.802
BedrijfsnaamDNB Bank ASA,Bedrag in euro's104.113.453
BedrijfsnaamDover Corp,Bedrag in euro's38.627.462
BedrijfsnaamDSM BV,Bedrag in euro's10.306.049
BedrijfsnaamDSV A/S,Bedrag in euro's9.352.711
BedrijfsnaamDSV Panalpina Finance BV,Bedrag in euro's57.312.200
BedrijfsnaamDT Midstream Inc,Bedrag in euro's4.618.539
BedrijfsnaamDXC Capital Funding DAC,Bedrag in euro's22.096.067
BedrijfsnaamE.ON SE,Bedrag in euro's24.765.436
BedrijfsnaamEaton Capital ULC,Bedrag in euro's23.021.591
BedrijfsnaamEDP Finance BV,Bedrag in euro's31.584.410
BedrijfsnaamEDP Servicios Financieros Espana SA,Bedrag in euro's19.526.204
BedrijfsnaamElectricite de France SA,Bedrag in euro's43.044.221
BedrijfsnaamEli Lilly & Co,Bedrag in euro's57.335.920
BedrijfsnaamElia Transmission Belgium SA,Bedrag in euro's44.215.392
BedrijfsnaamElis SA,Bedrag in euro's7.825.716
BedrijfsnaamEllevio AB,Bedrag in euro's19.949.579
BedrijfsnaamEmerson Electric Co,Bedrag in euro's51.023.097
BedrijfsnaamEnBW International Finance BV,Bedrag in euro's35.933.422
BedrijfsnaamEnel Finance International NV,Bedrag in euro's82.012.44
BedrijfsnaamEnel SpA,Bedrag in euro's3.518.993
BedrijfsnaamEnexis Holding NV,Bedrag in euro's46.982.146
BedrijfsnaamEngie SA,Bedrag in euro's110.938.747
BedrijfsnaamEQT AB,Bedrag in euro's31.835.643
BedrijfsnaamEquinix Europe 2 Financing Corp LLC,Bedrag in euro's18.329.787
BedrijfsnaamEquitable Financial Life Global Funding,Bedrag in euro's36.586.163
BedrijfsnaamEssilorLuxottica SA,Bedrag in euro's45.241.267
BedrijfsnaamEssity AB,Bedrag in euro's9.778.319
BedrijfsnaamEssity Capital BV,Bedrag in euro's43.032.525
BedrijfsnaamEuroclear Bank SA,Bedrag in euro's14.036.102
BedrijfsnaamEurofins Scientific SE,Bedrag in euro's51.320.105
BedrijfsnaamEurogrid GmbH,Bedrag in euro's77.533.034
BedrijfsnaamEWE AG,Bedrag in euro's16.803.300
BedrijfsnaamExperian Europe DAC,Bedrag in euro's9.997.971
BedrijfsnaamExperian Finance PLC,Bedrag in euro's32.588.603
BedrijfsnaamFedEx Corp,Bedrag in euro's34.223.092
BedrijfsnaamFerrovial Emisiones SA,Bedrag in euro's13.225.818
BedrijfsnaamFidelity National Information Services Inc,Bedrag in euro's101.388.754
BedrijfsnaamFingrid OYJ,Bedrag in euro's23.453.224
BedrijfsnaamFirmenich Productions Participations SAS,Bedrag in euro's11.927.151
BedrijfsnaamFiserv Funding ULC,Bedrag in euro's11.134.621
BedrijfsnaamFiserv Inc,Bedrag in euro's51.681.260
BedrijfsnaamFlutter Treasury DAC,Bedrag in euro's4.177.455
BedrijfsnaamFLUVIUS System Operator CV,Bedrag in euro's16.377.309
BedrijfsnaamFortive Corp,Bedrag in euro's24.520.978
BedrijfsnaamFortum OYJ,Bedrag in euro's14.040.302
BedrijfsnaamFresenius Medical Care AG,Bedrag in euro's21.347.627
BedrijfsnaamGatwick Funding Ltd,Bedrag in euro's41.519.524
BedrijfsnaamGeneral Mills Inc,Bedrag in euro's66.326.251
BedrijfsnaamGeneral Motors Financial Co Inc,Bedrag in euro's20.857.118
BedrijfsnaamGivaudan Finance Europe BV,Bedrag in euro's16.098.891
BedrijfsnaamGlaxoSmithKline Capital PLC,Bedrag in euro's23.513.815
BedrijfsnaamGlobal Payments Inc,Bedrag in euro's23.137.353
BedrijfsnaamGoldman Sachs Group Inc/The,Bedrag in euro's14.251.482
BedrijfsnaamGrand City Properties SA,Bedrag in euro's14.954.048
BedrijfsnaamGreat-West Lifeco Inc,Bedrag in euro's14.172.875
BedrijfsnaamGroupe Bruxelles Lambert NV,Bedrag in euro's19.822.087
BedrijfsnaamGSK Capital BV,Bedrag in euro's22.349.143
BedrijfsnaamHaleon Netherlands Capital BV,Bedrag in euro's12.571.196
BedrijfsnaamHaleon UK Capital PLC,Bedrag in euro's11.079.723
BedrijfsnaamHCA Inc,Bedrag in euro's2.008.085
BedrijfsnaamHeathrow Funding Ltd,Bedrag in euro's76.080.306
BedrijfsnaamHeidelberg Materials AG,Bedrag in euro's5.599.951
BedrijfsnaamHeidelberg Materials Finance Luxembourg SA,Bedrag in euro's23.322.024
BedrijfsnaamHeineken NV,Bedrag in euro's54.090.037
BedrijfsnaamHenkel AG & Co KGaA,Bedrag in euro's16.413.060
BedrijfsnaamHighland Holdings Sarl,Bedrag in euro's67.303.441
BedrijfsnaamHolcim Finance Luxembourg SA,Bedrag in euro's82.480.782
BedrijfsnaamHuhtamaki OYJ,Bedrag in euro's3.726.236
BedrijfsnaamIberdrola Finanzas SA,Bedrag in euro's23.319.040
BedrijfsnaamICG PLC,Bedrag in euro's43.068.366
BedrijfsnaamIDS Financing PLC,Bedrag in euro's15.040.959
BedrijfsnaamIHG Finance LLC,Bedrag in euro's49.765.116
BedrijfsnaamIllinois Tool Works Inc,Bedrag in euro's78.827.185
BedrijfsnaamIMCD NV,Bedrag in euro's39.075.590
BedrijfsnaamImerys SA,Bedrag in euro's12.108.275
BedrijfsnaamIn'li SA,Bedrag in euro's27.630.744
BedrijfsnaamInfineon Technologies AG,Bedrag in euro's50.139.167
BedrijfsnaamInforma PLC,Bedrag in euro's69.697.519
BedrijfsnaamING Groep NV,Bedrag in euro's117.456.992
BedrijfsnaamInternational Business Machines Corp,Bedrag in euro's103.460.708
BedrijfsnaamInternational Flavors & Fragrances Inc,Bedrag in euro's24.101.449
BedrijfsnaamInvestor AB,Bedrag in euro's73.943.300
BedrijfsnaamISS Global A/S,Bedrag in euro's25.311.545
BedrijfsnaamItalgas SpA,Bedrag in euro's25.854.515
BedrijfsnaamIWG US Finance LLC,Bedrag in euro's12.974.665
BedrijfsnaamJAB Holdings BV,Bedrag in euro's18.559.161
BedrijfsnaamJCDecaux SE,Bedrag in euro's8.548.378
BedrijfsnaamJDE Peet's NV,Bedrag in euro's64.549.315
BedrijfsnaamJH North America Holdings Inc,Bedrag in euro's2.834.231
BedrijfsnaamJohn Deere Bank SA,Bedrag in euro's48.585.802
BedrijfsnaamJohn Deere Capital Corp,Bedrag in euro's12.007.336
BedrijfsnaamJohnson & Johnson,Bedrag in euro's89.534.790
BedrijfsnaamJohnson Controls International plc / Tyco Fire & Security Finance SCA,Bedrag in euro's26.579.664
BedrijfsnaamJPMorgan Chase & Co,Bedrag in euro's131.545.490
BedrijfsnaamJyske Bank A/S,Bedrag in euro's56.287.520
BedrijfsnaamKBC Group NV,Bedrag in euro's81.532.755
BedrijfsnaamKBC IFIMA SA,Bedrag in euro's23.656.673
BedrijfsnaamKerry Group Financial Services,Bedrag in euro's34.308.360
BedrijfsnaamKingspan Securities Ireland DAC,Bedrag in euro's22.460.880
BedrijfsnaamKnorr-Bremse AG,Bedrag in euro's10.341.117
BedrijfsnaamKojamo Oyj,Bedrag in euro's10.748.702
BedrijfsnaamKoninklijke Ahold Delhaize NV,Bedrag in euro's74.783.867
BedrijfsnaamKoninklijke KPN NV,Bedrag in euro's32.348.270
BedrijfsnaamKraft Heinz Foods Co,Bedrag in euro's47.500.780
BedrijfsnaamL'Oreal SA,Bedrag in euro's35.205.338
BedrijfsnaamLa Poste SA,Bedrag in euro's45.953.221
BedrijfsnaamLansforsakringar Bank AB,Bedrag in euro's58.858.718
BedrijfsnaamLANXESS AG,Bedrag in euro's18.479.606
BedrijfsnaamLEG Immobilien SE,Bedrag in euro's22.642.510
BedrijfsnaamLinde Inc/CT,Bedrag in euro's21.867.618
BedrijfsnaamLinde PLC,Bedrag in euro's77.968.292
BedrijfsnaamLKQ Dutch Bond BV,Bedrag in euro's21.931.649
BedrijfsnaamLloyds Banking Group PLC,Bedrag in euro's20.512.153
BedrijfsnaamLondon Stock Exchange Group PLC,Bedrag in euro's30.201.624
BedrijfsnaamLonza Finance International NV,Bedrag in euro's61.874.297
BedrijfsnaamLouis Dreyfus Co Finance BV,Bedrag in euro's36.741.951
BedrijfsnaamLseg Netherlands BV,Bedrag in euro's49.653.113
BedrijfsnaamLunar Funding V for Swisscom AG,Bedrag in euro's22.066.948
BedrijfsnaamManchester Airport Group Funding PLC,Bedrag in euro's28.403.987
BedrijfsnaamManpowerGroup Inc,Bedrag in euro's15.004.868
BedrijfsnaamMarsh & McLennan Cos Inc,Bedrag in euro's38.820.401
BedrijfsnaamMassMutual Global Funding II,Bedrag in euro's32.587.187
BedrijfsnaamMattel Inc,Bedrag in euro's1.734.801
BedrijfsnaamMcDonald's Corp,Bedrag in euro's57.577.822
BedrijfsnaamMcKesson Corp,Bedrag in euro's34.407.572
BedrijfsnaamMedtronic Inc,Bedrag in euro's26.072.535
BedrijfsnaamMerck & Co Inc,Bedrag in euro's39.506.363
BedrijfsnaamMerlin Properties Socimi SA,Bedrag in euro's6.415.127
BedrijfsnaamMetropolitan Life Global Funding I,Bedrag in euro's102.681.992
BedrijfsnaamMicrosoft Corp,Bedrag in euro's48.158.706
BedrijfsnaamMolnlycke Holding AB,Bedrag in euro's15.755.347
BedrijfsnaamMolson Coors Beverage Co,Bedrag in euro's24.739.177
BedrijfsnaamMondelez International Inc,Bedrag in euro's87.059.393
BedrijfsnaamMondi Finance Europe GmbH,Bedrag in euro's10.155.075
BedrijfsnaamMondi Finance PLC,Bedrag in euro's88.113.545
BedrijfsnaamMoody's Corp,Bedrag in euro's58.122.332
BedrijfsnaamMorgan Stanley,Bedrag in euro's78.866.438
BedrijfsnaamMotability Operations Group PLC,Bedrag in euro's106.277.875
BedrijfsnaamMSD Netherlands Capital BV,Bedrag in euro's18.846.748
BedrijfsnaamMTU Aero Engines AG,Bedrag in euro's13.910.329
BedrijfsnaamNasdaq Inc,Bedrag in euro's58.221.466
BedrijfsnaamNational Grid Electricity Transmission PLC,Bedrag in euro's17.770.130
BedrijfsnaamNational Grid North America Inc,Bedrag in euro's26.396.167
BedrijfsnaamNational Grid PLC,Bedrag in euro's32.287.365
BedrijfsnaamNationwide Building Society,Bedrag in euro's99.617.436
BedrijfsnaamNatixis Corporate & Investment Banking Luxembourg SA,Bedrag in euro's4.305.141
BedrijfsnaamNatWest Group PLC,Bedrag in euro's61.090.018
BedrijfsnaamNederlandse Gasunie NV,Bedrag in euro's65.858.196
BedrijfsnaamNeste Oyj,Bedrag in euro's61.826.527
BedrijfsnaamNestle Finance International Ltd,Bedrag in euro's69.375.411
BedrijfsnaamNews Corp,Bedrag in euro's4.622.214
BedrijfsnaamNordea Bank Abp,Bedrag in euro's67.960.293
BedrijfsnaamNovartis Finance SA,Bedrag in euro's64.217.842
BedrijfsnaamNovo Nordisk Finance Netherlands BV,Bedrag in euro's128.513.328
BedrijfsnaamNTT Finance Corp,Bedrag in euro's55.209.248
BedrijfsnaamNykredit Realkredit A/S,Bedrag in euro's62.712.919
BedrijfsnaamOP Corporate Bank plc,Bedrag in euro's48.350.966
BedrijfsnaamOrange SA,Bedrag in euro's29.935.746
BedrijfsnaamOrigin Energy Finance Ltd,Bedrag in euro's12.083.365
BedrijfsnaamPACCAR Financial Europe BV,Bedrag in euro's73.435.430
BedrijfsnaamParker-Hannifin Corp,Bedrag in euro's19.980.482
BedrijfsnaamPepsiCo Inc,Bedrag in euro's78.581.687
BedrijfsnaamPernod Ricard SA,Bedrag in euro's40.395.169
BedrijfsnaamPfizer Netherlands International Finance BV,Bedrag in euro's36.874.042
BedrijfsnaamPPG Industries Inc,Bedrag in euro's95.419.268
BedrijfsnaamProcter & Gamble Co/The,Bedrag in euro's72.592.428
BedrijfsnaamPrologis Euro Finance LLC,Bedrag in euro's67.843.581
BedrijfsnaamPrologis International Funding II SA,Bedrag in euro's25.500.269
BedrijfsnaamProximus SADP,Bedrag in euro's30.513.279
BedrijfsnaamPublicis Groupe SA,Bedrag in euro's18.347.941
BedrijfsnaamRaiffeisen Schweiz Genossenschaft,Bedrag in euro's42.852.736
BedrijfsnaamRandstad NV,Bedrag in euro's16.032.429
BedrijfsnaamReckitt Benckiser Treasury Services Nederland BV,Bedrag in euro's15.108.890
BedrijfsnaamReckitt Benckiser Treasury Services PLC,Bedrag in euro's78.733.621
BedrijfsnaamRELX Finance BV,Bedrag in euro's27.477.428
BedrijfsnaamRentokil Initial PLC,Bedrag in euro's4.153.155
BedrijfsnaamRepsol International Finance BV,Bedrag in euro's1.993.840
BedrijfsnaamRoche Finance Europe BV,Bedrag in euro's52.393.602
BedrijfsnaamRoyal Bank of Canada,Bedrag in euro's80.157.767
BedrijfsnaamRoyal Caribbean Cruises Ltd,Bedrag in euro's1.302.329
BedrijfsnaamRoyal Schiphol Group NV,Bedrag in euro's47.185.436
BedrijfsnaamRTE Reseau de Transport d'Electricite SADIR,Bedrag in euro's64.208.932
BedrijfsnaamRWE AG,Bedrag in euro's24.339.542
BedrijfsnaamSage Group PLC/The,Bedrag in euro's30.023.614
BedrijfsnaamSandoz Finance BV,Bedrag in euro's26.323.649
BedrijfsnaamSandvik AB,Bedrag in euro's20.369.822
BedrijfsnaamSanofi SA,Bedrag in euro's95.817.281
BedrijfsnaamSantander UK Group Holdings PLC,Bedrag in euro's15.376.108
BedrijfsnaamSartorius Finance BV,Bedrag in euro's91.001.254
BedrijfsnaamScentre Group Trust 1 / Scentre Group Trust 2,Bedrag in euro's19.900.010
BedrijfsnaamSchneider Electric SE,Bedrag in euro's39.177.134
BedrijfsnaamScottish Hydro Electric Transmission PLC,Bedrag in euro's41.446.821
BedrijfsnaamSES SA,Bedrag in euro's43.295.593
BedrijfsnaamSGS Nederland Holding BV,Bedrag in euro's32.815.780
BedrijfsnaamShell International Finance BV,Bedrag in euro's92.538.219
BedrijfsnaamSiemens Financieringsmaatschappij NV,Bedrag in euro's85.148.795
BedrijfsnaamSika Capital BV,Bedrag in euro's96.519.140
BedrijfsnaamSilfin NV,Bedrag in euro's14.589.882
BedrijfsnaamSkandinaviska Enskilda Banken AB,Bedrag in euro's39.381.545
BedrijfsnaamSmurfit Kappa Treasury ULC,Bedrag in euro's13.878.311
BedrijfsnaamSnam SpA,Bedrag in euro's35.712.431
BedrijfsnaamSociete Generale SA,Bedrag in euro's21.104.071
BedrijfsnaamSpareBank 1 Sor-Norge ASA,Bedrag in euro's15.406.117
BedrijfsnaamSprint Capital Corp,Bedrag in euro's2.809.916
BedrijfsnaamSSE PLC,Bedrag in euro's4.131.634
BedrijfsnaamStandard Chartered PLC,Bedrag in euro's23.737.580
BedrijfsnaamStatkraft AS,Bedrag in euro's18.213.605
BedrijfsnaamStedin Holding NV,Bedrag in euro's41.217.382
BedrijfsnaamStryker Corp,Bedrag in euro's47.503.754
BedrijfsnaamSumitomo Mitsui Financial Group Inc,Bedrag in euro's28.928.004
BedrijfsnaamSvenska Handelsbanken AB,Bedrag in euro's80.710.032
BedrijfsnaamSwiss Life Finance I Ltd,Bedrag in euro's18.872.631
BedrijfsnaamSwisscom Finance BV,Bedrag in euro's77.755.442
BedrijfsnaamSydney Airport Finance Co Pty Ltd,Bedrag in euro's60.462.200
BedrijfsnaamSyensqo SA,Bedrag in euro's19.933.806
BedrijfsnaamSymrise AG,Bedrag in euro's20.055.108
BedrijfsnaamTAG Immobilien AG,Bedrag in euro's11.433.070
BedrijfsnaamTakeda Pharmaceutical Co Ltd,Bedrag in euro's71.188.571
BedrijfsnaamTele2 AB,Bedrag in euro's18.156.896
BedrijfsnaamTelefonica Emisiones SAU,Bedrag in euro's24.950.828
BedrijfsnaamTelenor ASA,Bedrag in euro's54.715.652
BedrijfsnaamTeleperformance SE,Bedrag in euro's40.388.809
BedrijfsnaamTelia Co AB,Bedrag in euro's20.398.521
BedrijfsnaamTennet Netherlands BV,Bedrag in euro's114.743.924
BedrijfsnaamTerega SA,Bedrag in euro's18.286.173
BedrijfsnaamTerna - Rete Elettrica Nazionale,Bedrag in euro's79.736.467
BedrijfsnaamTesco Corporate Treasury Services PLC,Bedrag in euro's84.400.441
BedrijfsnaamTimken Co/The,Bedrag in euro's32.857.643
BedrijfsnaamToronto-Dominion Bank/The,Bedrag in euro's51.735.145
BedrijfsnaamToyota Finance Australia Ltd,Bedrag in euro's25.289.061
BedrijfsnaamToyota Motor Credit Corp,Bedrag in euro's10.769.179
BedrijfsnaamToyota Motor Finance Netherlands BV,Bedrag in euro's66.503.910
BedrijfsnaamTransmission Finance DAC,Bedrag in euro's20.772.862
BedrijfsnaamTransurban Finance Co Pty Ltd,Bedrag in euro's77.627.342
BedrijfsnaamTyco Electronics Group SA,Bedrag in euro's26.663.554
BedrijfsnaamUBS AG/London,Bedrag in euro's46.657.668
BedrijfsnaamUBS Group AG,Bedrag in euro's88.497.883
BedrijfsnaamUnilever Capital Corp,Bedrag in euro's28.098.541
BedrijfsnaamUnilever Finance Netherlands BV,Bedrag in euro's56.486.706
BedrijfsnaamUnited Parcel Service Inc,Bedrag in euro's23.058.911
BedrijfsnaamUniversal Music Group NV,Bedrag in euro's25.118.960
BedrijfsnaamUpjohn Finance BV,Bedrag in euro's16.326.922
BedrijfsnaamUPM-Kymmene OYJ,Bedrag in euro's24.460.461
BedrijfsnaamVattenfall AB,Bedrag in euro's21.416.143
BedrijfsnaamVeolia Environnement SA,Bedrag in euro's32.034.536
BedrijfsnaamVerizon Communications Inc,Bedrag in euro's86.733.687
BedrijfsnaamVesteda Finance BV,Bedrag in euro's34.856.897
BedrijfsnaamVIA Outlets BV,Bedrag in euro's14.159.539
BedrijfsnaamVicinity Centres Trust,Bedrag in euro's32.795.741
BedrijfsnaamVier Gas Transport GmbH,Bedrag in euro's35.651.193
BedrijfsnaamVisa Inc,Bedrag in euro's120.623.332
BedrijfsnaamVolvo Treasury AB,Bedrag in euro's95.942.817
BedrijfsnaamVonovia SE,Bedrag in euro's43.227.561
