Bedrijfsnaam,Bedrag in euro's
BedrijfsnaamABB Finance BV,Bedrag in euro's49.914.851
BedrijfsnaamAbbVie Inc,Bedrag in euro's14.701.807
BedrijfsnaamAbertis France SAS,Bedrag in euro's42.299.015
BedrijfsnaamABN AMRO Bank NV,Bedrag in euro's34.410.069
BedrijfsnaamAcef Holding SCA,Bedrag in euro's66.166.414
BedrijfsnaamAchmea Bank NV,Bedrag in euro's17.645.113
BedrijfsnaamAena SME SA,Bedrag in euro's38.065.368
BedrijfsnaamAeroports de Paris SA,Bedrag in euro's44.859.269
BedrijfsnaamAGCO International Holdings BV,Bedrag in euro's18.354.212
BedrijfsnaamAir Products and Chemicals Inc,Bedrag in euro's85.253.569
BedrijfsnaamAker BP ASA,Bedrag in euro's28.095.560
BedrijfsnaamAkzo Nobel NV,Bedrag in euro's20.502.734
BedrijfsnaamAlcon Finance BV,Bedrag in euro's17.143.023
BedrijfsnaamAliaxis Holdings SA,Bedrag in euro's31.566.295
BedrijfsnaamAlimentation Couche-Tard Inc,Bedrag in euro's50.141.251
BedrijfsnaamAlliander NV,Bedrag in euro's86.859.287
BedrijfsnaamAllianz Finance II BV,Bedrag in euro's26.651.443
BedrijfsnaamAlphabet Inc,Bedrag in euro's21.136.709
BedrijfsnaamAmadeus IT Group SA,Bedrag in euro's16.058.974
BedrijfsnaamAmcor UK Finance PLC,Bedrag in euro's45.661.771
BedrijfsnaamAmerican Express Co,Bedrag in euro's17.016.710
BedrijfsnaamAmerican Honda Finance Corp,Bedrag in euro's84.309.967
BedrijfsnaamAmerican Tower Corp,Bedrag in euro's48.516.731
BedrijfsnaamAmprion GmbH,Bedrag in euro's42.632.892
BedrijfsnaamAnheuser-Busch InBev SA/NV,Bedrag in euro's67.564.921
BedrijfsnaamANZ New Zealand Int'l Ltd/London,Bedrag in euro's27.803.651
BedrijfsnaamAPA Infrastructure Ltd,Bedrag in euro's28.218.867
BedrijfsnaamApple Inc,Bedrag in euro's7.555.719
BedrijfsnaamAPRR SA,Bedrag in euro's56.315.614
BedrijfsnaamArcadis NV,Bedrag in euro's13.562.015
BedrijfsnaamArgenta Spaarbank NV,Bedrag in euro's30.139.537
BedrijfsnaamArgentum Netherlands BV for Givaudan SA,Bedrag in euro's2.390.671
BedrijfsnaamArkema SA,Bedrag in euro's28.233.938
BedrijfsnaamAroundtown SA,Bedrag in euro's33.238.924
BedrijfsnaamAsahi Group Holdings Ltd,Bedrag in euro's40.646.365
BedrijfsnaamASB Bank Ltd,Bedrag in euro's38.881.990
BedrijfsnaamASN Bank NV,Bedrag in euro's41.727.048
BedrijfsnaamAstrazeneca Finance LLC,Bedrag in euro's15.271.170
BedrijfsnaamAstraZeneca PLC,Bedrag in euro's26.744.031
BedrijfsnaamAT&T Inc,Bedrag in euro's80.833.822
BedrijfsnaamAtlas Copco Finance DAC,Bedrag in euro's10.196.361
BedrijfsnaamAurizon Network Pty Ltd,Bedrag in euro's15.641.158
BedrijfsnaamAusgrid Finance Pty Ltd,Bedrag in euro's19.055.679
BedrijfsnaamAusNet Services Holdings Pty Ltd,Bedrag in euro's32.837.285
BedrijfsnaamAustralia & New Zealand Banking Group Ltd,Bedrag in euro's20.487.179
BedrijfsnaamAustralia Pacific Airports Melbourne Pty Ltd,Bedrag in euro's33.712.530
BedrijfsnaamAutoroutes du Sud de la France SA,Bedrag in euro's66.122.789
BedrijfsnaamAvery Dennison Corp,Bedrag in euro's14.774.728
BedrijfsnaamAXA SA,Bedrag in euro's34.048.464
BedrijfsnaamAyvens Bank NV,Bedrag in euro's19.968.948
BedrijfsnaamAyvens SA,Bedrag in euro's34.513.273
BedrijfsnaamBanco Santander SA,Bedrag in euro's56.682.378
BedrijfsnaamBank of America Corp,Bedrag in euro's76.120.420
BedrijfsnaamBank of Montreal,Bedrag in euro's20.144.877
BedrijfsnaamBank of New Zealand,Bedrag in euro's26.252.221
BedrijfsnaamBanque Federative du Credit Mutuel SA,Bedrag in euro's81.313.967
BedrijfsnaamBarclays PLC,Bedrag in euro's30.343.804
BedrijfsnaamBASF SE,Bedrag in euro's26.559.354
BedrijfsnaamBayer AG,Bedrag in euro's51.087.875
BedrijfsnaamBecton Dickinson & Co,Bedrag in euro's19.124.372
BedrijfsnaamBecton Dickinson Euro Finance Sarl,Bedrag in euro's80.882.496
BedrijfsnaamBelfius Bank SA,Bedrag in euro's20.430.620
BedrijfsnaamBG Energy Capital PLC,Bedrag in euro's31.001.180
BedrijfsnaamBHP Billiton Finance Ltd,Bedrag in euro's45.438.548
BedrijfsnaamBlackrock Inc,Bedrag in euro's30.818.410
BedrijfsnaamBlackstone Property Partners Europe Holdings Sarl,Bedrag in euro's18.691.220
BedrijfsnaamBMW Finance NV,Bedrag in euro's20.811.975
BedrijfsnaamBMW International Investment BV,Bedrag in euro's30.082.474
BedrijfsnaamBMW US Capital LLC,Bedrag in euro's23.384.299
BedrijfsnaamBNG Bank NV,Bedrag in euro's231.098
BedrijfsnaamBNP Paribas SA,Bedrag in euro's22.737.146
BedrijfsnaamBooking Holdings Inc,Bedrag in euro's81.344.706
BedrijfsnaamBorgWarner Inc,Bedrag in euro's33.460.585
BedrijfsnaamBP Capital Markets BV,Bedrag in euro's41.363.151
BedrijfsnaamBP Capital Markets PLC,Bedrag in euro's39.491.733
BedrijfsnaamBPCE SA,Bedrag in euro's34.775.567
BedrijfsnaamBrambles Finance PLC,Bedrag in euro's59.649.073
BedrijfsnaamBrambles USA Inc,Bedrag in euro's4.945.450
BedrijfsnaamBritish Telecommunications PLC,Bedrag in euro's38.885.495
BedrijfsnaamBunge Finance Europe BV,Bedrag in euro's19.096.933
BedrijfsnaamBunzl Finance PLC,Bedrag in euro's20.774.644
BedrijfsnaamCadent Finance PLC,Bedrag in euro's28.717.360
BedrijfsnaamCanadian Imperial Bank of Commerce,Bedrag in euro's2.236.802
BedrijfsnaamCapgemini SE,Bedrag in euro's41.430.075
BedrijfsnaamCargill Inc,Bedrag in euro's16.746.243
BedrijfsnaamCarlsberg Breweries A/S,Bedrag in euro's90.078.251
BedrijfsnaamCarrefour SA,Bedrag in euro's34.388.245
